PRCP       092012 18880801 20180131 missing_value=99999.9 FINGAL (FORESTRY LEGGE STREET)            
19780801 19780831    63.6
19780901 19780930    53.0
19781001 19781031    22.4
19781101 19781130   108.8
19781201 19781231    65.2
19790101 19790131    14.0
19790201 19790228    23.0
19790301 19790331    65.2
19790401 19790430    20.6
19790501 19790531    26.4
19790601 19790630    13.8
19790701 19790731    13.8
19790801 19790831    46.2
19790901 19790930    94.2
19791001 19791031    65.4
19791101 19791130    15.4
19791201 19791231    13.8
19800101 19800131    13.8
19800201 19800229    18.0
19800301 19800331    28.8
19800401 19800430    60.2
19800501 19800531    73.4
19800601 19800630    62.0
19800701 19800731    41.2
19800801 19800831    32.2
19800901 19800930    30.4
19801001 19801031    53.8
19801101 19801130    39.0
19801201 19801231    57.0
19810101 19810131    16.0
19810201 19810228    12.2
19810301 19810331    58.2
19810401 19810430    28.0
19810501 19810531    42.4
19810601 19810630   194.8
19810701 19810731    51.2
19810801 19810831   158.4
19810901 19810930    23.8
19811001 19811031    34.4
19811101 19811130    19.8
19811201 19811231    27.8
19820101 19820131    22.8
19820201 19820228    24.0
19820301 19820331    17.2
19820401 19820430    28.0
19820501 19820531    15.8
19820601 19820630    88.6
19820701 19820731    45.0
19820801 19820831    20.6
19820901 19820930    22.4
19821001 19821031     5.3
19821101 19821130    10.6
19821201 19821231   184.8
19830101 19830131    47.4
19830201 19830228     8.0
19830301 19830331   106.8
19830401 19830430    97.6
19830501 19830531    49.0
19830601 19830630    31.8
19830701 19830731    42.2
19830801 19830831    52.8
19830901 19830930   103.4
