PRCP       020020 19011201 20180131 missing_value=99999.9 PANARAMITEE                               
19930201 19930228     6.8
19930301 19930331     2.8
19930401 19930430     0.0
19930501 19930531    15.0
19930601 19930630     2.4
19930701 19930731    23.4
19930801 19930831    13.0
19930901 19930930    18.4
19931001 19931031    44.0
19931101 19931130     8.2
19931201 19931231   109.4
19940101 19940131    16.2
19940201 19940228    33.0
19940301 19940331     0.0
19940401 19940430     0.4
19940501 19940531     1.6
19940601 19940630    66.8
19940701 19940731     8.4
19940801 19940831     0.0
19940901 19940930    24.0
19941001 19941031     0.8
19941101 19941130     0.2
19941201 19941231     3.0
19950101 19950131    42.8
19950201 19950228    13.4
19950301 19950331     9.8
19950401 19950430    23.8
19950501 19950531    33.4
19950601 19950630    24.0
19950701 19950731    17.0
19950801 19950831     0.8
19950901 19950930    46.8
19951001 19951031 99999.9
19951101 19951130    10.0
19951201 19951231    14.4
19960101 19960131    25.0
19960201 19960229     5.4
19960301 19960331    17.8
19960401 19960430     0.6
19960501 19960531     3.0
19960601 19960630    15.6
19960701 19960731    22.4
19960801 19960831    31.2
19960901 19960930    21.2
19961001 19961031     8.0
19961101 19961130     8.0
19961201 19961231    19.8
19970101 19970131    38.8
19970201 19970228   126.6
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531     7.8
19970601 19970630     1.6
