PRCP       009591 18991101 20151231 missing_value=99999.9 PARDELUP                                  
19850301 19850331    27.7
19850401 19850430    73.4
19850501 19850531    40.2
19850601 19850630    57.5
19850701 19850731   103.2
19850801 19850831   159.7
19850901 19850930    80.2
19851001 19851031    55.9
19851101 19851130    44.7
19851201 19851231    28.4
19860101 19860131     0.2
19860201 19860228    51.5
19860301 19860331    33.8
19860401 19860430    12.6
19860501 19860531    66.7
19860601 19860630    70.7
19860701 19860731   100.9
19860801 19860831   106.6
19860901 19860930    85.7
19861001 19861031    54.8
19861101 19861130    20.2
19861201 19861231     9.2
19870101 19870131     7.4
19870201 19870228     0.8
19870301 19870331    29.6
19870401 19870430    70.3
19870501 19870531    94.7
19870601 19870630    52.8
19870701 19870731    79.3
19870801 19870831    65.3
19870901 19870930    33.2
19871001 19871031    31.5
19871101 19871130    86.5
19871201 19871231    35.7
19880101 19880131    19.2
19880201 19880229     1.5
19880301 19880331    34.1
19880401 19880430    31.8
19880501 19880531   253.4
19880601 19880630   164.6
19880701 19880731    93.8
19880801 19880831    94.3
19880901 19880930    99.5
19881001 19881031    53.6
19881101 19881130    31.5
19881201 19881231    14.9
19890101 19890131    65.6
19890201 19890228    58.2
19890301 19890331    15.1
19890401 19890430    76.1
19890501 19890531    70.0
19890601 19890630    80.4
19890701 19890731   114.1
19890801 19890831    83.0
19890901 19890930    58.6
19891001 19891031   109.9
19891101 19891130    63.2
19891201 19891231    13.6
19900101 19900131    40.2
19900201 19900228    33.3
19900301 19900331    48.3
19900401 19900430    67.9
19900501 19900531    45.4
19900601 19900630    69.8
19900701 19900731   159.1
19900801 19900831    61.2
19900901 19900930    45.2
19901001 19901031    76.4
19901101 19901130    49.3
19901201 19901231    11.0
19910101 19910131    14.0
19910201 19910228    20.2
19910301 19910331    23.8
19910401 19910430    21.2
19910501 19910531    66.6
19910601 19910630   107.7
19910701 19910731   161.0
19910801 19910831    91.2
19910901 19910930    75.7
19911001 19911031    33.8
19911101 19911130    95.0
19911201 19911231    25.4
19920101 19920131    13.8
19920201 19920229    34.1
19920301 19920331    32.2
19920401 19920430    18.2
19920501 19920531    96.2
19920601 19920630   134.4
19920701 19920731    87.1
19920801 19920831   125.0
19920901 19920930   106.0
19921001 19921031    58.0
19921101 19921130   122.0
19921201 19921231    50.0
19930101 19930131     4.5
19930201 19930228    13.5
19930301 19930331    88.5
19930401 19930430    24.5
19930501 19930531   134.0
19930601 19930630    50.3
19930701 19930731   101.6
19930801 19930831    97.9
19930901 19930930    61.4
19931001 19931031    77.3
19931101 19931130    38.7
19931201 19931231    13.4
19940101 19940131     4.7
19940201 19940228     8.5
19940301 19940331     2.8
19940401 19940430    12.7
19940501 19940531   150.9
19940601 19940630    80.6
19940701 19940731    69.0
19940801 19940831    62.6
19940901 19940930    48.3
19941001 19941031    69.9
19941101 19941130    10.5
19941201 19941231     1.6
19950101 19950131    22.7
19950201 19950228    16.4
19950301 19950331    29.6
19950401 19950430    19.3
19950501 19950531    91.9
19950601 19950630    85.4
