PRCP       022020 18640101 20180131 missing_value=99999.9 WALLAROO                                  
19541201 19541231    35.3
19550101 19550131     4.1
19550201 19550228    44.7
19550301 19550331    15.8
19550401 19550430    45.3
19550501 19550531    76.3
19550601 19550630    82.8
19550701 19550731    31.0
19550801 19550831    35.4
19550901 19550930    23.9
19551001 19551031    33.9
19551101 19551130    53.7
19551201 19551231     9.1
19560101 19560131    14.2
19560201 19560229    17.3
19560301 19560331    32.0
19560401 19560430    49.5
19560501 19560531   103.1
19560601 19560630    84.1
19560701 19560731    54.2
19560801 19560831    35.9
19560901 19560930    65.0
19561001 19561031    36.2
19561101 19561130    23.2
19561201 19561231     3.7
19570101 19570131     0.0
19570201 19570228     0.0
19570301 19570331    12.5
19570401 19570430    16.0
19570501 19570531    25.9
19570601 19570630    46.9
19570701 19570731    72.9
19570801 19570831    23.9
19570901 19570930    16.9
19571001 19571031    20.2
19571101 19571130    10.4
19571201 19571231    18.2
19580101 19580131     0.0
19580201 19580228     3.3
19580301 19580331    22.7
19580401 19580430    17.8
19580501 19580531    79.1
19580601 19580630     6.0
19580701 19580731    39.8
19580801 19580831    75.7
19580901 19580930    51.2
19581001 19581031    35.5
19581101 19581130     7.2
19581201 19581231    19.1
19590101 19590131     4.3
19590201 19590228    17.2
19590301 19590331    64.1
19590401 19590430    65.4
19590501 19590531     6.4
19590601 19590630    10.0
19590701 19590731    35.5
19590801 19590831    13.5
