PRCP       029004 18861201 20180131 missing_value=99999.9 BURKETOWN POST OFFICE                     
19490101 19490131    77.6
19490201 19490228   190.3
19490301 19490331   264.1
19490401 19490430     7.7
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031    73.4
19491101 19491130    25.9
19491201 19491231   146.8
19500101 19500131   197.2
19500201 19500228   437.0
19500301 19500331   348.3
19500401 19500430    27.0
19500501 19500531     0.0
19500601 19500630     0.0
19500701 19500731     0.0
19500801 19500831     8.4
19500901 19500930     5.8
19501001 19501031   117.6
19501101 19501130   161.8
19501201 19501231   412.3
19510101 19510131   284.9
19510201 19510228   134.4
19510301 19510331   104.9
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    15.8
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130    31.0
19511201 19511231    11.9
19520101 19520131   162.0
19520201 19520229    27.9
19520301 19520331    17.2
19520401 19520430   134.9
19520501 19520531     4.1
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130     7.1
19521201 19521231    34.1
19530101 19530131   448.4
19530201 19530228   488.5
19530301 19530331    59.2
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     0.0
19530901 19530930     0.0
19531001 19531031     0.8
19531101 19531130    21.4
19531201 19531231    55.4
19540101 19540131   376.2
19540201 19540228   232.6
19540301 19540331   248.7
19540401 19540430     0.0
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     7.1
19541001 19541031   101.4
19541101 19541130    59.1
19541201 19541231    14.2
19550101 19550131   251.3
19550201 19550228   651.7
19550301 19550331   253.7
19550401 19550430     0.0
19550501 19550531    43.7
19550601 19550630     0.0
19550701 19550731     0.0
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031     0.5
19551101 19551130     4.7
19551201 19551231    41.2
19560101 19560131   552.0
19560201 19560229   230.3
19560301 19560331   279.2
19560401 19560430     0.0
19560501 19560531     5.3
19560601 19560630     1.5
19560701 19560731     1.8
19560801 19560831     1.5
19560901 19560930     0.0
19561001 19561031     4.8
19561101 19561130    34.6
19561201 19561231   534.0
19570101 19570131   213.4
19570201 19570228   164.2
19570301 19570331   210.4
19570401 19570430     0.0
19570501 19570531     0.0
19570601 19570630     0.0
19570701 19570731     1.5
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130    41.1
19571201 19571231    93.2
19580101 19580131   177.7
19580201 19580228    21.9
19580301 19580331   397.3
19580401 19580430    17.8
19580501 19580531     0.0
19580601 19580630     0.5
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     0.5
19581101 19581130     4.6
19581201 19581231   135.3
19590101 19590131   414.7
19590201 19590228    35.6
19590301 19590331   113.1
19590401 19590430    46.2
19590501 19590531     0.0
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.5
19590901 19590930     9.7
19591001 19591031     0.0
19591101 19591130    35.6
19591201 19591231    44.5
19600101 19600131   121.2
19600201 19600229   163.1
19600301 19600331   115.9
19600401 19600430    34.0
19600501 19600531    31.5
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130    36.6
19601201 19601231    28.2
19610101 19610131    72.6
19610201 19610228    62.2
19610301 19610331     8.9
19610401 19610430     3.8
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130    62.5
19611201 19611231    54.3
19620101 19620131    98.3
19620201 19620228   132.1
19620301 19620331    46.7
19620401 19620430    70.6
19620501 19620531     0.0
19620601 19620630     0.0
19620701 19620731    14.5
19620801 19620831     0.0
19620901 19620930     7.1
19621001 19621031     4.6
19621101 19621130    19.8
19621201 19621231    51.9
19630101 19630131    79.9
19630201 19630228   108.6
19630301 19630331   150.8
19630401 19630430    38.9
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031    23.6
19631101 19631130     3.0
19631201 19631231     2.3
19640101 19640131   434.4
19640201 19640229    40.9
19640301 19640331    85.8
19640401 19640430    36.8
19640501 19640531    26.4
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     1.8
19641001 19641031   117.6
19641101 19641130    16.3
19641201 19641231   163.3
19650101 19650131   138.3
19650201 19650228    53.1
19650301 19650331   410.9
19650401 19650430     0.0
19650501 19650531     6.9
19650601 19650630     8.4
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     2.3
19651201 19651231   116.7
19660101 19660131   198.1
19660201 19660228   143.0
19660301 19660331     0.0
19660401 19660430     0.0
19660501 19660531     0.0
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     0.0
19661101 19661130    15.0
19661201 19661231    34.5
19670101 19670131    28.7
19670201 19670228   529.9
19670301 19670331   101.9
19670401 19670430     9.7
19670501 19670531     0.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     2.8
19671101 19671130    67.3
19671201 19671231    43.7
19680101 19680131   423.5
19680201 19680229   330.2
19680301 19680331    47.3
19680401 19680430    29.4
19680501 19680531   101.9
19680601 19680630     0.0
19680701 19680731    23.7
19680801 19680831     0.0
19680901 19680930     0.0
19681001 19681031     7.4
19681101 19681130     0.5
19681201 19681231    87.1
19690101 19690131    26.0
19690201 19690228   131.1
19690301 19690331    78.8
19690401 19690430     0.0
19690501 19690531     0.0
19690601 19690630     1.0
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.4
19691001 19691031    41.9
19691101 19691130     8.0
19691201 19691231   147.6
19700101 19700131    11.6
19700201 19700228   218.0
19700301 19700331   500.9
19700401 19700430    13.2
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     3.3
19701001 19701031     4.1
19701101 19701130    24.1
19701201 19701231    31.9
19710101 19710131    77.5
19710201 19710228   196.4
19710301 19710331   438.4
19710401 19710430    82.2
19710501 19710531     2.3
19710601 19710630     0.0
19710701 19710731     0.0
19710801 19710831     0.5
19710901 19710930     0.0
19711001 19711031    29.7
19711101 19711130    36.4
19711201 19711231    57.6
19720101 19720131    94.4
19720201 19720229   362.8
19720301 19720331   161.4
19720401 19720430     0.0
