PRCP       085096 18721201 20180131 missing_value=99999.9 WILSONS PROMONTORY LIGHTHOUSE             
19311201 19311231    29.0
19320101 19320131     7.2
19320201 19320229    46.5
19320301 19320331    74.7
19320401 19320430   136.9
19320501 19320531    14.7
19320601 19320630   158.1
19320701 19320731    58.5
19320801 19320831    96.2
19320901 19320930    56.5
19321001 19321031   135.2
19321101 19321130    72.5
19321201 19321231    43.0
19330101 19330131    33.0
19330201 19330228    36.3
19330301 19330331    47.8
19330401 19330430    85.3
19330501 19330531   127.9
19330601 19330630    62.1
19330701 19330731    63.5
19330801 19330831   154.8
19330901 19330930    88.3
19331001 19331031    62.6
19331101 19331130    36.9
19331201 19331231    84.1
19340101 19340131    48.4
19340201 19340228    55.2
19340301 19340331    38.7
19340401 19340430   134.2
19340501 19340531     9.7
19340601 19340630    91.2
19340701 19340731   101.7
19340801 19340831    64.1
19340901 19340930    82.3
19341001 19341031   110.9
19341101 19341130   165.2
19341201 19341231   107.4
19350101 19350131    53.4
19350201 19350228   105.2
19350301 19350331    77.1
19350401 19350430   170.8
19350501 19350531    92.6
19350601 19350630   114.3
19350701 19350731    94.0
19350801 19350831   123.1
19350901 19350930    65.2
19351001 19351031    96.9
19351101 19351130    78.6
19351201 19351231    26.5
19360101 19360131    45.6
19360201 19360229    21.9
19360301 19360331    48.5
19360401 19360430   103.0
19360501 19360531    57.2
19360601 19360630    75.7
19360701 19360731   135.4
19360801 19360831   185.0
19360901 19360930    86.0
19361001 19361031   135.8
19361101 19361130    29.0
19361201 19361231   109.8
19370101 19370131    78.6
19370201 19370228    56.4
19370301 19370331   115.9
19370401 19370430    33.2
19370501 19370531   124.4
19370601 19370630    63.5
19370701 19370731    83.7
19370801 19370831    75.5
19370901 19370930    86.5
19371001 19371031    71.3
19371101 19371130    37.4
19371201 19371231    77.8
19380101 19380131    65.6
19380201 19380228    63.1
19380301 19380331    66.2
19380401 19380430    88.7
19380501 19380531    81.0
19380601 19380630   177.3
19380701 19380731    74.2
19380801 19380831    76.3
19380901 19380930    59.1
19381001 19381031    19.3
19381101 19381130    38.5
19381201 19381231    45.1
19390101 19390131     1.0
19390201 19390228   210.6
19390301 19390331    20.8
19390401 19390430    78.3
19390501 19390531    62.2
19390601 19390630   185.0
19390701 19390731    57.5
19390801 19390831   257.7
19390901 19390930   121.7
19391001 19391031    94.5
19391101 19391130   141.5
19391201 19391231    56.9
19400101 19400131    59.0
19400201 19400229    49.4
19400301 19400331    21.3
19400401 19400430    74.9
19400501 19400531    53.5
19400601 19400630   107.8
19400701 19400731   105.9
19400801 19400831    82.4
19400901 19400930   114.5
19401001 19401031    25.3
19401101 19401130   125.9
19401201 19401231    62.9
19410101 19410131    30.4
19410201 19410228    19.9
19410301 19410331   499.5
19410401 19410430    22.7
