PRCP       010592 19080801 20120831 missing_value=99999.9 LAKE GRACE POST OFFICE                    
19990401 19990430    11.8
19990501 19990531    67.2
19990601 19990630    39.2
19990701 19990731    51.8
19990801 19990831    43.6
19990901 19990930    37.0
19991001 19991031    28.6
19991101 19991130    16.8
19991201 19991231    38.4
20000101 20000131   168.2
20000201 20000229     8.6
20000301 20000331     6.8
20000401 20000430     6.6
20000501 20000531     3.4
20000601 20000630    37.4
20000701 20000731    50.2
20000801 20000831    29.6
20000901 20000930     5.2
20001001 20001031     5.2
20001101 20001130     3.0
20001201 20001231     1.4
20010101 20010131    14.4
20010201 20010228     7.2
20010301 20010331     0.0
20010401 20010430    12.0
20010501 20010531    26.4
20010601 20010630     7.6
20010701 20010731    49.8
20010801 20010831    64.2
20010901 20010930    22.6
20011001 20011031    18.2
20011101 20011130    52.8
20011201 20011231    37.4
20020101 20020131     2.4
20020201 20020228     2.8
20020301 20020331     4.2
20020401 20020430    14.6
20020501 20020531     9.0
20020601 20020630    21.8
20020701 20020731    25.4
20020801 20020831    18.0
20020901 20020930    12.2
20021001 20021031    19.4
20021101 20021130    55.8
20021201 20021231    10.8
20030101 20030131     0.0
20030201 20030228    29.4
20030301 20030331    23.8
20030401 20030430    22.0
20030501 20030531    37.4
20030601 20030630    28.2
20030701 20030731    34.8
20030801 20030831    69.6
20030901 20030930    53.8
20031001 20031031    13.2
20031101 20031130    21.2
