PRCP       054003 18930101 20180131 missing_value=99999.9 BARRABA POST OFFICE                       
19540801 19540831    27.9
19540901 19540930    27.7
19541001 19541031   163.9
19541101 19541130   110.2
19541201 19541231    92.7
19550101 19550131   109.4
19550201 19550228   427.1
19550301 19550331     0.0
19550401 19550430    40.9
19550501 19550531    54.4
19550601 19550630    60.7
19550701 19550731    37.6
19550801 19550831    29.4
19550901 19550930    33.6
19551001 19551031   215.3
19551101 19551130    74.4
19551201 19551231    45.7
19560101 19560131    92.9
19560201 19560229   285.4
19560301 19560331    85.5
19560401 19560430    85.8
19560501 19560531   149.9
19560601 19560630    82.9
19560701 19560731    34.3
19560801 19560831     3.6
19560901 19560930    31.7
19561001 19561031    93.6
19561101 19561130    14.6
19561201 19561231    35.4
19570101 19570131    44.2
19570201 19570228    54.6
19570301 19570331    43.4
19570401 19570430    31.4
19570501 19570531     2.0
19570601 19570630    19.5
19570701 19570731    32.6
19570801 19570831    20.6
19570901 19570930     3.3
19571001 19571031    24.9
19571101 19571130    16.8
19571201 19571231    49.6
19580101 19580131    37.2
19580201 19580228    52.5
19580301 19580331    37.8
19580401 19580430     7.4
19580501 19580531    60.7
19580601 19580630    46.7
19580701 19580731    12.5
19580801 19580831    49.4
19580901 19580930    65.2
19581001 19581031    90.1
19581101 19581130    21.5
19581201 19581231    92.8
19590101 19590131    77.0
19590201 19590228   181.9
19590301 19590331    89.4
19590401 19590430    32.3
19590501 19590531    18.5
19590601 19590630    11.0
19590701 19590731    47.3
19590801 19590831     2.8
19590901 19590930    52.9
19591001 19591031    43.2
19591101 19591130    98.7
19591201 19591231   133.9
19600101 19600131    29.2
19600201 19600229    42.0
19600301 19600331    22.1
19600401 19600430    47.9
19600501 19600531    43.5
19600601 19600630    22.9
19600701 19600731    67.0
19600801 19600831    48.2
19600901 19600930    28.9
19601001 19601031    43.6
19601101 19601130    81.8
19601201 19601231    21.9
19610101 19610131    29.9
19610201 19610228   104.1
19610301 19610331    71.0
19610401 19610430    37.9
19610501 19610531    13.7
19610601 19610630     5.4
19610701 19610731    35.7
19610801 19610831    45.8
19610901 19610930     7.1
19611001 19611031    50.6
19611101 19611130   174.0
19611201 19611231    99.9
19620101 19620131   212.4
19620201 19620228    29.5
19620301 19620331    57.1
19620401 19620430    32.8
19620501 19620531    20.3
19620601 19620630     3.8
19620701 19620731    37.7
19620801 19620831    81.9
19620901 19620930    39.4
19621001 19621031   102.7
19621101 19621130    38.6
19621201 19621231   119.9
19630101 19630131    90.9
19630201 19630228    36.0
19630301 19630331   152.9
19630401 19630430    49.0
19630501 19630531   135.1
19630601 19630630    33.3
19630701 19630731    15.6
19630801 19630831    98.0
19630901 19630930    23.3
19631001 19631031    38.4
19631101 19631130    83.1
19631201 19631231   140.5
19640101 19640131   248.4
19640201 19640229    26.9
19640301 19640331   127.8
19640401 19640430    85.6
19640501 19640531    58.2
19640601 19640630    16.2
19640701 19640731    77.8
19640801 19640831    38.1
19640901 19640930    91.1
19641001 19641031   116.1
19641101 19641130    39.3
19641201 19641231    16.8
19650101 19650131    28.2
19650201 19650228     5.8
19650301 19650331     3.9
19650401 19650430    31.7
19650501 19650531    15.9
19650601 19650630    11.1
19650701 19650731    10.6
19650801 19650831    19.6
19650901 19650930    40.2
19651001 19651031    42.8
19651101 19651130    20.9
19651201 19651231   120.5
19660101 19660131    12.3
19660201 19660228    42.9
19660301 19660331    39.9
19660401 19660430    16.3
19660501 19660531    13.2
19660601 19660630    49.0
19660701 19660731    20.9
19660801 19660831   108.9
19660901 19660930    29.6
19661001 19661031    81.1
19661101 19661130    99.7
19661201 19661231    57.5
19670101 19670131    50.6
19670201 19670228    26.4
19670301 19670331   113.3
19670401 19670430     7.0
19670501 19670531    23.5
19670601 19670630    51.9
19670701 19670731    15.4
19670801 19670831    39.6
19670901 19670930    16.6
19671001 19671031   110.5
19671101 19671130     9.4
19671201 19671231    61.8
19680101 19680131   328.2
19680201 19680229    63.0
19680301 19680331    56.2
19680401 19680430    12.9
19680501 19680531    75.6
19680601 19680630     5.4
19680701 19680731    45.1
19680801 19680831   103.8
19680901 19680930    55.4
19681001 19681031    45.3
19681101 19681130    36.1
19681201 19681231   131.1
19690101 19690131    94.9
19690201 19690228    57.4
19690301 19690331    60.0
19690401 19690430    31.5
19690501 19690531    61.2
19690601 19690630    25.6
19690701 19690731    37.8
19690801 19690831    26.7
19690901 19690930    44.6
19691001 19691031   146.3
19691101 19691130   131.8
19691201 19691231   118.7
19700101 19700131   143.3
19700201 19700228    59.2
19700301 19700331    19.1
19700401 19700430    37.9
19700501 19700531    12.0
19700601 19700630     9.8
19700701 19700731     1.3
19700801 19700831    30.5
19700901 19700930   147.4
19701001 19701031    53.9
19701101 19701130    59.1
19701201 19701231   225.5
19710101 19710131   212.8
19710201 19710228   319.5
19710301 19710331     7.9
19710401 19710430     9.2
19710501 19710531    11.2
19710601 19710630     7.9
19710701 19710731    85.8
19710801 19710831    66.6
19710901 19710930    68.7
19711001 19711031    27.1
19711101 19711130    52.7
19711201 19711231    50.6
19720101 19720131    90.5
19720201 19720229   112.3
19720301 19720331    23.7
19720401 19720430    61.3
19720501 19720531    18.3
19720601 19720630     8.4
19720701 19720731     2.1
19720801 19720831    35.9
19720901 19720930    37.4
19721001 19721031   103.9
19721101 19721130    62.3
19721201 19721231    55.0
19730101 19730131   171.7
19730201 19730228    77.2
19730301 19730331    20.9
19730401 19730430    21.1
19730501 19730531    33.4
19730601 19730630    30.9
19730701 19730731    56.7
19730801 19730831    44.8
19730901 19730930    56.9
19731001 19731031   138.0
19731101 19731130    95.9
19731201 19731231    98.9
19740101 19740131   183.9
19740201 19740228    37.9
19740301 19740331    51.8
19740401 19740430    80.2
19740501 19740531    56.8
19740601 19740630    12.4
19740701 19740731    24.4
19740801 19740831    50.8
19740901 19740930    13.8
19741001 19741031    52.3
19741101 19741130    96.6
19741201 19741231     6.0
19750101 19750131   125.3
19750201 19750228   164.5
19750301 19750331    81.8
19750401 19750430    31.8
19750501 19750531    11.0
19750601 19750630    47.0
19750701 19750731    40.4
19750801 19750831    36.4
19750901 19750930    39.6
19751001 19751031    98.8
19751101 19751130    78.4
19751201 19751231   103.0
19760101 19760131   148.4
19760201 19760229   207.6
19760301 19760331    44.6
19760401 19760430     5.2
19760501 19760531    25.4
19760601 19760630    64.6
19760701 19760731    51.0
19760801 19760831    11.0
19760901 19760930    32.0
19761001 19761031    58.8
19761101 19761130   226.2
19761201 19761231    30.2
19770101 19770131    88.1
19770201 19770228   143.8
19770301 19770331    94.8
19770401 19770430    35.2
19770501 19770531   166.6
19770601 19770630    60.0
19770701 19770731     4.2
19770801 19770831    17.0
19770901 19770930    26.3
19771001 19771031    32.5
19771101 19771130    33.4
19771201 19771231    24.4
19780101 19780131   204.8
19780201 19780228   116.2
19780301 19780331    77.6
19780401 19780430     8.0
19780501 19780531    69.0
19780601 19780630    74.0
19780701 19780731    47.6
19780801 19780831    28.2
19780901 19780930    97.6
19781001 19781031    43.6
19781101 19781130   143.8
19781201 19781231   105.6
19790101 19790131    46.2
19790201 19790228    20.6
19790301 19790331    78.8
19790401 19790430    16.8
19790501 19790531    98.6
19790601 19790630    56.4
19790701 19790731    10.4
19790801 19790831    19.4
19790901 19790930    50.6
19791001 19791031    47.8
19791101 19791130   108.2
19791201 19791231     9.2
19800101 19800131    56.4
19800201 19800229    15.2
19800301 19800331    16.0
19800401 19800430     6.2
19800501 19800531    92.1
19800601 19800630    15.0
19800701 19800731    37.0
19800801 19800831    11.2
19800901 19800930     2.0
19801001 19801031    49.0
19801101 19801130     8.6
19801201 19801231    86.2
19810101 19810131     2.4
19810201 19810228    66.2
19810301 19810331     0.8
19810401 19810430    14.4
19810501 19810531    81.6
19810601 19810630    62.0
19810701 19810731    71.4
19810801 19810831    12.8
19810901 19810930    26.8
19811001 19811031    90.4
19811101 19811130    90.6
19811201 19811231    51.0
19820101 19820131    76.4
19820201 19820228    31.0
19820301 19820331   160.8
19820401 19820430    14.2
19820501 19820531    23.0
19820601 19820630     6.4
19820701 19820731    18.0
19820801 19820831     0.2
19820901 19820930    34.4
19821001 19821031    35.6
19821101 19821130     9.4
19821201 19821231   142.4
19830101 19830131    95.2
19830201 19830228    37.8
19830301 19830331    46.4
19830401 19830430    92.0
19830501 19830531   173.4
19830601 19830630    51.8
19830701 19830731    47.6
19830801 19830831    50.4
19830901 19830930    66.0
19831001 19831031   123.8
19831101 19831130    83.4
19831201 19831231    79.6
19840101 19840131   253.8
19840201 19840229   103.8
19840301 19840331    59.2
19840401 19840430    58.0
19840501 19840531     7.4
19840601 19840630     5.4
19840701 19840731   187.8
19840801 19840831    24.2
19840901 19840930    33.0
19841001 19841031    27.6
19841101 19841130    58.4
19841201 19841231    51.6
19850101 19850131    64.6
19850201 19850228    38.0
19850301 19850331    38.6
19850401 19850430    71.4
19850501 19850531    24.8
19850601 19850630    23.0
19850701 19850731    38.0
19850801 19850831    84.2
19850901 19850930    56.2
19851001 19851031    63.8
19851101 19851130    53.6
19851201 19851231   128.6
19860101 19860131    82.6
19860201 19860228    55.8
19860301 19860331     4.8
19860401 19860430     6.2
19860501 19860531    73.8
19860601 19860630     0.0
19860701 19860731   111.0
19860801 19860831    32.4
19860901 19860930    89.6
19861001 19861031    46.2
19861101 19861130    46.0
19861201 19861231    26.4
19870101 19870131   137.3
19870201 19870228    45.6
19870301 19870331    65.0
19870401 19870430     3.4
19870501 19870531    68.4
19870601 19870630    32.2
19870701 19870731    29.8
19870801 19870831   126.0
19870901 19870930    10.6
19871001 19871031    74.0
19871101 19871130    67.4
19871201 19871231   104.1
19880101 19880131   111.3
19880201 19880229    49.8
19880301 19880331    10.4
19880401 19880430   180.4
19880501 19880531    32.4
19880601 19880630    24.2
