PRCP       038002 18980101 20171130 missing_value=99999.9 BIRDSVILLE POLICE STATION                 
19650801 19650831    18.5
19650901 19650930     0.0
19651001 19651031     1.0
19651101 19651130     0.0
19651201 19651231    43.2
19660101 19660131   142.1
19660201 19660228     0.0
19660301 19660331     2.0
19660401 19660430     0.0
19660501 19660531     8.4
19660601 19660630    48.8
19660701 19660731     9.6
19660801 19660831    56.6
19660901 19660930     4.9
19661001 19661031     4.6
19661101 19661130     4.5
19661201 19661231    30.4
19670101 19670131     0.0
19670201 19670228     6.8
19670301 19670331    26.7
19670401 19670430     0.0
19670501 19670531     1.0
19670601 19670630    24.1
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     0.0
19671201 19671231     6.6
19680101 19680131    34.6
19680201 19680229     6.6
19680301 19680331     0.3
19680401 19680430    33.6
19680501 19680531    45.1
19680601 19680630     5.0
19680701 19680731    22.6
19680801 19680831    39.9
19680901 19680930     0.5
19681001 19681031     1.5
19681101 19681130     2.3
19681201 19681231     4.0
19690101 19690131     2.0
19690201 19690228     3.6
19690301 19690331     8.2
19690401 19690430     0.0
19690501 19690531     3.3
19690601 19690630     2.3
19690701 19690731    20.5
19690801 19690831     0.3
19690901 19690930     4.3
19691001 19691031     2.3
19691101 19691130     0.3
19691201 19691231    13.3
19700101 19700131     0.3
19700201 19700228    64.8
19700301 19700331     6.6
19700401 19700430    16.8
19700501 19700531     3.6
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.3
19700901 19700930     3.9
19701001 19701031    15.2
19701101 19701130     2.1
19701201 19701231     9.4
19710101 19710131     0.5
19710201 19710228     5.6
19710301 19710331    87.5
19710401 19710430     1.8
19710501 19710531     0.0
19710601 19710630    10.1
19710701 19710731     3.6
19710801 19710831    13.0
19710901 19710930     4.3
19711001 19711031     3.6
19711101 19711130     4.3
19711201 19711231     0.0
19720101 19720131    50.0
19720201 19720229     0.0
19720301 19720331    15.0
19720401 19720430     0.0
19720501 19720531     4.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     3.3
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130     5.3
19721201 19721231     3.3
19730101 19730131     0.6
19730201 19730228    38.7
19730301 19730331     0.0
19730401 19730430    22.9
19730501 19730531     0.0
19730601 19730630    23.7
19730701 19730731    36.9
19730801 19730831    31.8
19730901 19730930     1.3
19731001 19731031     7.1
19731101 19731130    39.3
19731201 19731231    50.7
19740101 19740131   263.0
19740201 19740228    99.2
19740301 19740331     1.2
19740401 19740430    22.2
19740501 19740531    40.2
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    18.0
19740901 19740930    10.4
19741001 19741031    15.0
19741101 19741130     5.0
19741201 19741231    22.0
19750101 19750131     0.0
19750201 19750228   107.7
19750301 19750331    22.1
19750401 19750430     0.2
19750501 19750531     0.0
19750601 19750630    10.9
19750701 19750731     7.4
19750801 19750831    38.6
19750901 19750930    21.2
19751001 19751031    34.6
19751101 19751130     1.4
19751201 19751231    84.2
19760101 19760131    13.8
19760201 19760229    65.2
19760301 19760331    44.7
19760401 19760430     0.0
19760501 19760531     0.0
