PRCP       010126 19100101 20180131 missing_value=99999.9 TRAYNING                                  
19971001 19971031     6.2
19971101 19971130    15.0
19971201 19971231     0.8
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     2.4
19980401 19980430    36.6
19980501 19980531    33.2
19980601 19980630    76.4
19980701 19980731    46.0
19980801 19980831    50.0
19980901 19980930    20.4
19981001 19981031     4.6
19981101 19981130     0.8
19981201 19981231     7.4
19990101 19990131    31.0
19990201 19990228     6.6
19990301 19990331   137.2
19990401 19990430    16.6
19990501 19990531   100.6
19990601 19990630    40.0
19990701 19990731    54.8
19990801 19990831    42.0
19990901 19990930    35.2
19991001 19991031    26.0
19991101 19991130    16.2
19991201 19991231    20.4
20000101 20000131   157.2
20000201 20000229     0.1
20000301 20000331    60.6
20000401 20000430    16.8
20000501 20000531     6.6
20000601 20000630    16.2
20000701 20000731    59.9
20000801 20000831    32.6
20000901 20000930    14.0
20001001 20001031     0.6
20001101 20001130     1.2
20001201 20001231     3.2
20010101 20010131    77.8
20010201 20010228    26.2
20010301 20010331     0.0
20010401 20010430     1.4
20010501 20010531    34.2
20010601 20010630    20.4
20010701 20010731    64.3
20010801 20010831    31.2
20010901 20010930    28.4
20011001 20011031    13.0
20011101 20011130    28.6
20011201 20011231    29.9
20020101 20020131     9.6
20020201 20020228     0.0
20020301 20020331     1.2
20020401 20020430    14.1
20020501 20020531     8.0
20020601 20020630    21.0
20020701 20020731    26.6
20020801 20020831    27.8
20020901 20020930    17.8
20021001 20021031     8.2
20021101 20021130    21.8
20021201 20021231    28.2
20030101 20030131     0.6
20030201 20030228    11.6
20030301 20030331     7.6
20030401 20030430    39.0
20030501 20030531    53.2
20030601 20030630    34.0
20030701 20030731    40.0
20030801 20030831    76.6
20030901 20030930    27.2
20031001 20031031     8.8
20031101 20031130    11.6
20031201 20031231     8.1
20040101 20040131    18.2
20040201 20040229    14.4
20040301 20040331     2.4
20040401 20040430    12.8
20040501 20040531    48.8
20040601 20040630    88.8
20040701 20040731    43.6
20040801 20040831    37.8
20040901 20040930     8.6
20041001 20041031    12.0
20041101 20041130    10.6
20041201 20041231     0.8
20050101 20050131     0.4
20050201 20050228     1.0
20050301 20050331    62.2
20050401 20050430    19.8
20050501 20050531    85.6
20050601 20050630    76.2
20050701 20050731    11.2
20050801 20050831    48.0
