PRCP       018069 18820101 20180131 missing_value=99999.9 ELLISTON                                  
19720201 19720229    11.9
19720301 19720331     0.0
19720401 19720430    26.4
19720501 19720531    13.3
19720601 19720630    38.4
19720701 19720731    90.7
19720801 19720831   100.6
19720901 19720930    22.9
19721001 19721031    19.2
19721101 19721130     5.9
19721201 19721231     0.5
19730101 19730131     6.2
19730201 19730228     4.6
19730301 19730331    52.3
19730401 19730430    32.8
19730501 19730531    48.1
19730601 19730630    86.3
19730701 19730731    53.1
19730801 19730831    86.5
19730901 19730930    39.1
19731001 19731031    46.0
19731101 19731130    11.2
19731201 19731231    14.3
19740101 19740131    25.8
19740201 19740228     1.8
19740301 19740331     2.2
19740401 19740430    25.4
19740501 19740531    82.6
19740601 19740630    52.6
19740701 19740731   125.2
19740801 19740831    51.2
19740901 19740930    53.6
19741001 19741031    96.9
19741101 19741130    10.8
19741201 19741231     2.6
19750101 19750131     6.4
19750201 19750228     3.6
19750301 19750331    28.4
19750401 19750430    13.8
19750501 19750531    78.4
19750601 19750630    54.0
19750701 19750731    77.4
19750801 19750831    84.2
19750901 19750930    55.2
19751001 19751031    68.8
19751101 19751130    29.6
19751201 19751231    10.0
19760101 19760131     2.8
19760201 19760229    99.8
19760301 19760331     1.0
19760401 19760430    16.4
19760501 19760531    46.2
19760601 19760630   104.8
19760701 19760731    27.0
19760801 19760831    77.5
19760901 19760930    42.2
19761001 19761031    31.2
19761101 19761130    24.2
19761201 19761231     3.2
19770101 19770131    30.6
19770201 19770228    18.0
19770301 19770331     7.4
19770401 19770430    12.4
19770501 19770531    74.6
19770601 19770630    33.4
19770701 19770731    32.6
19770801 19770831    31.7
