PRCP       018045 18770101 20170930 missing_value=99999.9 LAKE HAMILTON                             
19380701 19380731    40.6
19380801 19380831    82.2
19380901 19380930    25.3
19381001 19381031     3.3
19381101 19381130     0.0
19381201 19381231    16.0
19390101 19390131    19.1
19390201 19390228     3.3
19390301 19390331    37.1
19390401 19390430    21.8
19390501 19390531    28.7
19390601 19390630   148.8
19390701 19390731    90.0
19390801 19390831   112.0
19390901 19390930     4.3
19391001 19391031    68.4
19391101 19391130    31.8
19391201 19391231     2.5
19400101 19400131    23.1
19400201 19400229     5.1
19400301 19400331     8.6
19400401 19400430    45.8
19400501 19400531    52.8
19400601 19400630    21.4
19400701 19400731   101.0
19400801 19400831    14.2
19400901 19400930    23.5
19401001 19401031    27.5
19401101 19401130    23.4
19401201 19401231     0.0
19410101 19410131    34.6
19410201 19410228    15.0
19410301 19410331    44.2
19410401 19410430    14.4
19410501 19410531    18.9
19410601 19410630    17.2
19410701 19410731    81.0
19410801 19410831    37.2
19410901 19410930    90.4
19411001 19411031    21.1
19411101 19411130    16.5
19411201 19411231     1.3
19420101 19420131     8.1
19420201 19420228    10.4
19420301 19420331     6.6
19420401 19420430    11.7
19420501 19420531    89.1
19420601 19420630   136.7
19420701 19420731    63.8
19420801 19420831    62.5
19420901 19420930    72.5
19421001 19421031     7.6
19421101 19421130    31.4
19421201 19421231    10.9
19430101 19430131    10.9
19430201 19430228    34.0
19430301 19430331     0.8
19430401 19430430    37.3
19430501 19430531    18.6
19430601 19430630    58.3
19430701 19430731   136.5
19430801 19430831    77.7
19430901 19430930    42.6
19431001 19431031    38.6
19431101 19431130     3.8
19431201 19431231    19.1
19440101 19440131     0.0
19440201 19440229     5.8
19440301 19440331     2.8
19440401 19440430    34.5
19440501 19440531    96.8
19440601 19440630    17.9
19440701 19440731    86.6
19440801 19440831    23.4
19440901 19440930    20.7
19441001 19441031    31.6
19441101 19441130    25.9
19441201 19441231     7.2
19450101 19450131    11.3
19450201 19450228     4.5
19450301 19450331     0.0
19450401 19450430     5.4
19450501 19450531    25.7
19450601 19450630    57.5
19450701 19450731    21.0
19450801 19450831    50.8
19450901 19450930    48.2
19451001 19451031    31.7
19451101 19451130    49.0
19451201 19451231    39.3
19460101 19460131    17.6
19460201 19460228    50.4
19460301 19460331    15.0
19460401 19460430    29.8
19460501 19460531    42.1
19460601 19460630    77.4
19460701 19460731    87.0
19460801 19460831    32.3
19460901 19460930    10.7
19461001 19461031    13.3
19461101 19461130    30.9
19461201 19461231    59.4
19470101 19470131     1.8
19470201 19470228    19.4
19470301 19470331    15.8
19470401 19470430    19.4
19470501 19470531    43.6
19470601 19470630    63.2
19470701 19470731   127.7
19470801 19470831    52.1
19470901 19470930    55.2
19471001 19471031    79.5
19471101 19471130    22.1
19471201 19471231    18.2
19480101 19480131     2.8
19480201 19480229     5.6
19480301 19480331     2.6
19480401 19480430    21.2
19480501 19480531    90.9
19480601 19480630    61.1
19480701 19480731    68.1
19480801 19480831    43.8
19480901 19480930    13.9
19481001 19481031    35.7
19481101 19481130    45.1
19481201 19481231    18.8
19490101 19490131     4.8
19490201 19490228    26.9
19490301 19490331     0.0
19490401 19490430     4.5
19490501 19490531    45.3
19490601 19490630    29.7
19490701 19490731    75.5
19490801 19490831    36.4
19490901 19490930    47.8
19491001 19491031    83.3
19491101 19491130    46.3
19491201 19491231    10.5
19500101 19500131     0.0
19500201 19500228     2.5
19500301 19500331     0.0
19500401 19500430     7.6
19500501 19500531    39.9
19500601 19500630    53.4
19500701 19500731    59.5
19500801 19500831    65.6
19500901 19500930    23.2
19501001 19501031    77.9
19501101 19501130     9.0
19501201 19501231    17.9
19510101 19510131     2.8
19510201 19510228     0.0
19510301 19510331     4.6
19510401 19510430    44.6
19510501 19510531    97.8
19510601 19510630    54.7
19510701 19510731   134.0
19510801 19510831    96.0
19510901 19510930    25.4
19511001 19511031    31.3
19511101 19511130     0.0
19511201 19511231    25.9
19520101 19520131     1.3
19520201 19520229     2.5
19520301 19520331     2.0
19520401 19520430    51.3
19520501 19520531   127.7
19520601 19520630    36.9
19520701 19520731    55.8
19520801 19520831    54.5
19520901 19520930    48.5
19521001 19521031    27.2
19521101 19521130    28.7
19521201 19521231    15.8
19530101 19530131     7.6
19530201 19530228     7.4
19530301 19530331     4.1
19530401 19530430    21.8
19530501 19530531    48.6
19530601 19530630   102.7
19530701 19530731    75.8
19530801 19530831    52.8
19530901 19530930    39.3
19531001 19531031    30.1
19531101 19531130    23.6
19531201 19531231    57.7
19540101 19540131    13.7
19540201 19540228     0.0
19540301 19540331     6.1
19540401 19540430    67.7
19540501 19540531    20.0
19540601 19540630    69.8
19540701 19540731    55.3
19540801 19540831    34.9
19540901 19540930    25.5
19541001 19541031    20.3
19541101 19541130    23.1
19541201 19541231    50.0
19550101 19550131     2.0
19550201 19550228    13.9
19550301 19550331    17.5
19550401 19550430    37.9
19550501 19550531    48.5
19550601 19550630   120.7
19550701 19550731    51.5
19550801 19550831    94.0
19550901 19550930    26.2
19551001 19551031    29.9
19551101 19551130    43.9
19551201 19551231    11.2
19560101 19560131     5.3
19560201 19560229    16.0
19560301 19560331     6.3
19560401 19560430    29.7
19560501 19560531   119.8
19560601 19560630   205.8
19560701 19560731    80.2
19560801 19560831    62.4
19560901 19560930    52.9
19561001 19561031    26.8
19561101 19561130     3.3
19561201 19561231    24.5
19570101 19570131     0.0
19570201 19570228     0.0
19570301 19570331    13.9
19570401 19570430    14.4
19570501 19570531    22.3
19570601 19570630    49.7
19570701 19570731    76.7
19570801 19570831    29.4
19570901 19570930    25.0
19571001 19571031     5.9
19571101 19571130     8.4
19571201 19571231     9.1
19580101 19580131     1.5
19580201 19580228     0.0
19580301 19580331    25.4
19580401 19580430     5.6
19580501 19580531    75.9
19580601 19580630    26.0
19580701 19580731   105.5
19580801 19580831    68.8
19580901 19580930    74.7
19581001 19581031    39.9
19581101 19581130    12.8
19581201 19581231    38.0
19590101 19590131     0.0
19590201 19590228    10.4
19590301 19590331    17.8
19590401 19590430     0.0
19590501 19590531    12.9
19590601 19590630    14.7
19590701 19590731    36.7
19590801 19590831    20.4
19590901 19590930    44.9
19591001 19591031    11.8
19591101 19591130    26.4
19591201 19591231    17.6
19600101 19600131    28.0
19600201 19600229    40.5
19600301 19600331     8.1
19600401 19600430    42.3
19600501 19600531   103.1
19600601 19600630    49.5
19600701 19600731    59.4
19600801 19600831    54.7
19600901 19600930    49.9
19601001 19601031    15.5
19601101 19601130    16.3
19601201 19601231     6.9
19610101 19610131     0.0
19610201 19610228     5.6
19610301 19610331     5.4
19610401 19610430    88.5
19610501 19610531    19.3
19610601 19610630    44.0
19610701 19610731    73.5
19610801 19610831    85.5
19610901 19610930    38.6
19611001 19611031     9.9
19611101 19611130    10.7
19611201 19611231     2.0
19620101 19620131     0.0
19620201 19620228     6.4
19620301 19620331    22.1
19620401 19620430     6.1
19620501 19620531    76.3
19620601 19620630    63.4
19620701 19620731    43.5
19620801 19620831    52.3
19620901 19620930    16.4
19621001 19621031    47.6
19621101 19621130    12.1
19621201 19621231    17.8
19630101 19630131    11.7
19630201 19630228    42.5
19630301 19630331     5.3
19630401 19630430    30.3
19630501 19630531    44.4
19630601 19630630    85.4
19630701 19630731   132.7
19630801 19630831    77.6
19630901 19630930    16.1
19631001 19631031     1.8
19631101 19631130     6.7
19631201 19631231     1.5
19640101 19640131     2.3
19640201 19640229     5.8
19640301 19640331     0.0
19640401 19640430    33.2
19640501 19640531    62.4
19640601 19640630   100.7
19640701 19640731   136.4
19640801 19640831    35.0
19640901 19640930    55.6
19641001 19641031    18.0
19641101 19641130    75.3
19641201 19641231     4.1
19650101 19650131     1.1
19650201 19650228     1.3
19650301 19650331     3.6
19650401 19650430    11.2
19650501 19650531    64.9
19650601 19650630    42.2
19650701 19650731    64.6
19650801 19650831   100.1
19650901 19650930    26.2
19651001 19651031     6.2
19651101 19651130    23.5
19651201 19651231    11.1
19660101 19660131    10.4
19660201 19660228     7.2
19660301 19660331    50.8
19660401 19660430     3.6
19660501 19660531    46.7
19660601 19660630    77.6
19660701 19660731    88.7
19660801 19660831    53.8
19660901 19660930    73.0
19661001 19661031    39.3
19661101 19661130    18.5
19661201 19661231    95.7
19670101 19670131    15.2
19670201 19670228    18.8
19670301 19670331     0.0
19670401 19670430     7.2
19670501 19670531    32.2
19670601 19670630    20.3
19670701 19670731    95.3
19670801 19670831    57.6
19670901 19670930    40.2
19671001 19671031    19.6
19671101 19671130     1.8
19671201 19671231    13.2
19680101 19680131    19.3
19680201 19680229     5.9
19680301 19680331    59.6
