PRCP       079010 19051201 20170930 missing_value=99999.9 DRUNG DRUNG                               
19901101 19901130    23.2
19901201 19901231    10.6
19910101 19910131    39.0
19910201 19910228     0.0
19910301 19910331    15.6
19910401 19910430    20.6
19910501 19910531     8.4
19910601 19910630   149.0
19910701 19910731    43.4
19910801 19910831    73.0
19910901 19910930    66.8
19911001 19911031     4.0
19911101 19911130    27.2
19911201 19911231    20.6
19920101 19920131     1.4
19920201 19920229    23.6
19920301 19920331    29.6
19920401 19920430    35.2
19920501 19920531    82.8
19920601 19920630    32.0
19920701 19920731    23.4
19920801 19920831    74.2
19920901 19920930    88.8
19921001 19921031   100.0
19921101 19921130    68.6
19921201 19921231    94.8
19930101 19930131    98.6
19930201 19930228    27.8
19930301 19930331    18.8
19930401 19930430     2.2
19930501 19930531    22.6
19930601 19930630    28.6
19930701 19930731    96.8
19930801 19930831    53.4
19930901 19930930    79.4
19931001 19931031    57.4
19931101 19931130    43.0
19931201 19931231    49.8
19940101 19940131    22.4
19940201 19940228    38.8
19940301 19940331     0.0
19940401 19940430     3.2
19940501 19940531    33.2
19940601 19940630    59.2
19940701 19940731    26.4
19940801 19940831    13.2
19940901 19940930    18.0
19941001 19941031    34.0
19941101 19941130    14.2
19941201 19941231     0.0
19950101 19950131    20.2
19950201 19950228    18.8
19950301 19950331     2.6
19950401 19950430    58.4
19950501 19950531    40.8
19950601 19950630    98.6
19950701 19950731   107.8
19950801 19950831    28.8
19950901 19950930    19.0
19951001 19951031    50.8
19951101 19951130     6.2
19951201 19951231     7.0
19960101 19960131    20.4
19960201 19960229    31.4
19960301 19960331    20.8
19960401 19960430    25.8
19960501 19960531    11.0
19960601 19960630   100.0
19960701 19960731    73.8
19960801 19960831    70.8
19960901 19960930    90.6
19961001 19961031    18.2
19961101 19961130     8.2
19961201 19961231    13.8
19970101 19970131    31.8
19970201 19970228    31.2
19970301 19970331     7.8
19970401 19970430     8.0
19970501 19970531    55.8
19970601 19970630    13.0
19970701 19970731    14.0
19970801 19970831    35.6
19970901 19970930    99.6
19971001 19971031    31.8
19971101 19971130    44.2
19971201 19971231     3.2
19980101 19980131     7.0
19980201 19980228    21.6
19980301 19980331     3.6
19980401 19980430    64.6
19980501 19980531    21.0
19980601 19980630    37.6
19980701 19980731    64.6
19980801 19980831    19.0
19980901 19980930    42.4
19981001 19981031    57.4
19981101 19981130    31.8
19981201 19981231    22.8
19990101 19990131    10.0
19990201 19990228    17.0
19990301 19990331 99999.9
19990401 19990430     0.6
19990501 19990531    59.4
19990601 19990630    29.6
19990701 19990731    34.2
19990801 19990831    63.0
19990901 19990930    25.6
19991001 19991031    36.6
19991101 19991130    40.2
19991201 19991231    64.0
20000101 20000131     2.4
20000201 20000229    49.8
20000301 20000331     8.0
20000401 20000430    44.2
20000501 20000531    41.8
20000601 20000630    23.4
20000701 20000731    57.6
20000801 20000831    33.2
20000901 20000930    63.6
20001001 20001031    36.8
20001101 20001130    23.0
20001201 20001231    25.0
20010101 20010131    26.6
20010201 20010228    16.0
20010301 20010331    31.8
20010401 20010430     7.4
20010501 20010531    12.0
20010601 20010630    48.6
