PRCP       068034 18990701 20040630 missing_value=99999.9 POINT PERPENDICULAR LIGHTHOUSE COMPARISON 
19871101 19871130    62.0
19871201 19871231    79.4
19880101 19880131    58.8
19880201 19880229    29.2
19880301 19880331    16.2
19880401 19880430   314.4
19880501 19880531   133.0
19880601 19880630   122.4
19880701 19880731    76.6
19880801 19880831    57.6
19880901 19880930    81.8
19881001 19881031     2.4
19881101 19881130   166.6
19881201 19881231    78.0
19890101 19890131   192.0
19890201 19890228    82.6
19890301 19890331   219.8
19890401 19890430   566.0
19890501 19890531   321.0
19890601 19890630   315.4
19890701 19890731    53.6
19890801 19890831    46.6
19890901 19890930    37.6
19891001 19891031    31.8
19891101 19891130   118.8
19891201 19891231   117.8
19900101 19900131    42.4
19900201 19900228   355.0
19900301 19900331    87.0
19900401 19900430   319.8
19900501 19900531   225.0
19900601 19900630    83.6
19900701 19900731    54.0
19900801 19900831   211.0
19900901 19900930   203.5
19901001 19901031    41.4
19901101 19901130    29.0
19901201 19901231    83.6
19910101 19910131    44.8
19910201 19910228    49.8
19910301 19910331    19.8
19910401 19910430    45.8
19910501 19910531   124.4
19910601 19910630   422.6
19910701 19910731   196.6
19910801 19910831     6.0
19910901 19910930    12.4
19911001 19911031    12.6
19911101 19911130    42.0
19911201 19911231   112.0
19920101 19920131   113.2
19920201 19920229   204.0
19920301 19920331    92.0
19920401 19920430    84.2
19920501 19920531   183.4
19920601 19920630    77.6
19920701 19920731    38.6
19920801 19920831    75.0
19920901 19920930    63.4
19921001 19921031    76.6
19921101 19921130   159.8
19921201 19921231   121.2
19930101 19930131   108.0
19930201 19930228    73.0
19930301 19930331   150.8
19930401 19930430    27.6
19930501 19930531   131.0
19930601 19930630    35.0
19930701 19930731    85.0
19930801 19930831    89.6
19930901 19930930   141.6
19931001 19931031    88.6
19931101 19931130    48.0
19931201 19931231    49.4
19940101 19940131    25.0
19940201 19940228 99999.9
19940301 19940331    33.2
19940401 19940430   123.0
