PRCP       009520 18970101 20171231 missing_value=99999.9 CAPE RICHE                                
19591001 19591031    50.9
19591101 19591130    93.9
19591201 19591231    36.4
19600101 19600131    35.6
19600201 19600229    57.2
19600301 19600331    41.8
19600401 19600430    77.6
19600501 19600531    99.6
19600601 19600630    48.9
19600701 19600731   127.1
19600801 19600831    53.0
19600901 19600930    92.1
19601001 19601031    12.8
19601101 19601130    24.5
19601201 19601231    10.4
19610101 19610131    20.7
19610201 19610228     5.6
19610301 19610331    13.0
19610401 19610430   132.8
19610501 19610531    70.4
19610601 19610630    87.4
19610701 19610731   119.7
19610801 19610831    45.0
19610901 19610930    58.4
19611001 19611031    24.0
19611101 19611130     9.8
19611201 19611231    20.6
19620101 19620131     3.5
19620201 19620228    25.4
19620301 19620331    16.8
19620401 19620430     9.0
19620501 19620531    42.4
19620601 19620630    54.5
19620701 19620731    66.5
19620801 19620831    68.6
19620901 19620930    26.9
19621001 19621031    69.6
19621101 19621130    13.6
19621201 19621231    29.2
19630101 19630131     5.4
19630201 19630228    15.7
19630301 19630331    35.4
19630401 19630430    64.3
19630501 19630531   130.0
19630601 19630630    56.7
19630701 19630731    77.1
19630801 19630831    43.3
19630901 19630930   115.1
19631001 19631031    52.6
19631101 19631130    62.4
19631201 19631231     5.8
19640101 19640131    43.9
19640201 19640229    23.6
19640301 19640331     3.9
19640401 19640430    94.3
19640501 19640531    27.4
19640601 19640630    94.7
19640701 19640731    76.4
19640801 19640831    76.7
19640901 19640930    31.2
19641001 19641031    93.8
19641101 19641130    14.1
19641201 19641231    45.8
19650101 19650131     8.5
19650201 19650228     5.1
19650301 19650331    18.8
19650401 19650430    22.1
19650501 19650531    58.9
19650601 19650630    48.3
19650701 19650731    36.2
19650801 19650831    99.8
19650901 19650930    39.2
19651001 19651031    97.1
19651101 19651130    70.9
19651201 19651231    49.5
19660101 19660131    18.0
19660201 19660228    14.1
19660301 19660331     4.6
19660401 19660430    82.3
19660501 19660531    45.9
19660601 19660630   169.7
19660701 19660731    45.1
19660801 19660831    41.3
19660901 19660930   110.3
19661001 19661031    85.1
19661101 19661130    16.0
19661201 19661231    26.1
19670101 19670131     3.6
