PRCP       015019 19030901 20151231 missing_value=99999.9 LAKE NASH                                 
19680501 19680531   149.4
19680601 19680630     0.0
19680701 19680731    30.5
19680801 19680831     2.5
19680901 19680930     0.0
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231     0.0
19690101 19690131     3.8
19690201 19690228    24.4
19690301 19690331    65.5
19690401 19690430     0.0
19690501 19690531     0.0
19690601 19690630     0.0
19690701 19690731    23.4
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     0.0
19691101 19691130     0.0
19691201 19691231    85.1
19700101 19700131     0.0
19700201 19700228    16.8
19700301 19700331     0.0
19700401 19700430    17.3
19700501 19700531     2.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    63.6
19701001 19701031     3.8
19701101 19701130    25.8
19701201 19701231     3.6
19710101 19710131     3.6
19710201 19710228    58.0
19710301 19710331   165.8
19710401 19710430   201.7
19710501 19710531     0.5
19710601 19710630     0.5
19710701 19710731    30.2
19710801 19710831    24.1
19710901 19710930     2.0
19711001 19711031     0.0
19711101 19711130    50.1
19711201 19711231    32.0
19720101 19720131     0.0
19720201 19720229    14.7
19720301 19720331   119.5
19720401 19720430     5.6
19720501 19720531     1.3
19720601 19720630     1.1
19720701 19720731     2.1
19720801 19720831     0.1
19720901 19720930     1.0
19721001 19721031     0.7
19721101 19721130    14.3
19721201 19721231     0.1
19730101 19730131    26.9
19730201 19730228    65.3
19730301 19730331    98.7
19730401 19730430     3.2
19730501 19730531     0.0
19730601 19730630    15.1
19730701 19730731     1.4
19730801 19730831     0.0
19730901 19730930    32.2
19731001 19731031     7.2
19731101 19731130    51.7
19731201 19731231    43.2
19740101 19740131   380.0
19740201 19740228   368.0
19740301 19740331   310.0
19740401 19740430     4.0
19740501 19740531    52.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    26.0
19740901 19740930    84.0
19741001 19741031     6.6
19741101 19741130     0.0
19741201 19741231    90.1
19750101 19750131    97.6
19750201 19750228   214.3
19750301 19750331    79.8
19750401 19750430     1.2
19750501 19750531     3.2
19750601 19750630     2.6
19750701 19750731     1.0
19750801 19750831     8.2
19750901 19750930    10.2
19751001 19751031    71.0
19751101 19751130     0.0
19751201 19751231    22.4
19760101 19760131   242.9
19760201 19760229   114.8
19760301 19760331    40.0
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    50.7
19761101 19761130    13.0
19761201 19761231    22.4
19770101 19770131   312.7
19770201 19770228   326.6
19770301 19770331    75.5
19770401 19770430     0.0
19770501 19770531    32.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.8
19771001 19771031     0.0
19771101 19771130    16.6
19771201 19771231   101.0
19780101 19780131    68.8
19780201 19780228    24.0
19780301 19780331    18.9
19780401 19780430     7.0
19780501 19780531    46.4
19780601 19780630     8.0
19780701 19780731    85.0
19780801 19780831     0.0
19780901 19780930     9.8
19781001 19781031     9.4
19781101 19781130     7.1
19781201 19781231    17.6
19790101 19790131    21.9
19790201 19790228   160.6
19790301 19790331    15.4
19790401 19790430     0.0
19790501 19790531    12.0
19790601 19790630    16.0
