PRCP       073012 19070401 20130331 missing_value=99999.9 HARDEN (DUNOLLY)                          
19940301 19940331    37.8
19940401 19940430    34.2
19940501 19940531     6.8
19940601 19940630    50.7
19940701 19940731    39.8
19940801 19940831    22.6
19940901 19940930    14.4
19941001 19941031    31.6
19941101 19941130    56.0
19941201 19941231    29.6
19950101 19950131   149.2
19950201 19950228     1.8
19950301 19950331     0.0
19950401 19950430    17.6
19950501 19950531   143.2
19950601 19950630    66.2
19950701 19950731    98.0
19950801 19950831     8.0
19950901 19950930    42.8
19951001 19951031    64.6
19951101 19951130   203.6
19951201 19951231    51.8
19960101 19960131   164.4
19960201 19960229    32.4
19960301 19960331     9.8
19960401 19960430    17.2
19960501 19960531    56.4
19960601 19960630    77.2
19960701 19960731   105.9
19960801 19960831    68.0
19960901 19960930    83.4
19961001 19961031    39.3
19961101 19961130    70.6
19961201 19961231    94.8
19970101 19970131    17.8
19970201 19970228     1.2
19970301 19970331    43.8
19970401 19970430     0.0
19970501 19970531    41.0
19970601 19970630    40.7
19970701 19970731    26.8
19970801 19970831    43.6
19970901 19970930    69.0
19971001 19971031    19.0
19971101 19971130    27.0
19971201 19971231     4.0
19980101 19980131    35.8
19980201 19980228    41.2
19980301 19980331     2.8
19980401 19980430    51.2
19980501 19980531    23.2
19980601 19980630   111.2
19980701 19980731    74.6
19980801 19980831    96.8
19980901 19980930    58.0
19981001 19981031    54.0
19981101 19981130    47.4
19981201 19981231    13.8
19990101 19990131    70.0
19990201 19990228     8.0
19990301 19990331    89.4
19990401 19990430    45.0
19990501 19990531    38.8
19990601 19990630    36.4
19990701 19990731    24.8
19990801 19990831    49.2
19990901 19990930    42.2
19991001 19991031   149.8
19991101 19991130    50.2
19991201 19991231   107.6
20000101 20000131    42.6
20000201 20000229    16.0
20000301 20000331    52.8
20000401 20000430    36.2
20000501 20000531    50.2
20000601 20000630    41.0
20000701 20000731    39.2
20000801 20000831    95.6
20000901 20000930    43.4
20001001 20001031    69.2
20001101 20001130    94.2
20001201 20001231    16.6
20010101 20010131    16.8
20010201 20010228    68.8
20010301 20010331    91.8
20010401 20010430    37.4
20010501 20010531    10.8
20010601 20010630    61.4
20010701 20010731    31.8
20010801 20010831    54.0
20010901 20010930    60.2
20011001 20011031    41.6
20011101 20011130    37.0
20011201 20011231     8.2
20020101 20020131     9.0
20020201 20020228   101.3
20020301 20020331    23.0
20020401 20020430     3.1
20020501 20020531    33.4
