PRCP       042023 18850101 20171231 missing_value=99999.9 MILES POST OFFICE                         
19540601 19540630    17.5
19540701 19540731   267.0
19540801 19540831   105.8
19540901 19540930    29.8
19541001 19541031   135.4
19541101 19541130    69.8
19541201 19541231    77.5
19550101 19550131    63.7
19550201 19550228    80.1
19550301 19550331    47.9
19550401 19550430   105.2
19550501 19550531   133.1
19550601 19550630    10.9
19550701 19550731    50.1
19550801 19550831    12.2
19550901 19550930    61.7
19551001 19551031   108.0
19551101 19551130    11.0
19551201 19551231   141.1
19560101 19560131   310.2
19560201 19560229   230.0
19560301 19560331    54.7
19560401 19560430    72.3
19560501 19560531   127.8
19560601 19560630    73.7
19560701 19560731    37.3
19560801 19560831     5.6
19560901 19560930    20.6
19561001 19561031    21.4
19561101 19561130    71.9
19561201 19561231   153.0
19570101 19570131   135.4
19570201 19570228    17.6
19570301 19570331    60.2
19570401 19570430    14.0
19570501 19570531     2.5
19570601 19570630    29.0
19570701 19570731    50.5
19570801 19570831    11.2
19570901 19570930     6.4
19571001 19571031    17.5
19571101 19571130     8.1
19571201 19571231     5.6
19580101 19580131   107.2
19580201 19580228    24.6
19580301 19580331    42.8
19580401 19580430    44.1
19580501 19580531     1.0
19580601 19580630   178.2
19580701 19580731    10.2
19580801 19580831    62.3
19580901 19580930    12.2
19581001 19581031    88.2
19581101 19581130    20.0
19581201 19581231   239.0
19590101 19590131   168.0
19590201 19590228   191.3
19590301 19590331    14.5
19590401 19590430     7.8
19590501 19590531    40.9
19590601 19590630     2.5
19590701 19590731    34.8
19590801 19590831     1.3
19590901 19590930    14.3
19591001 19591031    99.1
19591101 19591130    95.0
19591201 19591231   103.7
19600101 19600131    18.5
19600201 19600229    89.7
19600301 19600331    24.6
19600401 19600430    28.7
19600501 19600531    27.6
19600601 19600630    33.5
19600701 19600731    28.0
19600801 19600831    45.7
19600901 19600930    16.5
19601001 19601031    33.5
19601101 19601130    95.3
19601201 19601231    41.7
19610101 19610131    18.8
19610201 19610228   136.4
19610301 19610331    77.2
19610401 19610430    11.5
19610501 19610531    38.4
19610601 19610630    23.9
19610701 19610731    76.2
19610801 19610831    24.4
19610901 19610930     9.2
19611001 19611031    79.4
19611101 19611130   169.3
19611201 19611231   263.1
19620101 19620131   233.5
19620201 19620228    47.7
19620301 19620331    93.3
19620401 19620430    73.0
19620501 19620531    18.9
19620601 19620630    15.5
19620701 19620731    38.9
19620801 19620831    15.8
19620901 19620930    33.8
19621001 19621031    18.8
19621101 19621130    12.7
19621201 19621231    58.3
19630101 19630131    55.7
19630201 19630228    48.3
19630301 19630331    92.7
19630401 19630430     5.7
19630501 19630531    26.0
19630601 19630630    24.4
19630701 19630731     0.8
19630801 19630831    59.3
19630901 19630930     6.3
19631001 19631031    14.7
19631101 19631130    77.8
19631201 19631231    53.3
19640101 19640131    39.3
19640201 19640229    25.4
19640301 19640331    72.6
19640401 19640430    24.4
19640501 19640531    67.3
