PRCP       036028 18910101 20140630 missing_value=99999.9 LERIDA                                    
19780601 19780630     5.4
19780701 19780731    86.4
19780801 19780831     1.8
19780901 19780930    84.6
19781001 19781031    74.8
19781101 19781130    10.2
19781201 19781231    76.2
19790101 19790131    16.0
19790201 19790228   125.0
19790301 19790331    43.6
19790401 19790430     3.8
19790501 19790531     0.6
19790601 19790630     0.6
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     5.4
19791001 19791031    26.2
19791101 19791130    13.6
19791201 19791231    17.8
19800101 19800131    66.2
19800201 19800229   104.0
19800301 19800331    49.2
19800401 19800430     1.8
19800501 19800531     2.4
19800601 19800630     0.0
19800701 19800731     0.2
19800801 19800831     5.4
19800901 19800930     0.0
19801001 19801031     6.6
19801101 19801130    23.0
19801201 19801231    43.8
19810101 19810131   194.2
19810201 19810228    65.4
19810301 19810331    44.4
19810401 19810430    31.8
19810501 19810531    58.4
19810601 19810630    20.0
19810701 19810731    41.2
19810801 19810831     7.2
19810901 19810930     3.0
19811001 19811031    35.2
19811101 19811130    24.2
19811201 19811231    14.0
19820101 19820131    84.2
19820201 19820228    19.4
19820301 19820331    69.0
19820401 19820430     3.6
19820501 19820531     2.6
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     1.6
19821001 19821031     0.0
19821101 19821130     4.4
19821201 19821231    43.6
19830101 19830131    46.8
19830201 19830228     0.0
19830301 19830331    21.2
19830401 19830430    64.6
19830501 19830531    97.0
19830601 19830630    19.2
19830701 19830731     1.8
19830801 19830831     4.6
19830901 19830930     0.0
19831001 19831031     0.0
19831101 19831130    21.6
19831201 19831231    22.4
19840101 19840131   165.0
19840201 19840229   125.2
19840301 19840331    14.0
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731   136.4
19840801 19840831     0.8
19840901 19840930    26.4
19841001 19841031    23.6
19841101 19841130     0.0
19841201 19841231    58.2
19850101 19850131    16.4
19850201 19850228    25.2
19850301 19850331    10.6
19850401 19850430    12.0
19850501 19850531     2.2
19850601 19850630    82.6
19850701 19850731    27.6
19850801 19850831     6.4
19850901 19850930     0.0
19851001 19851031    35.6
19851101 19851130    42.2
19851201 19851231    45.4
