PRCP       070028 18980801 20160630 missing_value=99999.9 YASS (DERRINGULLEN)                       
19850201 19850228     0.2
19850301 19850331    61.8
19850401 19850430    77.4
19850501 19850531    60.8
19850601 19850630    35.4
19850701 19850731    46.4
19850801 19850831   130.6
19850901 19850930    71.6
19851001 19851031    58.6
19851101 19851130    74.6
19851201 19851231    44.4
19860101 19860131    31.6
19860201 19860228     1.4
19860301 19860331     0.8
19860401 19860430    51.4
19860501 19860531    58.8
19860601 19860630    29.2
19860701 19860731   130.2
19860801 19860831    58.2
19860901 19860930    76.4
19861001 19861031   101.6
19861101 19861130    97.0
19861201 19861231    47.8
19870101 19870131    38.2
19870201 19870228    26.8
19870301 19870331    54.8
19870401 19870430    15.4
19870501 19870531    59.6
19870601 19870630    62.2
19870701 19870731    61.8
19870801 19870831    68.0
19870901 19870930    51.6
19871001 19871031    57.6
19871101 19871130    38.8
19871201 19871231    50.0
19880101 19880131    19.2
19880201 19880229    30.6
19880301 19880331    37.0
19880401 19880430   111.8
19880501 19880531    89.2
19880601 19880630    55.2
19880701 19880731    89.2
19880801 19880831    83.6
19880901 19880930    53.8
19881001 19881031    37.2
19881101 19881130    94.4
19881201 19881231   128.0
19890101 19890131    20.0
19890201 19890228     1.2
19890301 19890331   246.4
19890401 19890430   146.6
19890501 19890531    94.6
19890601 19890630    40.0
19890701 19890731    53.6
19890801 19890831    75.2
19890901 19890930    28.2
19891001 19891031    43.4
19891101 19891130    36.4
19891201 19891231    27.2
19900101 19900131    68.0
19900201 19900228    84.4
19900301 19900331     0.6
19900401 19900430   181.0
19900501 19900531   105.8
19900601 19900630    49.2
19900701 19900731    93.6
19900801 19900831    99.8
19900901 19900930    38.2
19901001 19901031    63.2
19901101 19901130    15.2
19901201 19901231     8.2
19910101 19910131    63.6
19910201 19910228    37.8
19910301 19910331    19.8
19910401 19910430    16.8
19910501 19910531    24.2
19910601 19910630   162.2
19910701 19910731    96.0
19910801 19910831   111.4
19910901 19910930    59.2
19911001 19911031    22.4
19911101 19911130    35.8
19911201 19911231    89.0
19920101 19920131   123.4
19920201 19920229    97.0
19920301 19920331    26.4
19920401 19920430    25.0
19920501 19920531    39.0
19920601 19920630    51.0
19920701 19920731    31.0
19920801 19920831   120.4
19920901 19920930    78.6
19921001 19921031   136.4
19921101 19921130    82.4
19921201 19921231    75.6
19930101 19930131    35.6
19930201 19930228    25.4
19930301 19930331    98.8
19930401 19930430     1.4
19930501 19930531    45.8
19930601 19930630    48.2
19930701 19930731   188.0
19930801 19930831    38.2
19930901 19930930   113.2
19931001 19931031   123.4
19931101 19931130    92.6
19931201 19931231    64.2
