PRCP       084030 18830301 20111031 missing_value=99999.9 ORBOST (COMPARISON)                       
19740101 19740131    93.4
19740201 19740228    56.4
19740301 19740331     2.3
19740401 19740430   126.5
19740501 19740531   164.2
19740601 19740630   174.0
19740701 19740731   191.5
19740801 19740831    73.2
19740901 19740930    87.7
19741001 19741031   115.3
19741101 19741130   151.7
19741201 19741231    54.4
19750101 19750131    64.0
19750201 19750228    62.6
19750301 19750331    27.7
19750401 19750430    85.7
19750501 19750531    15.2
19750601 19750630   178.2
19750701 19750731    24.8
19750801 19750831   133.9
19750901 19750930   122.0
19751001 19751031    99.2
19751101 19751130    39.2
19751201 19751231   131.3
19760101 19760131    46.1
19760201 19760229    43.9
19760301 19760331    54.9
19760401 19760430    29.8
19760501 19760531    11.2
19760601 19760630   140.1
19760701 19760731    17.7
19760801 19760831   153.8
19760901 19760930    86.7
19761001 19761031    90.9
19761101 19761130    76.8
19761201 19761231    39.0
19770101 19770131    58.1
19770201 19770228    82.0
19770301 19770331    40.4
19770401 19770430    91.3
19770501 19770531    26.0
19770601 19770630   107.0
19770701 19770731   117.1
19770801 19770831    20.2
19770901 19770930   200.3
19771001 19771031    36.4
19771101 19771130    34.0
19771201 19771231    31.2
19780101 19780131    61.4
19780201 19780228    39.4
19780301 19780331   132.2
19780401 19780430   330.3
19780501 19780531   148.4
19780601 19780630   347.6
19780701 19780731   106.0
