PRCP       018001 19070801 20180131 missing_value=99999.9 ARNO BAY                                  
19891101 19891130    33.8
19891201 19891231    41.0
19900101 19900131    12.0
19900201 19900228    13.4
19900301 19900331     6.0
19900401 19900430     7.8
19900501 19900531    18.2
19900601 19900630    50.8
19900701 19900731    42.4
19900801 19900831    26.6
19900901 19900930    33.4
19901001 19901031    14.4
19901101 19901130     1.0
19901201 19901231    64.4
19910101 19910131     2.4
19910201 19910228     0.0
19910301 19910331    35.4
19910401 19910430    18.6
19910501 19910531    18.4
19910601 19910630    79.6
19910701 19910731    24.5
19910801 19910831    24.4
19910901 19910930    19.0
19911001 19911031     4.4
19911101 19911130    22.4
19911201 19911231     5.0
19920101 19920131     4.2
19920201 19920229     5.0
19920301 19920331    51.0
19920401 19920430    74.2
19920501 19920531    40.0
19920601 19920630    16.2
19920701 19920731    28.8
19920801 19920831    47.4
19920901 19920930   102.8
19921001 19921031    64.6
19921101 19921130    38.6
19921201 19921231    67.6
19930101 19930131    41.6
19930201 19930228    10.0
19930301 19930331    20.0
19930401 19930430     3.4
19930501 19930531    16.8
19930601 19930630    48.4
19930701 19930731    44.2
19930801 19930831    30.6
19930901 19930930    33.2
19931001 19931031    38.8
19931101 19931130    28.8
19931201 19931231    50.2
19940101 19940131     0.0
19940201 19940228    11.6
19940301 19940331     0.0
19940401 19940430     6.2
19940501 19940531    20.6
19940601 19940630    61.4
19940701 19940731    17.6
19940801 19940831     8.2
19940901 19940930     8.8
19941001 19941031     8.0
19941101 19941130    12.0
19941201 19941231    10.6
19950101 19950131    39.6
19950201 19950228     3.6
19950301 19950331    11.8
19950401 19950430    15.2
19950501 19950531    51.4
19950601 19950630    38.6
19950701 19950731    47.6
19950801 19950831    16.4
19950901 19950930    29.0
19951001 19951031    12.0
19951101 19951130    28.2
19951201 19951231     6.4
19960101 19960131     8.4
19960201 19960229     9.0
19960301 19960331     6.6
19960401 19960430     3.6
19960501 19960531    15.2
19960601 19960630    36.4
19960701 19960731    52.2
19960801 19960831    65.4
19960901 19960930    45.6
19961001 19961031    18.2
19961101 19961130    10.6
19961201 19961231    14.8
19970101 19970131    17.0
19970201 19970228    53.0
19970301 19970331     3.4
19970401 19970430     0.0
19970501 19970531    54.0
19970601 19970630    17.4
19970701 19970731     6.8
19970801 19970831    32.2
