PRCP       063005 19080701 20180131 missing_value=99999.9 BATHURST AGRICULTURAL STATION             
19750601 19750630    55.7
19750701 19750731    29.3
19750801 19750831    64.3
19750901 19750930    55.8
19751001 19751031   119.1
19751101 19751130    31.6
19751201 19751231    24.5
19760101 19760131   196.1
19760201 19760229    94.5
19760301 19760331    90.1
19760401 19760430    22.2
19760501 19760531     8.6
19760601 19760630    11.4
19760701 19760731    75.6
19760801 19760831    21.1
19760901 19760930    79.5
19761001 19761031   118.0
19761101 19761130    32.8
19761201 19761231    36.7
19770101 19770131    56.6
19770201 19770228    49.4
19770301 19770331    68.7
19770401 19770430    32.6
19770501 19770531    63.9
19770601 19770630    30.0
19770701 19770731     5.0
19770801 19770831    27.6
19770901 19770930    39.0
19771001 19771031    14.9
19771101 19771130    10.2
19771201 19771231    23.2
19780101 19780131   223.7
19780201 19780228     3.4
19780301 19780331   126.4
19780401 19780430     8.9
19780501 19780531    98.3
19780601 19780630    55.5
19780701 19780731    51.5
19780801 19780831    25.9
19780901 19780930   124.9
19781001 19781031    48.4
19781101 19781130    92.8
19781201 19781231    81.3
19790101 19790131    13.0
19790201 19790228     5.7
19790301 19790331   103.9
19790401 19790430    62.4
19790501 19790531    64.0
19790601 19790630    19.3
19790701 19790731    16.9
19790801 19790831    27.1
19790901 19790930    63.3
19791001 19791031    30.3
19791101 19791130    34.3
19791201 19791231     3.4
19800101 19800131    60.6
19800201 19800229    47.2
19800301 19800331    22.4
19800401 19800430     2.4
19800501 19800531    46.9
19800601 19800630    47.3
19800701 19800731    43.6
19800801 19800831    20.9
19800901 19800930     9.2
19801001 19801031    42.4
19801101 19801130    24.0
19801201 19801231    79.4
19810101 19810131    28.0
19810201 19810228    67.3
19810301 19810331     8.2
19810401 19810430     8.2
19810501 19810531    49.6
19810601 19810630    68.1
19810701 19810731   108.4
19810801 19810831    23.7
19810901 19810930    15.6
19811001 19811031    63.2
19811101 19811130    90.0
19811201 19811231    65.7
19820101 19820131    21.4
19820201 19820228    10.0
19820301 19820331    54.4
19820401 19820430     5.4
19820501 19820531    11.0
19820601 19820630    23.8
19820701 19820731    23.0
19820801 19820831     2.2
19820901 19820930    37.0
19821001 19821031     6.6
19821101 19821130     6.6
19821201 19821231    12.8
19830101 19830131    36.8
19830201 19830228    32.6
19830301 19830331    40.4
19830401 19830430    58.7
19830501 19830531    99.8
19830601 19830630    18.8
19830701 19830731    36.0
19830801 19830831    38.8
19830901 19830930    75.4
19831001 19831031    71.0
19831101 19831130    56.0
19831201 19831231   121.0
19840101 19840131   180.2
19840201 19840229    95.0
19840301 19840331    22.6
19840401 19840430    70.2
19840501 19840531    32.2
19840601 19840630     4.6
19840701 19840731   124.8
19840801 19840831    52.9
19840901 19840930    43.6
19841001 19841031    47.4
19841101 19841130    62.0
19841201 19841231    14.2
19850101 19850131     1.4
19850201 19850228    16.2
19850301 19850331    64.6
19850401 19850430    40.8
19850501 19850531    31.8
19850601 19850630    37.4
19850701 19850731     6.2
19850801 19850831    71.4
19850901 19850930    70.4
19851001 19851031    89.8
19851101 19851130    91.0
19851201 19851231    37.8
19860101 19860131   102.0
19860201 19860228    17.8
19860301 19860331     6.6
19860401 19860430    42.2
19860501 19860531    44.8
19860601 19860630     7.8
19860701 19860731    62.4
19860801 19860831   163.2
19860901 19860930    44.4
19861001 19861031    56.4
19861101 19861130    70.8
19861201 19861231    18.2
19870101 19870131    24.4
19870201 19870228    82.4
19870301 19870331   157.0
19870401 19870430    15.4
19870501 19870531    91.8
19870601 19870630    32.6
19870701 19870731    30.2
19870801 19870831    79.0
19870901 19870930    20.8
19871001 19871031    73.6
19871101 19871130    63.2
19871201 19871231   107.0
19880101 19880131    95.2
19880201 19880229    22.6
19880301 19880331    24.8
19880401 19880430   110.8
19880501 19880531    41.2
19880601 19880630    40.2
