PRCP       037043 18911101 20120831 missing_value=99999.9 URANDANGIE                                
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    23.2
19701001 19701031    23.4
19701101 19701130     9.1
19701201 19701231    12.4
19710101 19710131    10.4
19710201 19710228    30.6
19710301 19710331   161.9
19710401 19710430   134.8
19710501 19710531     0.0
19710601 19710630     5.1
19710701 19710731    16.0
19710801 19710831    36.1
19710901 19710930    11.2
19711001 19711031     2.6
19711101 19711130    26.7
19711201 19711231     3.1
19720101 19720131     1.0
19720201 19720229    17.0
19720301 19720331   239.5
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.5
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130     0.0
19721201 19721231    13.0
19730101 19730131     2.1
19730201 19730228    66.2
19730301 19730331   176.3
19730401 19730430    16.5
19730501 19730531     0.3
19730601 19730630     6.1
19730701 19730731     0.5
19730801 19730831     9.9
19730901 19730930    28.5
19731001 19731031     1.3
19731101 19731130    20.4
19731201 19731231    32.0
19740101 19740131   439.6
19740201 19740228   124.3
19740301 19740331    56.8
19740401 19740430    13.4
19740501 19740531    27.5
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    14.6
19740901 19740930    11.6
19741001 19741031     3.9
19741101 19741130     2.4
19741201 19741231    50.6
19750101 19750131    24.0
19750201 19750228   200.8
19750301 19750331    35.1
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630     7.0
19750701 19750731     0.0
19750801 19750831     1.6
19750901 19750930     5.8
19751001 19751031    50.6
19751101 19751130     1.2
19751201 19751231    39.8
19760101 19760131   168.0
19760201 19760229   181.8
19760301 19760331    20.6
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     8.6
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    64.2
19761101 19761130    42.8
19761201 19761231     7.6
19770101 19770131   175.4
19770201 19770228   271.3
19770301 19770331    39.8
19770401 19770430    12.6
19770501 19770531    25.4
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     1.6
19771001 19771031     0.0
19771101 19771130    57.2
19771201 19771231    75.0
19780101 19780131   108.0
19780201 19780228     3.0
19780301 19780331    23.4
19780401 19780430     0.0
19780501 19780531    44.9
19780601 19780630    12.1
19780701 19780731   122.8
