PRCP       070027 18890701 20180131 missing_value=99999.9 DELEGATE (WEEWALLA)                       
19610701 19610731   111.1
19610801 19610831    50.6
19610901 19610930   103.1
19611001 19611031    51.6
19611101 19611130    90.1
19611201 19611231    70.4
19620101 19620131   134.4
19620201 19620228    48.4
19620301 19620331    31.6
19620401 19620430    36.3
19620501 19620531    40.9
19620601 19620630     9.2
19620701 19620731    20.6
19620801 19620831    31.6
19620901 19620930    51.9
19621001 19621031    41.9
19621101 19621130    29.3
19621201 19621231    63.3
19630101 19630131   120.7
19630201 19630228   119.1
19630301 19630331    21.6
19630401 19630430    23.1
19630501 19630531   113.4
19630601 19630630    25.7
19630701 19630731    79.3
19630801 19630831    28.4
19630901 19630930    39.8
19631001 19631031    74.8
19631101 19631130    55.1
19631201 19631231    62.5
19640101 19640131     4.9
19640201 19640229    68.3
19640301 19640331    25.5
19640401 19640430   152.4
19640501 19640531    36.4
19640601 19640630    23.6
19640701 19640731    36.7
19640801 19640831    75.7
19640901 19640930    36.1
19641001 19641031    62.6
19641101 19641130    33.2
19641201 19641231    59.9
19650101 19650131     9.3
19650201 19650228    13.7
19650301 19650331    21.8
19650401 19650430    27.6
19650501 19650531    12.7
19650601 19650630    22.8
19650701 19650731    14.8
19650801 19650831   110.0
19650901 19650930    23.8
19651001 19651031    32.9
19651101 19651130    95.0
19651201 19651231    25.7
19660101 19660131    46.7
19660201 19660228    47.2
19660301 19660331    55.9
19660401 19660430    19.3
19660501 19660531    25.8
19660601 19660630    77.7
19660701 19660731    60.0
19660801 19660831    28.9
19660901 19660930    52.0
19661001 19661031    97.2
19661101 19661130    98.5
19661201 19661231   161.4
19670101 19670131    34.4
19670201 19670228     7.9
19670301 19670331    32.8
19670401 19670430     3.8
19670501 19670531    49.9
19670601 19670630    19.9
19670701 19670731    18.5
19670801 19670831    58.0
19670901 19670930    63.5
19671001 19671031    31.5
19671101 19671130    30.5
19671201 19671231    13.5
19680101 19680131    84.1
