PRCP       037051 18840101 20120531 missing_value=99999.9 WINTON POST OFFICE                        
19760701 19760731     2.4
19760801 19760831     5.2
19760901 19760930     4.6
19761001 19761031    17.0
19761101 19761130    32.1
19761201 19761231   113.0
19770101 19770131   124.2
19770201 19770228   163.5
19770301 19770331    39.4
19770401 19770430     8.6
19770501 19770531    73.5
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     1.2
19771101 19771130     0.0
19771201 19771231    85.2
19780101 19780131   100.4
19780201 19780228    31.5
19780301 19780331     7.4
19780401 19780430     0.6
19780501 19780531    35.9
19780601 19780630     4.9
19780701 19780731   112.8
19780801 19780831     1.3
19780901 19780930    28.9
19781001 19781031    70.2
19781101 19781130    25.8
19781201 19781231    47.6
19790101 19790131    67.4
19790201 19790228   183.5
19790301 19790331    18.1
19790401 19790430     0.2
19790501 19790531     5.6
19790601 19790630    31.4
