PRCP       082001 18760101 20180131 missing_value=99999.9 BEECHWORTH COMPOSITE                      
19641101 19641130    30.5
19641201 19641231    73.9
19650101 19650131     7.6
19650201 19650228     5.6
19650301 19650331     7.8
19650401 19650430    39.5
19650501 19650531    91.9
19650601 19650630    22.3
19650701 19650731    76.4
19650801 19650831   176.9
19650901 19650930    96.0
19651001 19651031    45.7
19651101 19651130    80.9
19651201 19651231    47.8
19660101 19660131    34.9
19660201 19660228    46.5
19660301 19660331    74.2
19660401 19660430    25.7
19660501 19660531    75.0
19660601 19660630    73.7
19660701 19660731   103.6
19660801 19660831   136.6
19660901 19660930   220.8
19661001 19661031   139.2
19661101 19661130    90.3
19661201 19661231   123.2
19670101 19670131    16.5
19670201 19670228    13.5
19670301 19670331    37.8
19670401 19670430    13.3
19670501 19670531    32.6
19670601 19670630    45.3
19670701 19670731    58.2
19670801 19670831   118.8
19670901 19670930    56.8
19671001 19671031    59.6
19671101 19671130     5.1
19671201 19671231    20.4
19680101 19680131    42.6
19680201 19680229    59.4
19680301 19680331    37.9
19680401 19680430    83.4
19680501 19680531   294.1
19680601 19680630   103.3
19680701 19680731   100.7
19680801 19680831   145.9
19680901 19680930    39.8
19681001 19681031   120.3
19681101 19681130    77.6
19681201 19681231    92.5
19690101 19690131    24.3
19690201 19690228   101.7
19690301 19690331    93.5
19690401 19690430    72.4
19690501 19690531   113.2
19690601 19690630    34.9
19690701 19690731   211.0
19690801 19690831    52.2
19690901 19690930   138.5
19691001 19691031    80.2
19691101 19691130    45.6
19691201 19691231    82.7
19700101 19700131    95.5
19700201 19700228    11.2
19700301 19700331    84.3
19700401 19700430   155.1
19700501 19700531    68.5
19700601 19700630    93.2
19700701 19700731   104.4
19700801 19700831   170.1
19700901 19700930   139.1
19701001 19701031    36.8
19701101 19701130   114.6
19701201 19701231    41.2
19710101 19710131    16.7
19710201 19710228    59.9
19710301 19710331    96.5
19710401 19710430   113.8
