PRCP       007007 18910101 20161130 missing_value=99999.9 BOOLARDY                                  
19551201 19551231     3.8
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331     2.1
19560401 19560430     0.3
19560501 19560531    31.3
19560601 19560630    34.6
19560701 19560731    16.8
19560801 19560831    44.1
19560901 19560930     4.6
19561001 19561031    28.7
19561101 19561130    12.9
19561201 19561231     1.3
19570101 19570131    12.4
19570201 19570228     6.1
19570301 19570331    12.4
19570401 19570430     0.5
19570501 19570531    10.7
19570601 19570630    57.0
19570701 19570731     0.3
19570801 19570831    15.3
19570901 19570930     1.0
19571001 19571031     0.5
19571101 19571130     0.0
19571201 19571231     2.8
19580101 19580131    42.7
19580201 19580228     1.8
19580301 19580331    47.5
19580401 19580430     5.1
19580501 19580531    57.6
19580601 19580630     9.2
19580701 19580731    38.2
19580801 19580831    16.3
19580901 19580930     6.4
19581001 19581031     8.6
19581101 19581130     6.6
19581201 19581231    10.1
19590101 19590131     0.0
19590201 19590228     4.9
19590301 19590331     8.9
19590401 19590430    60.5
19590501 19590531     1.8
19590601 19590630    30.4
19590701 19590731    24.9
19590801 19590831     5.6
19590901 19590930     0.0
19591001 19591031    10.2
19591101 19591130     0.0
19591201 19591231    11.7
19600101 19600131     9.6
19600201 19600229   128.8
19600301 19600331    36.3
19600401 19600430    18.0
19600501 19600531    11.1
19600601 19600630    10.7
19600701 19600731    85.0
19600801 19600831     3.3
19600901 19600930    13.5
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    37.4
19610201 19610228    11.1
19610301 19610331     3.5
19610401 19610430    23.6
19610501 19610531     2.0
19610601 19610630    15.3
19610701 19610731    10.6
19610801 19610831     7.7
19610901 19610930     0.0
19611001 19611031     1.5
19611101 19611130     0.0
19611201 19611231    10.4
19620101 19620131    25.5
19620201 19620228     9.1
19620301 19620331     0.0
19620401 19620430     1.5
19620501 19620531    61.9
19620601 19620630     8.4
19620701 19620731    13.0
19620801 19620831     2.5
19620901 19620930     0.0
19621001 19621031    12.7
19621101 19621130     0.0
19621201 19621231    72.7
19630101 19630131    81.2
19630201 19630228    47.3
19630301 19630331    48.0
19630401 19630430    21.3
19630501 19630531    70.7
19630601 19630630    33.0
19630701 19630731    88.5
19630801 19630831     8.1
19630901 19630930     1.5
19631001 19631031     0.0
19631101 19631130     0.8
19631201 19631231     9.4
19640101 19640131     6.2
19640201 19640229    12.0
19640301 19640331    71.6
19640401 19640430    19.1
19640501 19640531     0.0
19640601 19640630    47.8
19640701 19640731    45.5
19640801 19640831    13.0
19640901 19640930    11.4
19641001 19641031     2.3
19641101 19641130     8.6
19641201 19641231     0.0
19650101 19650131    12.0
19650201 19650228     1.0
19650301 19650331    38.9
19650401 19650430     1.8
19650501 19650531    25.9
19650601 19650630    83.6
19650701 19650731    49.7
