PRCP       022009 18791001 20171130 missing_value=99999.9 MINLATON                                  
19580301 19580331    19.0
19580401 19580430    17.5
19580501 19580531    94.3
19580601 19580630     6.4
19580701 19580731    63.2
19580801 19580831    61.2
19580901 19580930    69.0
19581001 19581031    40.8
19581101 19581130     8.2
19581201 19581231     9.2
19590101 19590131     0.3
19590201 19590228    17.7
19590301 19590331    38.9
19590401 19590430    18.3
19590501 19590531    14.8
19590601 19590630     5.9
19590701 19590731    30.8
19590801 19590831    31.9
19590901 19590930    29.4
19591001 19591031    35.6
19591101 19591130    18.1
19591201 19591231    25.0
19600101 19600131     7.6
19600201 19600229    55.9
19600301 19600331    17.0
19600401 19600430    55.2
19600501 19600531    95.9
19600601 19600630    33.2
19600701 19600731    50.8
19600801 19600831    41.7
19600901 19600930    59.1
19601001 19601031    14.0
19601101 19601130    41.2
19601201 19601231    11.7
19610101 19610131     2.1
19610201 19610228    14.9
19610301 19610331     9.8
19610401 19610430    75.4
19610501 19610531    32.8
19610601 19610630    24.4
19610701 19610731    40.3
19610801 19610831    43.0
19610901 19610930    26.2
19611001 19611031     7.7
19611101 19611130    11.8
19611201 19611231     5.6
19620101 19620131     4.8
19620201 19620228    15.0
19620301 19620331    17.6
19620401 19620430     7.9
19620501 19620531    65.6
19620601 19620630    37.8
19620701 19620731    25.0
19620801 19620831    41.9
19620901 19620930    14.9
19621001 19621031    59.0
19621101 19621130    12.5
19621201 19621231    14.7
19630101 19630131    31.9
19630201 19630228     8.1
19630301 19630331     1.1
19630401 19630430    48.7
19630501 19630531   105.6
19630601 19630630    90.9
19630701 19630731    94.4
19630801 19630831    39.6
19630901 19630930    31.6
19631001 19631031    31.7
19631101 19631130     1.9
19631201 19631231     1.0
19640101 19640131     4.8
19640201 19640229    24.6
19640301 19640331     1.1
19640401 19640430    57.8
19640501 19640531    39.8
19640601 19640630    53.2
19640701 19640731    77.1
19640801 19640831    22.0
19640901 19640930    64.5
19641001 19641031    72.7
19641101 19641130    64.0
19641201 19641231    13.5
19650101 19650131     1.5
19650201 19650228     2.8
19650301 19650331     8.4
19650401 19650430    14.8
19650501 19650531    78.4
19650601 19650630    34.2
19650701 19650731    73.2
19650801 19650831    51.6
19650901 19650930    29.8
19651001 19651031     2.3
19651101 19651130    16.1
19651201 19651231     9.1
19660101 19660131     2.3
19660201 19660228     4.3
19660301 19660331    22.9
19660401 19660430     6.9
19660501 19660531    56.7
19660601 19660630    52.5
19660701 19660731    95.5
19660801 19660831    27.7
19660901 19660930    65.9
19661001 19661031    29.8
19661101 19661130    23.6
19661201 19661231    83.6
19670101 19670131     9.7
19670201 19670228    85.1
19670301 19670331     0.0
19670401 19670430     9.0
19670501 19670531    22.9
19670601 19670630     9.1
19670701 19670731    50.1
19670801 19670831    64.1
19670901 19670930    23.8
19671001 19671031    11.9
19671101 19671130     1.0
19671201 19671231     5.1
19680101 19680131    10.1
19680201 19680229    17.8
19680301 19680331    38.7
19680401 19680430    88.1
19680501 19680531   100.8
19680601 19680630    56.6
19680701 19680731    62.8
19680801 19680831    80.1
19680901 19680930    32.7
19681001 19681031    68.8
19681101 19681130    35.5
19681201 19681231    20.6
19690101 19690131     5.6
19690201 19690228    97.4
19690301 19690331    23.2
19690401 19690430    32.2
19690501 19690531    48.4
19690601 19690630    44.6
19690701 19690731    74.0
19690801 19690831    35.9
19690901 19690930    39.2
19691001 19691031     3.1
19691101 19691130     6.5
19691201 19691231    21.6
19700101 19700131    27.3
19700201 19700228     0.8
19700301 19700331     4.6
19700401 19700430    44.0
19700501 19700531    38.5
