PRCP       016032 19030101 20170430 missing_value=99999.9 NONNING                                   
19910201 19910228     0.0
19910301 19910331    10.2
19910401 19910430    10.2
19910501 19910531    27.0
19910601 19910630    80.2
19910701 19910731    27.4
19910801 19910831    18.0
19910901 19910930    30.0
19911001 19911031     2.2
19911101 19911130    47.8
19911201 19911231     2.4
19920101 19920131    13.8
19920201 19920229    31.0
19920301 19920331    64.0
19920401 19920430    35.8
19920501 19920531    38.6
19920601 19920630     9.6
19920701 19920731    10.8
19920801 19920831    53.8
19920901 19920930    55.8
19921001 19921031    95.6
19921101 19921130    34.8
19921201 19921231   131.2
19930101 19930131    44.4
19930201 19930228     3.2
19930301 19930331     7.0
19930401 19930430     0.8
19930501 19930531    18.0
19930601 19930630    16.8
19930701 19930731    19.4
19930801 19930831    19.6
19930901 19930930    23.8
19931001 19931031    59.6
19931101 19931130     2.6
19931201 19931231    78.4
19940101 19940131     5.8
19940201 19940228    27.4
19940301 19940331     0.0
19940401 19940430 99999.9
19940501 19940531     2.8
19940601 19940630    48.2
19940701 19940731    20.8
19940801 19940831     3.8
19940901 19940930     6.8
19941001 19941031     6.2
19941101 19941130     5.4
19941201 19941231     2.8
19950101 19950131    27.0
19950201 19950228     5.2
19950301 19950331     9.8
19950401 19950430    12.6
19950501 19950531    26.0
19950601 19950630    53.6
19950701 19950731    58.6
19950801 19950831     9.0
19950901 19950930    12.8
19951001 19951031    22.4
19951101 19951130    12.0
19951201 19951231     2.6
19960101 19960131     8.6
19960201 19960229     6.2
19960301 19960331    19.6
19960401 19960430     0.8
19960501 19960531     0.2
19960601 19960630    37.4
19960701 19960731    63.8
19960801 19960831    40.4
19960901 19960930    48.6
19961001 19961031    11.2
19961101 19961130     8.8
19961201 19961231     3.2
19970101 19970131    15.4
19970201 19970228    57.2
19970301 19970331     0.2
19970401 19970430     0.2
19970501 19970531    24.0
19970601 19970630     4.4
19970701 19970731     6.2
19970801 19970831    38.8
19970901 19970930    90.1
19971001 19971031    49.6
19971101 19971130    20.0
19971201 19971231    78.8
19980101 19980131     5.8
19980201 19980228    24.0
19980301 19980331     9.8
19980401 19980430    36.2
19980501 19980531     3.2
19980601 19980630    35.4
19980701 19980731    48.6
19980801 19980831    23.6
19980901 19980930    33.2
