PRCP       009561 19050101 20180131 missing_value=99999.9 KENDENUP POST OFFICE                      
19960601 19960630    77.4
19960701 19960731   124.8
19960801 19960831    72.0
19960901 19960930   126.0
19961001 19961031    46.0
19961101 19961130    26.6
19961201 19961231    23.6
19970101 19970131     4.0
19970201 19970228    70.4
19970301 19970331    28.6
19970401 19970430    12.8
19970501 19970531    67.8
19970601 19970630    53.4
19970701 19970731    70.8
19970801 19970831    74.4
19970901 19970930    55.0
19971001 19971031    19.0
19971101 19971130    17.8
19971201 19971231    10.2
19980101 19980131     2.6
19980201 19980228     2.4
19980301 19980331    82.4
19980401 19980430    80.8
19980501 19980531    43.2
19980601 19980630    96.0
19980701 19980731    52.2
19980801 19980831   101.6
19980901 19980930    61.6
19981001 19981031    40.4
19981101 19981130    12.6
19981201 19981231    25.6
19990101 19990131    11.2
19990201 19990228     4.0
19990301 19990331    25.2
19990401 19990430    15.4
19990501 19990531    98.6
19990601 19990630    82.0
19990701 19990731    60.2
19990801 19990831    54.6
19990901 19990930    70.4
19991001 19991031    57.2
19991101 19991130    19.4
19991201 19991231    29.6
20000101 20000131    54.4
20000201 20000229    15.6
20000301 20000331    57.2
20000401 20000430    21.4
20000501 20000531    31.2
