PRCP       090135 18900101 20180131 missing_value=99999.9 CASTERTON SHOWGROUNDS                     
19630601 19630630    45.6
19630701 19630731    98.5
19630801 19630831    60.3
19630901 19630930    66.6
19631001 19631031    25.4
19631101 19631130     8.5
19631201 19631231     5.4
19640101 19640131    15.6
19640201 19640229    42.6
19640301 19640331    28.1
19640401 19640430    29.5
19640501 19640531    49.7
19640601 19640630   103.0
19640701 19640731   160.3
19640801 19640831    90.1
19640901 19640930    90.6
19641001 19641031    82.5
19641101 19641130    77.0
19641201 19641231    57.6
19650101 19650131     2.5
19650201 19650228     1.5
19650301 19650331    22.7
19650401 19650430    45.7
19650501 19650531    86.4
19650601 19650630    26.7
19650701 19650731    87.1
19650801 19650831    70.4
19650901 19650930    48.8
19651001 19651031    21.6
19651101 19651130    60.6
19651201 19651231    34.0
19660101 19660131    19.6
19660201 19660228    18.5
19660301 19660331    28.8
19660401 19660430    29.0
19660501 19660531    24.0
19660601 19660630    41.7
19660701 19660731   120.8
19660801 19660831    65.1
19660901 19660930    67.1
19661001 19661031    54.9
19661101 19661130    29.6
19661201 19661231    88.6
19670101 19670131    10.2
19670201 19670228    29.7
19670301 19670331    11.7
19670401 19670430     5.4
19670501 19670531    17.9
19670601 19670630    11.5
19670701 19670731    72.0
19670801 19670831    73.9
19670901 19670930    23.0
19671001 19671031    16.3
19671101 19671130    20.2
19671201 19671231    37.3
19680101 19680131    10.2
19680201 19680229     8.0
19680301 19680331    34.6
19680401 19680430    85.8
19680501 19680531   101.7
19680601 19680630    90.4
19680701 19680731    64.8
19680801 19680831    94.8
19680901 19680930    42.3
19681001 19681031    86.0
19681101 19681130    72.6
19681201 19681231    25.1
19690101 19690131    16.6
19690201 19690228    81.0
19690301 19690331    29.9
19690401 19690430    33.4
19690501 19690531    57.7
19690601 19690630     7.7
19690701 19690731    58.0
19690801 19690831    67.9
19690901 19690930    86.5
19691001 19691031    35.4
19691101 19691130    31.4
19691201 19691231    29.7
19700101 19700131    32.2
19700201 19700228     3.4
19700301 19700331    70.2
19700401 19700430    65.3
19700501 19700531    53.5
19700601 19700630    49.7
19700701 19700731    93.1
19700801 19700831   120.1
19700901 19700930    51.5
19701001 19701031    28.4
19701101 19701130    63.0
19701201 19701231    59.5
19710101 19710131    25.4
19710201 19710228     4.1
19710301 19710331    43.8
19710401 19710430   103.8
19710501 19710531    97.0
19710601 19710630    78.6
19710701 19710731    48.6
19710801 19710831    81.2
19710901 19710930    63.2
19711001 19711031    81.5
19711101 19711130    76.6
19711201 19711231    49.8
19720101 19720131    36.7
19720201 19720229    30.8
19720301 19720331     8.7
19720401 19720430    49.2
19720501 19720531    21.2
19720601 19720630    21.0
19720701 19720731    88.6
19720801 19720831    54.9
19720901 19720930    23.4
19721001 19721031    30.6
19721101 19721130    44.1
19721201 19721231     1.9
19730101 19730131    31.1
19730201 19730228    49.2
19730301 19730331    71.1
19730401 19730430    49.5
19730501 19730531    59.9
19730601 19730630    77.1
19730701 19730731    53.5
19730801 19730831    65.8
19730901 19730930    91.0
19731001 19731031    81.8
19731101 19731130    13.1
19731201 19731231    41.4
19740101 19740131    37.5
19740201 19740228    21.5
19740301 19740331    33.9
19740401 19740430    90.9
19740501 19740531    39.8
19740601 19740630    19.5
19740701 19740731   102.9
19740801 19740831    82.2
19740901 19740930    73.1
19741001 19741031    73.6
19741101 19741130    42.7
19741201 19741231    26.8
19750101 19750131    24.9
19750201 19750228     4.8
19750301 19750331    75.7
19750401 19750430    24.3
19750501 19750531    73.2
19750601 19750630    49.2
19750701 19750731   115.5
19750801 19750831    99.4
19750901 19750930    79.2
19751001 19751031   137.4
19751101 19751130    74.3
19751201 19751231    16.5
19760101 19760131    12.3
19760201 19760229    72.2
19760301 19760331    15.7
19760401 19760430    36.5
19760501 19760531    29.9
19760601 19760630    65.5
19760701 19760731    45.0
19760801 19760831    99.2
19760901 19760930    77.8
19761001 19761031   118.0
19761101 19761130    55.4
19761201 19761231    46.9
19770101 19770131    19.5
19770201 19770228     5.9
19770301 19770331    45.0
19770401 19770430    17.8
19770501 19770531    79.3
19770601 19770630    78.7
19770701 19770731    62.8
19770801 19770831    27.0
19770901 19770930    17.4
19771001 19771031    27.4
19771101 19771130    79.3
19771201 19771231    14.4
19780101 19780131     3.4
19780201 19780228    11.5
19780301 19780331    14.4
19780401 19780430    58.7
19780501 19780531    64.2
19780601 19780630    47.1
19780701 19780731   107.1
19780801 19780831    73.9
19780901 19780930    96.7
19781001 19781031    44.8
19781101 19781130    56.1
19781201 19781231    40.0
19790101 19790131    13.4
19790201 19790228    12.6
19790301 19790331     2.5
19790401 19790430    34.7
19790501 19790531    37.5
19790601 19790630    48.3
19790701 19790731    33.9
19790801 19790831    80.7
19790901 19790930   116.9
19791001 19791031    97.1
19791101 19791130    59.2
19791201 19791231    23.9
19800101 19800131    19.5
19800201 19800229     0.0
19800301 19800331     6.1
19800401 19800430    47.9
19800501 19800531    35.3
19800601 19800630    55.9
19800701 19800731    67.6
19800801 19800831    48.7
19800901 19800930    54.0
19801001 19801031    75.3
19801101 19801130    43.5
19801201 19801231    32.2
19810101 19810131     0.0
19810201 19810228    34.9
19810301 19810331    18.6
19810401 19810430    13.8
19810501 19810531    67.5
19810601 19810630    77.3
19810701 19810731   115.4
19810801 19810831   124.0
19810901 19810930    29.7
19811001 19811031    47.3
19811101 19811130    24.3
19811201 19811231     6.3
19820101 19820131    37.3
19820201 19820228     2.7
19820301 19820331    27.8
19820401 19820430    21.8
19820501 19820531    53.4
19820601 19820630    49.8
19820701 19820731    33.0
19820801 19820831    15.1
19820901 19820930    39.7
19821001 19821031    31.8
19821101 19821130     0.0
19821201 19821231     0.0
19830101 19830131    27.4
19830201 19830228     0.4
19830301 19830331    88.8
19830401 19830430    51.2
19830501 19830531    76.6
19830601 19830630    68.6
19830701 19830731    76.2
19830801 19830831    87.4
19830901 19830930   103.4
19831001 19831031    21.6
19831101 19831130    71.8
19831201 19831231    24.8
19840101 19840131    12.6
19840201 19840229     6.6
19840301 19840331    91.6
19840401 19840430    26.4
19840501 19840531    23.2
19840601 19840630    40.6
19840701 19840731    96.2
19840801 19840831   117.0
19840901 19840930    85.0
19841001 19841031    31.8
19841101 19841130    55.4
19841201 19841231    31.6
19850101 19850131    12.8
19850201 19850228     6.6
19850301 19850331    44.0
19850401 19850430    30.2
