PRCP       040014 18920501 20120930 missing_value=99999.9 BEAUDESERT                                
19620601 19620630    11.2
19620701 19620731   138.0
19620801 19620831    68.1
19620901 19620930    46.8
19621001 19621031    12.8
19621101 19621130    26.3
19621201 19621231   226.0
19630101 19630131    74.9
19630201 19630228    57.7
19630301 19630331   264.0
19630401 19630430    26.2
19630501 19630531   243.0
19630601 19630630     4.6
19630701 19630731     2.0
19630801 19630831    74.8
19630901 19630930     3.3
19631001 19631031    52.6
19631101 19631130    79.8
19631201 19631231   233.7
19640101 19640131    32.4
19640201 19640229   128.4
19640301 19640331   146.0
19640401 19640430   111.3
19640501 19640531    99.5
19640601 19640630    28.8
19640701 19640731    43.7
19640801 19640831    23.9
19640901 19640930    92.1
19641001 19641031    75.2
19641101 19641130    50.3
19641201 19641231    77.5
19650101 19650131    51.6
19650201 19650228    15.0
19650301 19650331     0.0
19650401 19650430    23.4
19650501 19650531    13.9
19650601 19650630    83.6
19650701 19650731   212.1
19650801 19650831    44.4
19650901 19650930    74.7
19651001 19651031    44.4
19651101 19651130    21.7
19651201 19651231   148.3
19660101 19660131    19.0
19660201 19660228    82.9
19660301 19660331   151.6
19660401 19660430    61.8
19660501 19660531    10.4
19660601 19660630   187.2
19660701 19660731     7.9
19660801 19660831   134.0
19660901 19660930    86.0
19661001 19661031    67.3
19661101 19661130    93.0
19661201 19661231    54.1
19670101 19670131   201.6
19670201 19670228   147.1
19670301 19670331   160.1
19670401 19670430    44.8
19670501 19670531    57.7
19670601 19670630   346.8
19670701 19670731    23.9
19670801 19670831    36.8
19670901 19670930     1.3
19671001 19671031    99.5
19671101 19671130    24.7
19671201 19671231    61.8
19680101 19680131   197.0
19680201 19680229    33.8
19680301 19680331    71.2
19680401 19680430    46.7
19680501 19680531    42.2
19680601 19680630     5.6
19680701 19680731    79.5
19680801 19680831    65.5
19680901 19680930    23.8
19681001 19681031    14.5
19681101 19681130    29.2
19681201 19681231   128.4
19690101 19690131    60.5
19690201 19690228    25.2
19690301 19690331    19.1
19690401 19690430    16.5
19690501 19690531   212.8
19690601 19690630    21.1
19690701 19690731    22.8
19690801 19690831   134.0
19690901 19690930    32.2
19691001 19691031   137.9
19691101 19691130    84.6
19691201 19691231    84.5
19700101 19700131   202.3
19700201 19700228   123.7
19700301 19700331   119.4
19700401 19700430    20.9
19700501 19700531    16.0
19700601 19700630    17.8
19700701 19700731    16.3
19700801 19700831    10.7
19700901 19700930    69.6
19701001 19701031    79.7
19701101 19701130   126.9
19701201 19701231   306.4
19710101 19710131   203.6
19710201 19710228   297.9
19710301 19710331    36.3
19710401 19710430     5.8
19710501 19710531    22.4
19710601 19710630     5.6
19710701 19710731    27.5
19710801 19710831    39.2
19710901 19710930    37.5
19711001 19711031    27.8
19711101 19711130    77.6
19711201 19711231    62.0
19720101 19720131   128.9
19720201 19720229   107.1
19720301 19720331    60.1
19720401 19720430   147.6
19720501 19720531    48.5
19720601 19720630    19.9
19720701 19720731     3.1
19720801 19720831    17.6
19720901 19720930     2.1
19721001 19721031   325.1
19721101 19721130    96.0
19721201 19721231    79.3
19730101 19730131   154.3
19730201 19730228   224.4
19730301 19730331    25.3
19730401 19730430     7.7
19730501 19730531    24.3
19730601 19730630    25.2
19730701 19730731   138.8
19730801 19730831    47.3
19730901 19730930    37.9
19731001 19731031    85.9
19731101 19731130   101.8
19731201 19731231   115.6
19740101 19740131   600.4
19740201 19740228    42.0
19740301 19740331   240.4
19740401 19740430   103.4
19740501 19740531    46.8
19740601 19740630    63.8
19740701 19740731    16.0
19740801 19740831    65.2
19740901 19740930    34.2
19741001 19741031    60.6
19741101 19741130   124.8
19741201 19741231    35.7
19750101 19750131   104.0
19750201 19750228   158.4
19750301 19750331   132.4
19750401 19750430    57.1
19750501 19750531     6.2
19750601 19750630    40.0
19750701 19750731    37.5
19750801 19750831    19.0
19750901 19750930    79.2
19751001 19751031    69.8
19751101 19751130   114.2
19751201 19751231   134.6
19760101 19760131    93.4
19760201 19760229   271.1
19760301 19760331   103.3
19760401 19760430    34.4
19760501 19760531    63.9
19760601 19760630    14.8
19760701 19760731    41.8
19760801 19760831    11.6
19760901 19760930    65.5
19761001 19761031    82.8
19761101 19761130   184.2
19761201 19761231    91.4
19770101 19770131    39.2
19770201 19770228   102.0
19770301 19770331   123.2
19770401 19770430    89.4
19770501 19770531    87.1
19770601 19770630    13.0
19770701 19770731     1.4
19770801 19770831    12.3
19770901 19770930     3.8
19771001 19771031    34.2
19771101 19771130    63.6
19771201 19771231    51.0
19780101 19780131    69.4
19780201 19780228    50.2
19780301 19780331   152.1
19780401 19780430    74.4
19780501 19780531    32.0
19780601 19780630    14.6
19780701 19780731    50.6
19780801 19780831    44.4
19780901 19780930   107.1
19781001 19781031    28.0
19781101 19781130   125.2
19781201 19781231   196.1
19790101 19790131   197.0
19790201 19790228    60.2
19790301 19790331   112.5
19790401 19790430    30.7
19790501 19790531    15.9
19790601 19790630    98.3
19790701 19790731    37.6
19790801 19790831     3.2
19790901 19790930     2.0
19791001 19791031    43.1
19791101 19791130   167.4
19791201 19791231    71.5
19800101 19800131    73.2
19800201 19800229   133.2
19800301 19800331     8.4
19800401 19800430     9.0
19800501 19800531   337.4
19800601 19800630     2.4
19800701 19800731    35.8
19800801 19800831    21.4
19800901 19800930     0.0
19801001 19801031    47.4
19801101 19801130    65.0
19801201 19801231    97.8
19810101 19810131    65.8
19810201 19810228   268.4
19810301 19810331    16.4
19810401 19810430   100.1
19810501 19810531    52.6
19810601 19810630    24.6
19810701 19810731    34.0
19810801 19810831    27.0
19810901 19810930     0.6
19811001 19811031    30.8
19811101 19811130   214.0
19811201 19811231   113.0
19820101 19820131   164.8
19820201 19820228    70.6
19820301 19820331   120.4
19820401 19820430    36.4
19820501 19820531    59.4
19820601 19820630     2.0
19820701 19820731     4.2
19820801 19820831     9.0
19820901 19820930    96.6
19821001 19821031   100.6
19821101 19821130     8.0
19821201 19821231    79.2
19830101 19830131    45.8
19830201 19830228    69.4
19830301 19830331   127.4
19830401 19830430    71.5
19830501 19830531   176.0
19830601 19830630   141.4
19830701 19830731    53.8
19830801 19830831    67.0
19830901 19830930    26.0
19831001 19831031   104.0
19831101 19831130   186.4
19831201 19831231   157.0
19840101 19840131    93.0
19840201 19840229    61.5
19840301 19840331    26.0
19840401 19840430   104.9
19840501 19840531    11.6
19840601 19840630    58.6
19840701 19840731    89.2
19840801 19840831    24.5
19840901 19840930    40.3
19841001 19841031    42.3
19841101 19841130    51.8
19841201 19841231    40.7
19850101 19850131    89.2
19850201 19850228    65.2
19850301 19850331   112.2
19850401 19850430    57.2
19850501 19850531    44.4
19850601 19850630    33.2
19850701 19850731    55.4
19850801 19850831    31.7
19850901 19850930    39.3
19851001 19851031    71.4
19851101 19851130    36.5
19851201 19851231    89.3
19860101 19860131   102.7
19860201 19860228    50.1
19860301 19860331    13.4
19860401 19860430     6.7
19860501 19860531    47.2
19860601 19860630     8.2
19860701 19860731    37.2
19860801 19860831    52.1
19860901 19860930    11.4
19861001 19861031   113.2
19861101 19861130   109.3
19861201 19861231    72.6
19870101 19870131   120.4
19870201 19870228    11.6
19870301 19870331   132.9
19870401 19870430    32.1
19870501 19870531    50.8
19870601 19870630 99999.9
19870701 19870731    27.8
19870801 19870831    56.2
19870901 19870930     7.4
19871001 19871031   102.8
19871101 19871130    55.2
