PRCP       015528 19520201 20170131 missing_value=99999.9 YUENDUMU                                  
20151201 20151231 99999.9
20160101 20160131 99999.9
20160201 20160229     6.3
20160301 20160331   141.5
20160401 20160430     0.0
20160501 20160531    95.2
20160601 20160630    26.2
20160701 20160731     0.0
20160801 20160831    43.8
20160901 20160930    37.8
20161001 20161031    17.4
20161101 20161130    29.8
20161201 20161231 99999.9
20170101 20170131   263.3
