PRCP       051033 19230101 20171231 missing_value=99999.9 NYNGAN (MUDALL)                           
20110601 20110630     2.6
20110701 20110731     5.8
20110801 20110831    23.8
20110901 20110930    42.0
20111001 20111031    49.3
20111101 20111130    86.0
20111201 20111231    62.6
20120101 20120131    91.2
20120201 20120229   131.7
20120301 20120331   132.3
20120401 20120430     0.0
20120501 20120531    46.0
20120601 20120630    23.0
20120701 20120731    35.2
20120801 20120831     0.0
20120901 20120930    19.8
20121001 20121031     5.0
20121101 20121130    58.4
20121201 20121231     3.2
20130101 20130131     3.0
20130201 20130228    20.2
20130301 20130331    82.0
20130401 20130430     0.0
20130501 20130531    31.8
20130601 20130630   106.4
20130701 20130731    27.0
20130801 20130831     8.0
20130901 20130930    31.0
20131001 20131031     4.0
20131101 20131130     1.6
20131201 20131231    36.2
20140101 20140131    51.6
20140201 20140228    34.2
20140301 20140331   138.6
20140401 20140430    73.2
20140501 20140531    14.6
20140601 20140630    84.8
20140701 20140731    22.2
20140801 20140831    70.8
20140901 20140930    13.4
20141001 20141031     3.4
20141101 20141130     3.8
20141201 20141231   109.8
20150101 20150131    73.4
20150201 20150228     5.0
20150301 20150331     2.8
20150401 20150430    52.8
20150501 20150531    37.2
20150601 20150630    42.6
20150701 20150731    52.3
20150801 20150831    28.5
20150901 20150930    11.0
20151001 20151031    29.4
20151101 20151130    93.4
20151201 20151231    27.8
20160101 20160131   109.6
20160201 20160229     2.4
20160301 20160331     7.8
20160401 20160430    80.0
20160501 20160531    59.2
20160601 20160630   145.4
20160701 20160731    85.2
20160801 20160831    77.2
20160901 20160930    92.8
20161001 20161031    16.4
20161101 20161130    11.0
20161201 20161231    18.2
20170101 20170131    18.4
20170201 20170228     0.0
20170301 20170331    99.8
20170401 20170430     7.0
20170501 20170531    19.2
20170601 20170630     2.2
20170701 20170731     1.8
20170801 20170831    18.8
20170901 20170930     2.0
20171001 20171031    90.8
20171101 20171130    22.6
20171201 20171231    64.6
