PRCP       010636 19061001 20121231 missing_value=99999.9 THE OAKS                                  
19810501 19810531    77.6
19810601 19810630    56.2
19810701 19810731    62.6
19810801 19810831    52.6
19810901 19810930    20.0
19811001 19811031    15.4
19811101 19811130    61.0
19811201 19811231     6.0
19820101 19820131   124.2
19820201 19820228     2.2
19820301 19820331    11.4
19820401 19820430     0.6
19820501 19820531    18.6
19820601 19820630    41.2
19820701 19820731    45.4
19820801 19820831    80.6
19820901 19820930    44.8
19821001 19821031    12.8
19821101 19821130    62.2
19821201 19821231     5.6
19830101 19830131     1.4
19830201 19830228    42.2
19830301 19830331     4.4
19830401 19830430    31.0
19830501 19830531    18.4
19830601 19830630   187.8
19830701 19830731   103.4
19830801 19830831    55.8
19830901 19830930    39.6
19831001 19831031    10.0
19831101 19831130    65.0
19831201 19831231    50.6
19840101 19840131     0.0
19840201 19840229     4.6
19840301 19840331    27.6
19840401 19840430    28.2
19840501 19840531    88.0
19840601 19840630    41.6
19840701 19840731    44.8
19840801 19840831    39.4
19840901 19840930    65.4
19841001 19841031    11.6
19841101 19841130    38.8
19841201 19841231     8.2
19850101 19850131     1.4
19850201 19850228    11.4
19850301 19850331     1.2
19850401 19850430    32.8
19850501 19850531    29.5
19850601 19850630    34.2
19850701 19850731    93.6
19850801 19850831    53.4
19850901 19850930    23.8
19851001 19851031    21.8
19851101 19851130    18.8
19851201 19851231    20.4
19860101 19860131     0.0
19860201 19860228    51.4
19860301 19860331    15.4
19860401 19860430     0.6
19860501 19860531    57.6
19860601 19860630    51.8
19860701 19860731    38.0
19860801 19860831    35.2
19860901 19860930    27.4
19861001 19861031    10.4
19861101 19861130    29.0
19861201 19861231     4.2
19870101 19870131     0.2
19870201 19870228     0.0
19870301 19870331     6.8
19870401 19870430    59.4
19870501 19870531    20.8
19870601 19870630    44.0
19870701 19870731   119.4
19870801 19870831    33.0
19870901 19870930    24.4
19871001 19871031     7.4
19871101 19871130    67.2
19871201 19871231    17.2
19880101 19880131    11.4
19880201 19880229     0.4
19880301 19880331    34.2
19880401 19880430    31.0
19880501 19880531    56.0
19880601 19880630   125.6
19880701 19880731    86.6
19880801 19880831    45.2
19880901 19880930    43.2
19881001 19881031     9.6
19881101 19881130     8.4
19881201 19881231     4.6
19890101 19890131    19.6
19890201 19890228    25.2
19890301 19890331     0.8
19890401 19890430    49.2
19890501 19890531    68.6
19890601 19890630    33.0
19890701 19890731    46.2
19890801 19890831    43.6
19890901 19890930    22.6
19891001 19891031    30.6
19891101 19891130     2.2
19891201 19891231     1.2
19900101 19900131   121.4
19900201 19900228    12.0
19900301 19900331    13.8
19900401 19900430    32.6
19900501 19900531    38.6
19900601 19900630    27.2
19900701 19900731    80.0
19900801 19900831    27.4
19900901 19900930    21.4
19901001 19901031    24.2
19901101 19901130     4.2
19901201 19901231     2.4
19910101 19910131     2.4
19910201 19910228    42.0
19910301 19910331     1.8
19910401 19910430    41.0
19910501 19910531    24.2
19910601 19910630    59.6
19910701 19910731   101.0
19910801 19910831    64.8
19910901 19910930    43.2
19911001 19911031    22.4
19911101 19911130    27.2
19911201 19911231    10.0
19920101 19920131     0.0
19920201 19920229    23.8
19920301 19920331    24.6
19920401 19920430    43.0
19920501 19920531    32.2
19920601 19920630    93.0
19920701 19920731    45.4
19920801 19920831   100.6
19920901 19920930    55.0
19921001 19921031    12.0
19921101 19921130    42.6
19921201 19921231     3.6
19930101 19930131     1.8
19930201 19930228    61.4
19930301 19930331   105.8
19930401 19930430     2.2
19930501 19930531    94.0
19930601 19930630    55.4
19930701 19930731    47.8
19930801 19930831    42.4
19930901 19930930    35.2
19931001 19931031    13.0
19931101 19931130    43.6
