PRCP       033082 18980101 20180131 missing_value=99999.9 STRATHMORE                                
19670801 19670831     6.1
19670901 19670930     0.0
19671001 19671031    18.2
19671101 19671130    59.2
19671201 19671231   122.6
19680101 19680131   132.6
19680201 19680229   439.8
19680301 19680331    53.8
19680401 19680430     8.9
19680501 19680531   152.7
19680601 19680630     0.0
19680701 19680731    33.8
19680801 19680831     0.0
19680901 19680930    29.3
19681001 19681031    19.3
19681101 19681130     0.0
19681201 19681231    24.2
19690101 19690131    33.6
19690201 19690228    27.4
19690301 19690331    38.7
19690401 19690430     0.0
19690501 19690531     0.0
19690601 19690630     0.0
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    45.2
19691101 19691130     0.0
19691201 19691231    53.4
19700101 19700131   204.2
19700201 19700228    52.0
19700301 19700331    51.4
19700401 19700430     8.9
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831    12.7
19700901 19700930     0.0
19701001 19701031    10.2
19701101 19701130   110.0
19701201 19701231   100.7
19710101 19710131   143.6
19710201 19710228   108.0
19710301 19710331   114.5
19710401 19710430    28.4
19710501 19710531     7.3
19710601 19710630    20.4
19710701 19710731    20.3
19710801 19710831    25.6
19710901 19710930     0.0
19711001 19711031    16.8
19711101 19711130    83.1
19711201 19711231   187.0
19720101 19720131   381.8
19720201 19720229   220.7
19720301 19720331   135.8
19720401 19720430     0.0
19720501 19720531     5.8
19720601 19720630    12.4
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    54.1
19721201 19721231     0.0
19730101 19730131   188.2
19730201 19730228   130.2
19730301 19730331    75.7
19730401 19730430    16.2
19730501 19730531     0.0
19730601 19730630     9.1
19730701 19730731    16.5
19730801 19730831     3.8
19730901 19730930    17.0
19731001 19731031     9.1
19731101 19731130   114.5
19731201 19731231   297.7
19740101 19740131   603.4
19740201 19740228    48.8
19740301 19740331    70.2
19740401 19740430    11.0
19740501 19740531     9.6
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    45.1
19740901 19740930     3.4
19741001 19741031     7.6
19741101 19741130    87.8
19741201 19741231    37.8
19750101 19750131   226.9
19750201 19750228    36.2
19750301 19750331   105.2
19750401 19750430    17.0
19750501 19750531     7.0
19750601 19750630     4.4
19750701 19750731     0.0
19750801 19750831    11.6
19750901 19750930    54.0
19751001 19751031   152.4
19751101 19751130     7.2
19751201 19751231   271.4
19760101 19760131   214.4
19760201 19760229   123.8
19760301 19760331   111.6
19760401 19760430     1.6
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     6.8
19761001 19761031   169.6
19761101 19761130    88.6
19761201 19761231   120.6
19770101 19770131    32.0
19770201 19770228   239.4
19770301 19770331    96.2
19770401 19770430    28.0
19770501 19770531   209.2
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130    47.2
19771201 19771231    62.6
19780101 19780131   289.0
19780201 19780228   108.2
19780301 19780331    21.4
19780401 19780430    33.6
19780501 19780531    32.6
19780601 19780630    18.4
19780701 19780731    38.0
19780801 19780831    46.0
19780901 19780930    23.2
19781001 19781031     0.0
19781101 19781130    12.8
19781201 19781231   109.8
19790101 19790131    93.2
19790201 19790228   199.2
19790301 19790331   153.9
19790401 19790430     6.4
19790501 19790531     0.0
19790601 19790630    14.6
19790701 19790731    40.6
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031    51.6
19791101 19791130     5.6
19791201 19791231    80.1
19800101 19800131   186.6
19800201 19800229    79.2
19800301 19800331    32.6
19800401 19800430    12.8
19800501 19800531    41.8
19800601 19800630     0.0
19800701 19800731    11.4
19800801 19800831    16.8
19800901 19800930     0.0
19801001 19801031    22.4
19801101 19801130    61.2
19801201 19801231   102.2
19810101 19810131   188.4
19810201 19810228   155.8
19810301 19810331    38.0
19810401 19810430    85.0
19810501 19810531    70.8
19810601 19810630    16.0
19810701 19810731     0.0
19810801 19810831     5.8
19810901 19810930     0.0
19811001 19811031    13.2
19811101 19811130   141.4
19811201 19811231    94.2
19820101 19820131   134.6
19820201 19820228    16.6
19820301 19820331    52.9
19820401 19820430    24.7
19820501 19820531     3.4
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231    82.0
19830101 19830131   160.6
19830201 19830228     0.0
19830301 19830331    51.2
19830401 19830430   108.5
19830501 19830531   163.0
19830601 19830630    43.0
19830701 19830731     3.4
19830801 19830831     0.0
19830901 19830930     9.0
19831001 19831031    10.4
19831101 19831130   103.2
19831201 19831231    27.5
19840101 19840131   158.4
19840201 19840229    29.5
19840301 19840331    47.0
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    58.0
19840801 19840831     0.0
19840901 19840930    11.5
19841001 19841031    67.0
19841101 19841130    53.4
19841201 19841231   181.5
19850101 19850131    47.0
19850201 19850228    36.0
19850301 19850331    58.0
19850401 19850430    18.5
19850501 19850531    45.0
19850601 19850630    60.0
19850701 19850731    51.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031   170.0
19851101 19851130    26.0
19851201 19851231    95.0
19860101 19860131    49.5
19860201 19860228   130.0
19860301 19860331     0.0
19860401 19860430    65.4
19860501 19860531    40.0
19860601 19860630     7.0
19860701 19860731    32.5
19860801 19860831    40.0
19860901 19860930     6.0
19861001 19861031    81.2
19861101 19861130    11.0
19861201 19861231    41.0
19870101 19870131   113.4
19870201 19870228    17.0
19870301 19870331    66.3
19870401 19870430    18.0
19870501 19870531     0.0
19870601 19870630    17.0
19870701 19870731    15.5
