PRCP       098000 19091101 20180131 missing_value=99999.9 CITY OF MELBOURNE BAY                     
19730101 19730131    26.8
19730201 19730228    73.3
19730301 19730331   144.7
19730401 19730430   131.1
19730501 19730531   151.0
19730601 19730630   166.2
19730701 19730731    79.1
19730801 19730831   135.6
19730901 19730930   116.2
19731001 19731031   106.9
19731101 19731130    54.4
19731201 19731231    59.6
19740101 19740131    11.6
19740201 19740228    25.1
19740301 19740331    31.1
19740401 19740430   104.1
19740501 19740531    40.4
19740601 19740630    75.0
19740701 19740731   265.2
19740801 19740831   142.9
19740901 19740930   154.8
19741001 19741031    74.6
19741101 19741130    39.7
19741201 19741231   103.3
19750101 19750131    40.2
19750201 19750228     8.4
19750301 19750331   132.9
19750401 19750430    51.0
19750501 19750531   201.6
19750601 19750630   116.6
19750701 19750731   216.6
19750801 19750831   146.8
19750901 19750930   133.4
19751001 19751031   122.0
19751101 19751130   113.6
19751201 19751231    29.8
19760101 19760131     8.0
19760201 19760229    18.7
19760301 19760331    56.3
19760401 19760430    63.6
19760501 19760531    98.2
19760601 19760630   102.4
19760701 19760731    82.2
19760801 19760831   134.2
19760901 19760930    77.6
19761001 19761031   133.4
19761101 19761130    63.6
19761201 19761231   114.0
19770101 19770131    54.4
19770201 19770228    35.6
19770301 19770331    70.6
19770401 19770430    56.2
19770501 19770531   116.2
19770601 19770630   138.6
19770701 19770731   128.6
19770801 19770831    98.4
19770901 19770930    38.6
19771001 19771031    74.2
19771101 19771130   174.0
19771201 19771231    33.8
19780101 19780131    32.6
19780201 19780228    55.6
19780301 19780331    99.2
19780401 19780430    46.9
19780501 19780531   103.3
19780601 19780630    59.9
19780701 19780731   173.4
19780801 19780831   132.6
19780901 19780930    70.4
19781001 19781031    66.5
19781101 19781130    68.6
19781201 19781231    58.8
19790101 19790131    49.2
19790201 19790228    52.2
19790301 19790331    96.6
19790401 19790430    79.2
19790501 19790531   101.6
19790601 19790630   129.4
19790701 19790731    88.0
19790801 19790831   161.8
19790901 19790930   233.4
19791001 19791031   131.0
19791101 19791130    51.8
19791201 19791231    45.4
19800101 19800131    31.7
19800201 19800229    23.6
19800301 19800331    31.6
19800401 19800430    89.8
19800501 19800531    95.0
19800601 19800630   102.5
19800701 19800731   155.9
19800801 19800831   145.3
19800901 19800930   130.8
19801001 19801031   104.3
19801101 19801130    60.8
19801201 19801231    21.9
19810101 19810131    47.4
19810201 19810228    17.9
19810301 19810331    64.7
19810401 19810430    51.4
19810501 19810531    81.6
19810601 19810630    94.4
19810701 19810731   138.6
19810801 19810831   235.6
19810901 19810930    76.8
19811001 19811031    74.0
19811101 19811130    64.2
19811201 19811231    34.2
19820101 19820131    28.8
19820201 19820228    17.0
19820301 19820331    44.6
19820401 19820430    97.7
19820501 19820531    98.9
19820601 19820630   127.4
19820701 19820731    48.2
19820801 19820831    33.7
19820901 19820930    91.4
19821001 19821031    55.4
19821101 19821130    26.8
19821201 19821231    28.6
19830101 19830131    41.1
19830201 19830228    10.2
19830301 19830331   178.8
19830401 19830430    89.6
19830501 19830531    87.4
