PRCP       059019 19280101 20171231 missing_value=99999.9 THE RACECOURSE                            
19970901 19970930    48.6
19971001 19971031    82.6
19971101 19971130   151.0
19971201 19971231   143.6
19980101 19980131    45.4
19980201 19980228   106.8
19980301 19980331    44.4
19980401 19980430    49.6
19980501 19980531    43.1
19980601 19980630    51.5
19980701 19980731    99.6
19980801 19980831   108.6
19980901 19980930   133.6
19981001 19981031    57.4
19981101 19981130   121.4
19981201 19981231   115.6
19990101 19990131   174.8
19990201 19990228   240.0
19990301 19990331   150.2
19990401 19990430   143.6
19990501 19990531    97.0
19990601 19990630   191.8
19990701 19990731   286.8
19990801 19990831    78.6
19990901 19990930    70.8
19991001 19991031    79.8
19991101 19991130   131.0
19991201 19991231   108.0
20000101 20000131   209.0
20000201 20000229   109.0
20000301 20000331   147.8
20000401 20000430   148.0
20000501 20000531    87.2
20000601 20000630    52.2
20000701 20000731    45.4
20000801 20000831    40.2
20000901 20000930    11.6
20001001 20001031    56.8
20001101 20001130   201.2
20001201 20001231   137.4
20010101 20010131   169.6
20010201 20010228   430.6
20010301 20010331   711.2
20010401 20010430    67.4
20010501 20010531   114.6
20010601 20010630    12.6
20010701 20010731    61.0
20010801 20010831    25.4
20010901 20010930    35.0
20011001 20011031    21.4
20011101 20011130   199.2
20011201 20011231   177.2
20020101 20020131   187.6
20020201 20020228   149.2
20020301 20020331   167.0
20020401 20020430    61.6
20020501 20020531    31.8
20020601 20020630    38.0
20020701 20020731     2.4
20020801 20020831    97.0
20020901 20020930    23.2
20021001 20021031    53.2
20021101 20021130   138.2
20021201 20021231    50.0
20030101 20030131    54.4
20030201 20030228   266.0
20030301 20030331    84.0
20030401 20030430   103.2
20030501 20030531   173.2
20030601 20030630    49.4
20030701 20030731    12.2
20030801 20030831    11.6
20030901 20030930     6.2
20031001 20031031   111.8
20031101 20031130    83.8
20031201 20031231    94.2
20040101 20040131   212.0
20040201 20040229   146.2
20040301 20040331   250.8
20040401 20040430    59.0
20040501 20040531     3.4
20040601 20040630     5.6
20040701 20040731    46.4
20040801 20040831    31.6
20040901 20040930    50.8
