PRCP       035010 19310101 20101031 missing_value=99999.9 BLAIR ATHOL                               
19970601 19970630    37.6
19970701 19970731     2.4
19970801 19970831    33.6
19970901 19970930    22.4
19971001 19971031    12.4
19971101 19971130    59.6
19971201 19971231   371.6
19980101 19980131    55.8
19980201 19980228    27.0
19980301 19980331     3.8
19980401 19980430   128.4
19980501 19980531    32.4
19980601 19980630    48.0
19980701 19980731     4.6
19980801 19980831   185.6
19980901 19980930    18.0
19981001 19981031    81.0
19981101 19981130   123.8
19981201 19981231   133.2
19990101 19990131   258.6
19990201 19990228    92.8
19990301 19990331    75.5
19990401 19990430    23.6
19990501 19990531     3.4
19990601 19990630     3.4
19990701 19990731    17.8
19990801 19990831     1.2
19990901 19990930     0.0
19991001 19991031    12.4
19991101 19991130   113.6
19991201 19991231    24.2
20000101 20000131   108.6
20000201 20000229   172.0
20000301 20000331     3.6
20000401 20000430   162.6
20000501 20000531    18.8
20000601 20000630    51.0
20000701 20000731     3.0
20000801 20000831    19.0
20000901 20000930     0.0
20001001 20001031   102.6
20001101 20001130   128.8
20001201 20001231   193.4
20010101 20010131    26.2
20010201 20010228    46.6
20010301 20010331   162.6
20010401 20010430     9.6
20010501 20010531     9.6
20010601 20010630     3.8
20010701 20010731    22.4
20010801 20010831     0.0
20010901 20010930     8.2
20011001 20011031    20.2
20011101 20011130    43.9
20011201 20011231    22.8
20020101 20020131    92.6
20020201 20020228    58.6
20020301 20020331     0.0
20020401 20020430     0.0
20020501 20020531    31.3
20020601 20020630    17.4
20020701 20020731     0.0
20020801 20020831    16.8
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130     5.0
20021201 20021231    13.8
20030101 20030131     2.5
20030201 20030228   287.1
20030301 20030331     6.7
20030401 20030430     5.0
20030501 20030531    12.0
20030601 20030630    23.0
20030701 20030731     0.0
20030801 20030831    54.4
20030901 20030930     0.0
20031001 20031031    24.4
20031101 20031130     1.8
20031201 20031231    85.0
20040101 20040131   163.4
20040201 20040229   112.8
20040301 20040331     0.0
20040401 20040430     9.1
20040501 20040531     0.0
20040601 20040630     0.0
20040701 20040731     0.0
20040801 20040831     0.0
20040901 20040930     4.0
20041001 20041031    16.2
20041101 20041130    48.0
20041201 20041231   143.0
20050101 20050131    84.2
20050201 20050228    40.0
20050301 20050331     0.0
20050401 20050430     0.0
20050501 20050531    48.2
20050601 20050630    21.9
20050701 20050731    10.0
20050801 20050831    25.2
20050901 20050930     4.2
20051001 20051031   197.4
20051101 20051130    41.0
20051201 20051231    38.4
20060101 20060131    18.6
20060201 20060228    48.0
20060301 20060331   192.4
20060401 20060430    76.4
20060501 20060531    12.3
20060601 20060630    42.4
20060701 20060731    28.0
20060801 20060831     0.0
20060901 20060930     8.5
20061001 20061031     0.0
20061101 20061130    15.4
20061201 20061231    64.6
20070101 20070131   105.8
20070201 20070228   134.2
20070301 20070331     8.0
20070401 20070430     0.0
20070501 20070531     0.0
20070601 20070630   136.5
20070701 20070731     0.0
20070801 20070831    11.0
20070901 20070930    24.4
20071001 20071031    59.4
20071101 20071130   124.4
20071201 20071231    84.2
20080101 20080131   249.4
20080201 20080229   255.8
20080301 20080331     9.4
20080401 20080430     0.0
20080501 20080531     5.8
20080601 20080630    10.6
20080701 20080731    33.0
20080801 20080831     0.0
20080901 20080930    15.8
20081001 20081031    39.0
20081101 20081130    85.8
20081201 20081231    12.6
20090101 20090131   186.2
20090201 20090228   111.0
20090301 20090331     0.0
20090401 20090430    35.0
20090501 20090531     2.8
20090601 20090630     4.0
20090701 20090731     0.0
20090801 20090831     0.0
20090901 20090930     0.0
20091001 20091031    19.0
20091101 20091130    21.6
20091201 20091231    26.2
20100101 20100131   169.4
20100201 20100228   210.4
20100301 20100331    68.0
20100401 20100430     6.8
20100501 20100531    23.4
20100601 20100630    10.2
20100701 20100731    10.8
20100801 20100831    39.6
20100901 20100930   153.8
20101001 20101031    16.6
