PRCP       050031 18901001 20180131 missing_value=99999.9 PEAK HILL POST OFFICE                     
19651001 19651031    75.5
19651101 19651130    21.1
19651201 19651231   128.9
19660101 19660131    31.2
19660201 19660228     8.7
19660301 19660331    54.1
19660401 19660430    21.9
19660501 19660531    42.4
19660601 19660630    15.2
19660701 19660731    23.3
19660801 19660831    79.1
19660901 19660930    49.0
19661001 19661031    74.6
19661101 19661130    85.3
19661201 19661231    46.7
19670101 19670131    27.1
19670201 19670228     2.6
19670301 19670331    81.2
19670401 19670430     0.0
19670501 19670531    29.1
19670601 19670630    27.8
19670701 19670731     8.1
19670801 19670831    41.3
19670901 19670930    13.1
19671001 19671031    42.3
19671101 19671130    22.1
19671201 19671231    12.2
19680101 19680131   173.4
19680201 19680229     0.8
19680301 19680331    43.1
19680401 19680430    51.8
19680501 19680531    96.3
19680601 19680630     8.8
19680701 19680731    40.4
19680801 19680831    43.3
19680901 19680930    28.9
19681001 19681031    21.5
19681101 19681130    30.5
19681201 19681231   122.8
19690101 19690131    21.6
19690201 19690228    72.1
19690301 19690331   138.7
19690401 19690430   111.6
19690501 19690531    85.3
19690601 19690630    10.2
19690701 19690731    50.6
19690801 19690831    28.8
19690901 19690930    40.6
19691001 19691031   185.6
19691101 19691130    52.1
19691201 19691231     5.2
19700101 19700131    83.3
19700201 19700228    52.6
19700301 19700331    36.9
19700401 19700430    48.8
19700501 19700531    44.0
19700601 19700630    15.3
19700701 19700731     2.6
19700801 19700831    42.4
19700901 19700930    87.9
19701001 19701031    78.0
19701101 19701130    70.9
19701201 19701231   137.0
19710101 19710131   181.3
19710201 19710228   115.3
19710301 19710331    40.2
19710401 19710430    17.2
19710501 19710531    18.2
19710601 19710630    12.8
19710701 19710731    49.3
19710801 19710831    61.8
19710901 19710930    51.2
19711001 19711031     2.8
19711101 19711130   121.8
19711201 19711231   103.6
19720101 19720131   173.8
19720201 19720229    32.8
19720301 19720331    27.2
19720401 19720430     7.4
19720501 19720531    35.3
19720601 19720630     3.1
19720701 19720731    13.0
19720801 19720831    33.3
19720901 19720930    12.2
19721001 19721031    52.1
19721101 19721130    56.4
19721201 19721231    29.4
19730101 19730131    35.6
19730201 19730228   328.7
19730301 19730331    39.9
19730401 19730430    47.3
19730501 19730531    53.4
19730601 19730630    88.9
19730701 19730731    63.0
19730801 19730831    66.4
19730901 19730930    29.0
19731001 19731031   128.2
19731101 19731130    86.8
19731201 19731231    99.7
19740101 19740131    71.6
19740201 19740228   102.2
19740301 19740331     8.4
19740401 19740430   138.2
19740501 19740531    39.2
19740601 19740630    27.0
19740701 19740731    45.8
19740801 19740831    25.9
19740901 19740930    69.8
19741001 19741031    63.4
19741101 19741130    25.0
19741201 19741231     1.0
19750101 19750131    11.2
19750201 19750228    46.4
19750301 19750331    44.6
19750401 19750430     3.8
19750501 19750531    13.4
19750601 19750630    32.8
19750701 19750731    22.6
19750801 19750831    55.2
19750901 19750930    93.6
19751001 19751031    78.0
19751101 19751130     8.8
19751201 19751231    49.8
19760101 19760131   174.2
19760201 19760229   140.0
19760301 19760331    60.4
19760401 19760430    31.0
19760501 19760531    19.0
19760601 19760630     9.8
19760701 19760731    52.0
19760801 19760831    10.6
19760901 19760930    48.8
19761001 19761031   200.6
19761101 19761130    39.4
19761201 19761231    31.0
19770101 19770131    42.0
19770201 19770228    35.4
19770301 19770331    91.0
19770401 19770430    24.6
19770501 19770531   175.0
19770601 19770630    32.0
19770701 19770731    13.2
19770801 19770831    20.4
19770901 19770930    27.9
19771001 19771031    25.8
19771101 19771130     0.6
19771201 19771231    10.2
19780101 19780131   138.3
19780201 19780228    12.8
19780301 19780331    46.6
19780401 19780430     1.6
19780501 19780531    88.4
19780601 19780630    91.3
19780701 19780731    70.0
19780801 19780831    14.6
19780901 19780930   110.0
19781001 19781031    19.2
19781101 19781130   156.0
19781201 19781231    75.0
19790101 19790131     6.0
19790201 19790228     5.0
19790301 19790331    65.2
19790401 19790430    92.6
19790501 19790531    77.2
19790601 19790630    14.6
19790701 19790731    34.6
19790801 19790831    44.5
19790901 19790930    55.4
19791001 19791031    31.6
19791101 19791130    28.2
19791201 19791231     0.0
19800101 19800131    60.6
19800201 19800229    29.8
19800301 19800331    37.4
19800401 19800430    18.0
19800501 19800531   105.4
19800601 19800630    42.6
19800701 19800731    39.2
19800801 19800831    12.4
19800901 19800930     9.8
19801001 19801031    29.8
19801101 19801130     5.2
19801201 19801231    56.4
19810101 19810131    33.4
19810201 19810228    48.0
19810301 19810331     0.0
19810401 19810430    18.6
19810501 19810531    54.4
19810601 19810630    62.4
19810701 19810731    95.2
19810801 19810831    16.8
19810901 19810930     7.8
19811001 19811031    73.8
19811101 19811130    66.4
19811201 19811231    20.0
