PRCP       009503 18970701 20140831 missing_value=99999.9 BOYANUP POST OFFICE                       
19820101 19820131   124.5
19820201 19820228    22.8
19820301 19820331    10.4
19820401 19820430     0.0
19820501 19820531    73.8
19820601 19820630   204.3
19820701 19820731   140.1
19820801 19820831    78.9
19820901 19820930    90.8
19821001 19821031    40.8
19821101 19821130     9.7
19821201 19821231     6.3
19830101 19830131     0.3
19830201 19830228    33.3
19830301 19830331     8.7
19830401 19830430    29.6
19830501 19830531    76.3
19830601 19830630   256.3
19830701 19830731   125.2
19830801 19830831   163.5
19830901 19830930   128.1
19831001 19831031    23.0
19831101 19831130    26.7
19831201 19831231     4.6
19840101 19840131     3.0
19840201 19840229     2.3
19840301 19840331     7.8
19840401 19840430    66.2
19840501 19840531   182.4
19840601 19840630   146.1
19840701 19840731   104.8
19840801 19840831   102.8
19840901 19840930    65.7
19841001 19841031    31.6
19841101 19841130    73.9
19841201 19841231    32.4
19850101 19850131     5.3
19850201 19850228     6.1
19850301 19850331    24.1
19850401 19850430   186.2
19850501 19850531    69.3
19850601 19850630   172.1
19850701 19850731   121.6
19850801 19850831   192.8
19850901 19850930    46.1
19851001 19851031    36.7
19851101 19851130    36.8
19851201 19851231     5.3
19860101 19860131     3.2
19860201 19860228    57.0
19860301 19860331    35.1
19860401 19860430    17.9
19860501 19860531   131.3
19860601 19860630    96.8
19860701 19860731   204.9
19860801 19860831   119.2
19860901 19860930    57.3
19861001 19861031    47.2
19861101 19861130    30.3
19861201 19861231     1.0
19870101 19870131     5.4
19870201 19870228     0.0
19870301 19870331    29.9
19870401 19870430    43.8
19870501 19870531    52.5
19870601 19870630   178.6
19870701 19870731   125.8
19870801 19870831    87.9
19870901 19870930    53.1
19871001 19871031    33.2
19871101 19871130    31.5
19871201 19871231    18.4
19880101 19880131     1.9
19880201 19880229     2.7
19880301 19880331    15.0
19880401 19880430    46.4
19880501 19880531   162.1
19880601 19880630   277.8
19880701 19880731   134.4
19880801 19880831   135.8
19880901 19880930   109.2
19881001 19881031    45.0
19881101 19881130    38.6
19881201 19881231     1.9
19890101 19890131    14.9
19890201 19890228    69.5
19890301 19890331     1.4
19890401 19890430    43.6
19890501 19890531    93.4
19890601 19890630    83.0
19890701 19890731   200.1
19890801 19890831    95.6
19890901 19890930    79.5
19891001 19891031    93.1
19891101 19891130     4.3
19891201 19891231    10.1
19900101 19900131    18.2
19900201 19900228    17.6
19900301 19900331    30.6
19900401 19900430   110.5
19900501 19900531    83.0
19900601 19900630    96.8
19900701 19900731   181.8
19900801 19900831   104.9
19900901 19900930    87.6
19901001 19901031    53.4
19901101 19901130    24.8
19901201 19901231     3.0
19910101 19910131    10.2
19910201 19910228    16.4
19910301 19910331     2.4
19910401 19910430    50.2
19910501 19910531   176.8
19910601 19910630   179.8
19910701 19910731   213.1
19910801 19910831   111.6
19910901 19910930    83.8
19911001 19911031    55.6
19911101 19911130    47.6
19911201 19911231     9.3
19920101 19920131     0.8
19920201 19920229    14.2
19920301 19920331    36.1
19920401 19920430    32.2
19920501 19920531   101.1
19920601 19920630   232.0
19920701 19920731   147.8
19920801 19920831   145.5
19920901 19920930    90.7
19921001 19921031     9.9
19921101 19921130    65.5
