PRCP       036026 18850101 20180131 missing_value=99999.9 ISISFORD POST OFFICE                      
19760901 19760930     0.0
19761001 19761031     7.0
19761101 19761130     8.5
19761201 19761231    52.0
19770101 19770131    80.9
19770201 19770228   170.9
19770301 19770331    90.0
19770401 19770430    37.3
19770501 19770531   102.6
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     4.0
19770901 19770930    11.2
19771001 19771031     5.0
19771101 19771130     0.8
19771201 19771231    36.4
19780101 19780131    51.1
19780201 19780228    17.0
19780301 19780331    17.2
19780401 19780430    39.4
19780501 19780531    61.7
19780601 19780630    13.0
19780701 19780731   124.4
19780801 19780831    15.2
19780901 19780930    28.6
19781001 19781031    45.4
19781101 19781130    37.2
19781201 19781231    51.5
19790101 19790131    35.0
19790201 19790228    81.8
19790301 19790331     1.0
19790401 19790430    11.6
19790501 19790531    15.7
19790601 19790630    25.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930    10.1
19791001 19791031    29.0
19791101 19791130     7.0
19791201 19791231    22.8
19800101 19800131   107.6
19800201 19800229    71.7
19800301 19800331    94.0
19800401 19800430     4.2
19800501 19800531    50.8
