PRCP       095016 19100701 20180131 missing_value=99999.9 OSTERLEY                                  
19970301 19970331    82.2
19970401 19970430    23.0
19970501 19970531    22.0
19970601 19970630    14.8
19970701 19970731    51.6
19970801 19970831    81.8
19970901 19970930    29.8
19971001 19971031    81.0
19971101 19971130    38.2
19971201 19971231    48.6
19980101 19980131    32.2
19980201 19980228    61.8
19980301 19980331    10.6
19980401 19980430    75.6
19980501 19980531    22.2
19980601 19980630    63.8
19980701 19980731    19.0
19980801 19980831    39.8
19980901 19980930    66.4
19981001 19981031   107.4
19981101 19981130    52.2
19981201 19981231    66.4
19990101 19990131     8.2
19990201 19990228    91.6
19990301 19990331    35.4
19990401 19990430    57.2
19990501 19990531    36.4
19990601 19990630    10.2
19990701 19990731    65.8
19990801 19990831    51.2
19990901 19990930    31.2
19991001 19991031    62.2
19991101 19991130    73.8
19991201 19991231    28.2
20000101 20000131    40.8
20000201 20000229    42.6
20000301 20000331    18.2
20000401 20000430    17.2
20000501 20000531    32.0
20000601 20000630    23.8
20000701 20000731    65.2
20000801 20000831    54.8
20000901 20000930   144.2
20001001 20001031   125.0
20001101 20001130    57.6
20001201 20001231    53.0
20010101 20010131    23.0
20010201 20010228     7.6
20010301 20010331    78.2
20010401 20010430    56.4
20010501 20010531    11.6
20010601 20010630    80.6
20010701 20010731    71.4
20010801 20010831   140.6
20010901 20010930    45.0
20011001 20011031   108.0
20011101 20011130    91.6
20011201 20011231    74.2
20020101 20020131    37.4
20020201 20020228    26.4
20020301 20020331    34.6
20020401 20020430     6.0
20020501 20020531    13.6
20020601 20020630   114.4
20020701 20020731    71.0
20020801 20020831    41.6
20020901 20020930   147.6
20021001 20021031    54.2
20021101 20021130    36.8
20021201 20021231    15.0
20030101 20030131    11.6
20030201 20030228     4.4
20030301 20030331    96.6
20030401 20030430    86.0
20030501 20030531    33.0
20030601 20030630    97.2
20030701 20030731    72.2
20030801 20030831    99.2
20030901 20030930   172.0
20031001 20031031    54.2
20031101 20031130     4.0
20031201 20031231    48.6
20040101 20040131   124.2
20040201 20040229    45.8
20040301 20040331    28.6
20040401 20040430    51.2
20040501 20040531    74.4
20040601 20040630   124.8
20040701 20040731    95.7
20040801 20040831   110.2
20040901 20040930    56.8
20041001 20041031    54.3
20041101 20041130    65.2
20041201 20041231    20.8
20050101 20050131    49.8
20050201 20050228    62.0
20050301 20050331    15.4
20050401 20050430    62.4
20050501 20050531    42.2
20050601 20050630    59.4
20050701 20050731    71.6
20050801 20050831    65.2
20050901 20050930    53.4
20051001 20051031   128.2
20051101 20051130    75.2
20051201 20051231   107.0
