PRCP       080065 18930101 20180131 missing_value=99999.9 YARROWEYAH                                
19791101 19791130    32.6
19791201 19791231     0.0
19800101 19800131    41.0
19800201 19800229     0.0
19800301 19800331    19.2
19800401 19800430    15.8
19800501 19800531    33.4
19800601 19800630    50.2
19800701 19800731    46.6
19800801 19800831    31.8
19800901 19800930    25.2
19801001 19801031    36.6
19801101 19801130     7.4
19801201 19801231    46.8
19810101 19810131    57.6
19810201 19810228    60.0
19810301 19810331    42.6
19810401 19810430     5.2
19810501 19810531    57.0
19810601 19810630    95.2
19810701 19810731   104.2
19810801 19810831    78.6
19810901 19810930    34.8
19811001 19811031    17.6
19811101 19811130    18.8
19811201 19811231    18.0
19820101 19820131    41.6
19820201 19820228     0.0
19820301 19820331    64.2
19820401 19820430    13.0
19820501 19820531    22.6
19820601 19820630    17.8
19820701 19820731     3.0
19820801 19820831     5.6
19820901 19820930    17.4
19821001 19821031     8.0
19821101 19821130     0.6
19821201 19821231     6.0
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331    36.2
19830401 19830430    43.2
19830501 19830531    93.0
19830601 19830630    20.6
19830701 19830731    68.8
19830801 19830831    62.8
19830901 19830930    57.4
19831001 19831031    35.2
19831101 19831130    16.0
19831201 19831231    29.0
19840101 19840131   129.6
19840201 19840229    22.0
19840301 19840331     9.0
19840401 19840430    37.6
19840501 19840531     4.0
19840601 19840630     5.4
19840701 19840731    61.6
19840801 19840831    79.0
19840901 19840930    27.8
19841001 19841031    81.0
19841101 19841130     7.4
19841201 19841231     0.4
19850101 19850131     2.0
19850201 19850228     3.2
19850301 19850331    20.6
19850401 19850430    49.4
19850501 19850531    43.8
19850601 19850630    13.0
19850701 19850731    11.4
19850801 19850831    86.0
19850901 19850930    39.4
19851001 19851031    39.0
19851101 19851130    70.6
19851201 19851231    79.6
19860101 19860131     0.0
19860201 19860228     9.8
19860301 19860331     0.8
19860401 19860430    35.4
19860501 19860531    51.0
19860601 19860630    12.6
19860701 19860731   105.0
19860801 19860831    54.3
19860901 19860930    58.2
19861001 19861031   105.2
19861101 19861130    35.2
19861201 19861231    51.6
19870101 19870131     8.2
19870201 19870228    22.0
19870301 19870331     2.4
19870401 19870430    25.6
19870501 19870531    15.6
19870601 19870630    55.0
19870701 19870731    53.4
19870801 19870831    50.0
19870901 19870930    21.2
19871001 19871031    21.8
19871101 19871130    32.6
19871201 19871231    26.8
19880101 19880131    10.6
19880201 19880229 99999.9
19880301 19880331    20.0
19880401 19880430    79.4
19880501 19880531   122.0
19880601 19880630    43.6
19880701 19880731    59.2
19880801 19880831     9.0
