PRCP       017031 18850801 20141231 missing_value=99999.9 MARREE                                    
19590301 19590331    14.2
19590401 19590430     0.0
19590501 19590531    21.9
19590601 19590630     4.3
19590701 19590731    10.4
19590801 19590831     0.0
19590901 19590930     7.1
19591001 19591031     4.8
19591101 19591130     2.8
19591201 19591231    10.2
19600101 19600131     2.5
19600201 19600229     4.8
19600301 19600331     0.0
19600401 19600430     3.1
19600501 19600531    24.3
19600601 19600630     0.0
19600701 19600731    16.8
19600801 19600831     4.1
19600901 19600930     7.6
19601001 19601031     0.8
19601101 19601130     6.4
19601201 19601231     1.0
19610101 19610131     5.5
19610201 19610228     4.4
19610301 19610331     3.3
19610401 19610430    11.9
19610501 19610531     3.3
19610601 19610630     0.0
19610701 19610731     1.1
19610801 19610831     0.5
19610901 19610930     2.0
19611001 19611031     0.0
19611101 19611130    45.6
19611201 19611231    33.6
19620101 19620131    33.2
19620201 19620228     5.6
19620301 19620331     0.6
19620401 19620430     0.0
19620501 19620531     5.6
19620601 19620630     0.0
19620701 19620731    20.5
19620801 19620831     0.8
19620901 19620930     4.1
19621001 19621031     3.7
19621101 19621130     2.1
19621201 19621231    19.8
19630101 19630131    15.3
19630201 19630228     0.0
19630301 19630331     8.7
19630401 19630430     9.9
19630501 19630531    29.8
19630601 19630630    42.9
19630701 19630731     2.7
19630801 19630831     5.9
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231    31.7
19640101 19640131     1.8
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430    29.0
19640501 19640531     6.1
19640601 19640630     0.3
19640701 19640731     5.8
19640801 19640831     6.1
19640901 19640930    48.8
19641001 19641031    15.8
19641101 19641130     0.8
19641201 19641231     6.8
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     1.3
19650401 19650430     2.3
19650501 19650531     6.4
19650601 19650630     5.2
19650701 19650731     1.5
19650801 19650831    37.8
19650901 19650930     3.9
19651001 19651031     2.1
19651101 19651130     2.0
19651201 19651231    25.1
19660101 19660131    19.7
19660201 19660228    77.7
19660301 19660331     1.3
19660401 19660430     0.0
19660501 19660531     8.9
19660601 19660630     3.0
19660701 19660731     0.3
19660801 19660831     2.0
19660901 19660930     1.6
19661001 19661031     4.1
19661101 19661130     2.1
19661201 19661231     0.8
19670101 19670131     4.1
19670201 19670228    12.5
19670301 19670331     1.3
19670401 19670430     0.0
19670501 19670531     2.6
19670601 19670630     7.9
19670701 19670731     1.3
19670801 19670831     0.5
19670901 19670930     0.0
19671001 19671031     7.6
19671101 19671130     0.0
19671201 19671231     1.5
19680101 19680131    35.3
19680201 19680229     0.0
19680301 19680331     3.6
19680401 19680430    33.0
19680501 19680531    45.2
19680601 19680630     5.1
19680701 19680731    33.7
19680801 19680831     4.0
19680901 19680930     1.0
19681001 19681031     1.3
19681101 19681130    10.0
19681201 19681231     4.8
19690101 19690131     2.0
19690201 19690228     5.4
19690301 19690331    31.2
