PRCP       020005 19110501 20160930 missing_value=99999.9 ERUDINA                                   
19831001 19831031    53.0
19831101 19831130    11.4
19831201 19831231    60.0
19840101 19840131    60.4
19840201 19840229     0.0
19840301 19840331     0.6
19840401 19840430    35.8
19840501 19840531     3.4
19840601 19840630    17.2
19840701 19840731    24.8
19840801 19840831    11.8
19840901 19840930    18.2
19841001 19841031    19.0
19841101 19841130     1.6
19841201 19841231     1.0
19850101 19850131     4.2
19850201 19850228     1.0
19850301 19850331     3.2
19850401 19850430     0.0
19850501 19850531    36.8
19850601 19850630     1.0
19850701 19850731     0.8
19850801 19850831    26.0
19850901 19850930     0.2
19851001 19851031    19.4
19851101 19851130    18.0
19851201 19851231     0.4
19860101 19860131     0.0
19860201 19860228     4.0
19860301 19860331     0.0
19860401 19860430     0.0
19860501 19860531    30.2
19860601 19860630     1.4
19860701 19860731    16.4
19860801 19860831    13.6
19860901 19860930    13.4
19861001 19861031    65.8
19861101 19861130    16.2
19861201 19861231    13.8
19870101 19870131    11.6
19870201 19870228    42.2
19870301 19870331    21.2
19870401 19870430     1.4
19870501 19870531     5.2
19870601 19870630    14.6
19870701 19870731     0.6
19870801 19870831    24.4
19870901 19870930    17.8
19871001 19871031     5.4
19871101 19871130     3.0
19871201 19871231    14.2
19880101 19880131     2.0
19880201 19880229     0.0
19880301 19880331    65.0
19880401 19880430    12.8
19880501 19880531    26.6
19880601 19880630    31.8
19880701 19880731    30.8
19880801 19880831     0.0
19880901 19880930     2.0
19881001 19881031     0.0
19881101 19881130     5.4
19881201 19881231    52.0
19890101 19890131     0.4
19890201 19890228     0.0
19890301 19890331   213.0
19890401 19890430    36.2
19890501 19890531    31.6
19890601 19890630    10.4
19890701 19890731    30.8
19890801 19890831     2.4
19890901 19890930     0.0
19891001 19891031     2.0
19891101 19891130     7.0
19891201 19891231    15.4
19900101 19900131   111.2
19900201 19900228     4.2
19900301 19900331    16.0
19900401 19900430    56.6
19900501 19900531    75.8
19900601 19900630     7.6
19900701 19900731    23.8
19900801 19900831     6.2
19900901 19900930    15.6
19901001 19901031     6.6
19901101 19901130     0.0
19901201 19901231    11.0
19910101 19910131    10.2
19910201 19910228     0.0
19910301 19910331     1.8
19910401 19910430     1.4
19910501 19910531     0.0
19910601 19910630    29.8
19910701 19910731    14.0
19910801 19910831     7.8
19910901 19910930     1.6
19911001 19911031     0.0
19911101 19911130    19.8
19911201 19911231     0.4
19920101 19920131     0.8
19920201 19920229    61.4
19920301 19920331     9.8
19920401 19920430    17.1
19920501 19920531    32.0
19920601 19920630    11.8
19920701 19920731     1.0
19920801 19920831    47.8
19920901 19920930    31.0
19921001 19921031    31.0
19921101 19921130    37.4
19921201 19921231    85.4
19930101 19930131    49.4
19930201 19930228     9.0
19930301 19930331     4.4
19930401 19930430     0.0
19930501 19930531     6.4
19930601 19930630     1.6
19930701 19930731    16.6
19930801 19930831    13.2
19930901 19930930    13.4
19931001 19931031    60.0
19931101 19931130    12.6
19931201 19931231    35.6
19940101 19940131     1.0
19940201 19940228    38.0
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     5.0
19940601 19940630    32.2
19940701 19940731     2.0
19940801 19940831     0.0
19940901 19940930    10.2
19941001 19941031     0.6
19941101 19941130     1.2
19941201 19941231     1.0
19950101 19950131    34.4
19950201 19950228    17.0
19950301 19950331     1.8
19950401 19950430    16.4
19950501 19950531    36.8
19950601 19950630    32.8
19950701 19950731     7.8
19950801 19950831     0.6
19950901 19950930     8.8
19951001 19951031    54.4
19951101 19951130    10.4
19951201 19951231     8.6
19960101 19960131     8.8
19960201 19960229     4.8
19960301 19960331     6.6
19960401 19960430     0.0
19960501 19960531     6.6
19960601 19960630    19.0
19960701 19960731    24.0
19960801 19960831    13.0
19960901 19960930    16.0
19961001 19961031     0.6
19961101 19961130    11.2
19961201 19961231    27.8
19970101 19970131    29.6
19970201 19970228   117.6
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    23.0
19970601 19970630     3.2
19970701 19970731     0.0
19970801 19970831    20.0
19970901 19970930    24.0
19971001 19971031     7.6
19971101 19971130    21.8
19971201 19971231    12.2
19980101 19980131    28.8
19980201 19980228    11.4
19980301 19980331     2.8
19980401 19980430     4.8
19980501 19980531     0.8
19980601 19980630     2.4
19980701 19980731    19.2
19980801 19980831    10.2
19980901 19980930    24.4
19981001 19981031    15.4
19981101 19981130    58.0
19981201 19981231     1.0
19990101 19990131     1.4
19990201 19990228    35.0
19990301 19990331    21.4
19990401 19990430 99999.9
19990501 19990531     2.8
19990601 19990630     2.0
19990701 19990731    10.2
19990801 19990831     3.2
19990901 19990930     9.4
19991001 19991031    30.4
19991101 19991130    22.8
19991201 19991231    17.4
20000101 20000131     0.2
20000201 20000229    41.8
20000301 20000331 99999.9
20000401 20000430    54.6
20000501 20000531     3.8
20000601 20000630     5.0
20000701 20000731     1.6
20000801 20000831     9.2
20000901 20000930    16.6
20001001 20001031    29.4
20001101 20001130    20.6
20001201 20001231    45.4
20010101 20010131    27.4
20010201 20010228    16.0
20010301 20010331     4.6
20010401 20010430     3.0
20010501 20010531     2.2
20010601 20010630    52.8
20010701 20010731     7.6
20010801 20010831     0.8
20010901 20010930    17.6
20011001 20011031    41.2
20011101 20011130     3.4
20011201 20011231    10.4
20020101 20020131     7.0
20020201 20020228     1.6
20020301 20020331     0.0
20020401 20020430     1.6
20020501 20020531     6.0
20020601 20020630     0.0
20020701 20020731     1.6
20020801 20020831     0.8
20020901 20020930     2.2
20021001 20021031     0.0
20021101 20021130    21.4
20021201 20021231     9.6
20030101 20030131     0.2
20030201 20030228    46.8
20030301 20030331     0.0
20030401 20030430     9.4
20030501 20030531    11.2
20030601 20030630     4.0
20030701 20030731     6.0
20030801 20030831    35.0
20030901 20030930     0.0
20031001 20031031    33.4
20031101 20031130    35.4
20031201 20031231     7.4
20040101 20040131     0.0
20040201 20040229    11.2
20040301 20040331     0.0
20040401 20040430     0.2
20040501 20040531    15.0
20040601 20040630    22.0
20040701 20040731     5.0
20040801 20040831    17.2
20040901 20040930     7.0
20041001 20041031    39.6
20041101 20041130    16.2
20041201 20041231    36.0
20050101 20050131    11.6
20050201 20050228     0.0
20050301 20050331     3.6
20050401 20050430     0.0
20050501 20050531     0.2
20050601 20050630    25.4
20050701 20050731    35.0
20050801 20050831     1.6
20050901 20050930    51.8
20051001 20051031    24.8
20051101 20051130    33.4
20051201 20051231     2.6
20060101 20060131     1.8
20060201 20060228     7.4
20060301 20060331    10.2
20060401 20060430     9.4
20060501 20060531     0.0
20060601 20060630     8.0
20060701 20060731    31.8
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     4.8
20061101 20061130     4.0
20061201 20061231    14.6
