PRCP       044002 18890301 20170731 missing_value=99999.9 AUGATHELLA POST OFFICE                    
19761001 19761031    27.2
19761101 19761130    39.4
19761201 19761231    42.8
19770101 19770131   114.0
19770201 19770228   133.6
19770301 19770331   153.2
19770401 19770430    92.2
19770501 19770531    77.4
19770601 19770630     1.6
19770701 19770731    14.0
19770801 19770831     7.0
19770901 19770930    11.0
19771001 19771031    23.8
19771101 19771130    47.0
19771201 19771231    15.0
19780101 19780131   102.0
19780201 19780228     6.4
19780301 19780331    21.4
19780401 19780430    11.4
19780501 19780531    96.0
19780601 19780630    51.0
19780701 19780731   137.0
19780801 19780831    88.8
19780901 19780930    61.0
19781001 19781031   112.8
19781101 19781130    34.6
19781201 19781231   123.0
19790101 19790131    23.2
19790201 19790228   130.6
19790301 19790331    70.0
19790401 19790430    18.8
19790501 19790531    41.6
19790601 19790630    12.8
19790701 19790731     5.2
19790801 19790831    13.0
19790901 19790930    15.2
19791001 19791031    16.6
19791101 19791130    17.8
19791201 19791231    39.2
19800101 19800131    40.8
19800201 19800229   149.8
19800301 19800331     7.2
19800401 19800430    10.0
19800501 19800531    33.6
19800601 19800630     1.2
19800701 19800731    43.2
19800801 19800831    15.2
19800901 19800930     0.0
19801001 19801031    96.4
19801101 19801130    14.6
19801201 19801231    43.2
19810101 19810131    86.6
19810201 19810228   128.2
19810301 19810331   128.6
19810401 19810430    67.0
19810501 19810531   104.2
19810601 19810630    88.4
19810701 19810731    42.6
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031    47.4
19811101 19811130   153.8
19811201 19811231    55.0
19820101 19820131    47.4
19820201 19820228     3.2
19820301 19820331   148.4
19820401 19820430    18.4
19820501 19820531    37.4
19820601 19820630     5.0
19820701 19820731     4.0
19820801 19820831     0.0
19820901 19820930     6.0
19821001 19821031     6.0
19821101 19821130     0.0
19821201 19821231    21.2
19830101 19830131    27.8
19830201 19830228    45.6
19830301 19830331    34.4
19830401 19830430   123.0
19830501 19830531   276.0
19830601 19830630    59.4
19830701 19830731    14.4
19830801 19830831    31.2
19830901 19830930     9.3
19831001 19831031     4.4
19831101 19831130   117.0
19831201 19831231    29.6
19840101 19840131   145.4
19840201 19840229    38.4
19840301 19840331    38.2
19840401 19840430    48.0
19840501 19840531    11.2
19840601 19840630    18.0
