PRCP       050004 19110401 20170731 missing_value=99999.9 BOGAN GATE POST OFFICE                    
19920801 19920831    67.0
19920901 19920930    42.0
19921001 19921031    75.0
19921101 19921130    94.0
19921201 19921231   220.0
19930101 19930131    34.0
19930201 19930228    22.0
19930301 19930331    33.0
19930401 19930430     7.0
19930501 19930531    45.0
19930601 19930630    15.0
19930701 19930731   113.0
19930801 19930831    17.2
19930901 19930930    68.0
19931001 19931031    78.0
19931101 19931130    60.0
19931201 19931231    10.0
19940101 19940131     9.0
19940201 19940228    54.0
19940301 19940331    68.0
19940401 19940430    17.0
19940501 19940531    10.4
19940601 19940630    11.2
19940701 19940731    20.0
19940801 19940831    10.2
19940901 19940930    14.0
19941001 19941031    21.4
19941101 19941130    94.4
19941201 19941231    26.0
19950101 19950131   167.0
19950201 19950228    31.0
19950301 19950331     0.0
19950401 19950430    12.0
19950501 19950531    93.7
19950601 19950630    23.0
19950701 19950731    39.0
19950801 19950831     0.0
19950901 19950930    41.2
19951001 19951031    21.2
19951101 19951130    23.5
19951201 19951231    23.0
19960101 19960131    92.0
19960201 19960229     7.0
19960301 19960331    26.0
19960401 19960430     3.0
19960501 19960531    52.0
19960601 19960630    46.0
19960701 19960731    57.4
19960801 19960831    88.4
19960901 19960930    49.0
19961001 19961031    56.0
19961101 19961130    48.0
19961201 19961231    56.0
19970101 19970131    13.0
19970201 19970228    18.5
19970301 19970331    13.0
19970401 19970430     0.0
19970501 19970531    46.0
19970601 19970630    18.8
19970701 19970731    24.0
19970801 19970831    21.7
19970901 19970930    98.5
19971001 19971031    15.0
19971101 19971130    19.2
19971201 19971231    26.0
19980101 19980131    34.7
19980201 19980228    28.0
19980301 19980331     2.0
19980401 19980430    59.5
19980501 19980531    73.1
19980601 19980630    58.4
19980701 19980731    79.0
19980801 19980831   102.0
19980901 19980930    82.0
19981001 19981031    83.0
19981101 19981130    89.5
19981201 19981231    20.0
19990101 19990131    13.0
19990201 19990228     0.0
19990301 19990331   110.5
19990401 19990430    26.0
19990501 19990531    12.5
19990601 19990630    27.5
19990701 19990731    43.5
19990801 19990831    48.0
19990901 19990930    32.7
19991001 19991031   133.0
19991101 19991130    25.0
19991201 19991231   128.0
20000101 20000131    17.0
20000201 20000229    17.0
20000301 20000331    61.0
20000401 20000430    54.0
20000501 20000531    66.0
20000601 20000630    19.0
20000701 20000731    21.5
20000801 20000831    71.5
20000901 20000930     4.0
20001001 20001031    91.0
20001101 20001130    73.0
20001201 20001231    20.0
20010101 20010131     0.0
20010201 20010228    39.0
20010301 20010331    57.0
20010401 20010430    35.0
20010501 20010531    44.5
20010601 20010630    60.0
20010701 20010731    67.0
20010801 20010831    23.0
20010901 20010930    44.0
20011001 20011031    57.0
