PRCP       031055 19080101 20180131 missing_value=99999.9 SOUTH MOSSMAN ALCHERA DVE                 
19810301 19810331   103.4
19810401 19810430   152.0
19810501 19810531   146.8
19810601 19810630     6.2
19810701 19810731    63.7
19810801 19810831     5.0
19810901 19810930   104.8
19811001 19811031    44.4
19811101 19811130   373.9
19811201 19811231   314.1
19820101 19820131   166.0
19820201 19820228   324.4
19820301 19820331   407.4
19820401 19820430   673.4
19820501 19820531    60.9
19820601 19820630    53.4
19820701 19820731     4.4
19820801 19820831    53.0
19820901 19820930   105.4
19821001 19821031     1.8
19821101 19821130   125.5
19821201 19821231   154.6
19830101 19830131   133.4
19830201 19830228    37.0
19830301 19830331   704.8
19830401 19830430   196.6
19830501 19830531   160.5
19830601 19830630    21.2
19830701 19830731    20.0
19830801 19830831    28.1
19830901 19830930   105.2
19831001 19831031    52.1
19831101 19831130   152.0
19831201 19831231   130.8
19840101 19840131   269.4
19840201 19840229   710.0
19840301 19840331   122.6
19840401 19840430   261.8
19840501 19840531    27.4
19840601 19840630    39.2
19840701 19840731    54.6
19840801 19840831     6.4
19840901 19840930     0.2
19841001 19841031    29.6
19841101 19841130   186.4
19841201 19841231   165.6
19850101 19850131   540.6
19850201 19850228   426.2
19850301 19850331   607.6
19850401 19850430   212.4
19850501 19850531   122.2
19850601 19850630    19.9
19850701 19850731    35.6
19850801 19850831    12.0
19850901 19850930    26.0
19851001 19851031   158.2
19851101 19851130   242.2
19851201 19851231   138.2
19860101 19860131   666.6
19860201 19860228   117.0
19860301 19860331   185.2
19860401 19860430   238.0
19860501 19860531    71.0
19860601 19860630    80.4
19860701 19860731    20.6
19860801 19860831    44.2
19860901 19860930    15.8
19861001 19861031    91.4
19861101 19861130    60.6
19861201 19861231   148.6
19870101 19870131    71.9
19870201 19870228   697.0
19870301 19870331   313.4
19870401 19870430   303.6
19870501 19870531    78.8
19870601 19870630    90.4
19870701 19870731   105.2
19870801 19870831    27.6
19870901 19870930    92.8
19871001 19871031    15.2
19871101 19871130   208.6
19871201 19871231   187.8
19880101 19880131    42.0
19880201 19880229   355.4
19880301 19880331   222.8
19880401 19880430    58.2
19880501 19880531    57.6
19880601 19880630    68.2
19880701 19880731   103.8
19880801 19880831    50.0
19880901 19880930    17.6
19881001 19881031    42.8
19881101 19881130   241.6
19881201 19881231   433.4
19890101 19890131   138.2
19890201 19890228   242.0
19890301 19890331   754.2
19890401 19890430   442.0
19890501 19890531   127.4
19890601 19890630    25.0
19890701 19890731    62.8
19890801 19890831    16.6
19890901 19890930     3.0
19891001 19891031     6.6
19891101 19891130   435.0
19891201 19891231    83.5
19900101 19900131   141.0
19900201 19900228    26.0
19900301 19900331   440.4
19900401 19900430   409.8
19900501 19900531   195.4
19900601 19900630   147.8
19900701 19900731    25.4
19900801 19900831     0.2
19900901 19900930    36.8
19901001 19901031    25.8
19901101 19901130    19.4
19901201 19901231   139.2
19910101 19910131  1240.4
19910201 19910228   453.6
19910301 19910331    20.8
19910401 19910430   111.6
19910501 19910531    99.0
19910601 19910630    33.6
19910701 19910731    26.8
19910801 19910831    17.0
19910901 19910930     0.4
19911001 19911031     8.4
19911101 19911130    66.9
19911201 19911231    82.9
19920101 19920131   156.6
19920201 19920229   320.6
19920301 19920331   191.0
19920401 19920430   154.2
19920501 19920531   233.2
19920601 19920630    15.6
19920701 19920731    34.2
19920801 19920831    15.0
19920901 19920930    28.4
19921001 19921031    61.4
19921101 19921130    20.0
19921201 19921231   671.0
19930101 19930131   802.8
19930201 19930228   272.0
19930301 19930331    42.8
