PRCP       039037 18810101 20171130 missing_value=99999.9 FAIRYMEAD SUGAR MILL                      
19450701 19450731    89.3
19450801 19450831     5.3
19450901 19450930    71.4
19451001 19451031    66.4
19451101 19451130    35.8
19451201 19451231    39.7
19460101 19460131   107.3
19460201 19460228    34.0
19460301 19460331   124.3
19460401 19460430    57.4
19460501 19460531     6.1
19460601 19460630     0.3
19460701 19460731     4.1
19460801 19460831     0.8
19460901 19460930    43.4
19461001 19461031    46.3
19461101 19461130    75.2
19461201 19461231    53.9
19470101 19470131   116.5
19470201 19470228   600.0
19470301 19470331   219.0
19470401 19470430    39.8
19470501 19470531    30.5
19470601 19470630     3.1
19470701 19470731     6.4
19470801 19470831    25.7
19470901 19470930   162.1
19471001 19471031    34.3
19471101 19471130   190.1
19471201 19471231   162.2
19480101 19480131    94.1
19480201 19480229   144.0
19480301 19480331   109.4
19480401 19480430   169.2
19480501 19480531   209.3
19480601 19480630   116.1
19480701 19480731    47.5
19480801 19480831     4.6
19480901 19480930    20.1
19481001 19481031    11.5
19481101 19481130    19.6
19481201 19481231   136.4
19490101 19490131   143.7
19490201 19490228   267.7
19490301 19490331   321.0
19490401 19490430    48.4
19490501 19490531     4.3
19490601 19490630    50.3
19490701 19490731    10.9
19490801 19490831     8.4
19490901 19490930    31.8
19491001 19491031   207.0
19491101 19491130    42.2
19491201 19491231    74.2
19500101 19500131   128.8
19500201 19500228   483.1
19500301 19500331   170.9
19500401 19500430   110.7
19500501 19500531    50.6
19500601 19500630   147.9
19500701 19500731   399.3
19500801 19500831     7.7
19500901 19500930    14.2
19501001 19501031   136.9
19501101 19501130   212.1
19501201 19501231    38.6
19510101 19510131   294.6
19510201 19510228    40.2
19510301 19510331    46.2
19510401 19510430    67.0
19510501 19510531    25.1
19510601 19510630    22.7
19510701 19510731     9.2
19510801 19510831    16.6
19510901 19510930     9.4
19511001 19511031    25.1
19511101 19511130     2.9
19511201 19511231    72.7
19520101 19520131   128.6
19520201 19520229    68.0
19520301 19520331   427.1
19520401 19520430   128.1
19520501 19520531   108.2
19520601 19520630    38.2
19520701 19520731    13.0
19520801 19520831    44.1
19520901 19520930    41.1
19521001 19521031    76.2
19521101 19521130    68.0
19521201 19521231   128.2
19530101 19530131   187.9
19530201 19530228   109.9
19530301 19530331   236.0
19530401 19530430   118.1
19530501 19530531   153.2
19530601 19530630    20.1
19530701 19530731     0.8
19530801 19530831    78.7
19530901 19530930     2.4
19531001 19531031   274.8
19531101 19531130    85.7
19531201 19531231    57.1
19540101 19540131   156.5
19540201 19540228   239.6
19540301 19540331    31.0
19540401 19540430    38.4
19540501 19540531    22.2
19540601 19540630    16.3
19540701 19540731   507.9
19540801 19540831    42.6
19540901 19540930    73.7
19541001 19541031    67.4
19541101 19541130    88.6
19541201 19541231    38.4
19550101 19550131    81.7
19550201 19550228   389.0
19550301 19550331   289.1
19550401 19550430   164.0
19550501 19550531   209.2
19550601 19550630    18.8
19550701 19550731    50.9
19550801 19550831     3.9
19550901 19550930    51.3
19551001 19551031    89.7
19551101 19551130    32.5
19551201 19551231   112.7
19560101 19560131   169.4
19560201 19560229   403.9
19560301 19560331   308.2
19560401 19560430   187.5
19560501 19560531   126.4
19560601 19560630   204.5
19560701 19560731    32.0
19560801 19560831     4.1
19560901 19560930     2.3
19561001 19561031    37.6
19561101 19561130   152.2
19561201 19561231   244.1
19570101 19570131    84.4
19570201 19570228    87.1
19570301 19570331    38.4
19570401 19570430    29.4
19570501 19570531     1.5
19570601 19570630    23.1
19570701 19570731    47.7
19570801 19570831    41.6
19570901 19570930     0.0
19571001 19571031    26.4
19571101 19571130   157.0
19571201 19571231    41.9
19580101 19580131   186.3
19580201 19580228   221.6
19580301 19580331    56.3
19580401 19580430   392.2
19580501 19580531    36.9
19580601 19580630   229.3
19580701 19580731    11.5
19580801 19580831    19.9
19580901 19580930    36.5
