PRCP       005014 18860701 20180131 missing_value=99999.9 MOUNT FLORANCE                            
19640201 19640229    53.6
19640301 19640331    20.8
19640401 19640430    20.4
19640501 19640531    97.0
19640601 19640630    56.4
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.0
19641001 19641031     0.0
19641101 19641130    12.2
19641201 19641231     5.8
19650101 19650131    29.1
19650201 19650228    26.2
19650301 19650331   212.3
19650401 19650430     1.8
19650501 19650531     0.0
19650601 19650630    35.8
19650701 19650731     4.3
19650801 19650831    82.6
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     3.0
19651201 19651231    20.6
19660101 19660131    27.0
19660201 19660228   158.2
19660301 19660331    10.4
19660401 19660430   244.8
19660501 19660531     9.4
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     0.0
19661101 19661130     5.6
19661201 19661231     0.0
19670101 19670131   207.9
19670201 19670228    95.8
19670301 19670331    13.7
19670401 19670430     2.0
19670501 19670531     3.8
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     3.8
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     9.1
19671201 19671231     5.6
19680101 19680131    33.0
19680201 19680229    60.1
19680301 19680331    49.5
19680401 19680430     1.3
19680501 19680531    47.8
19680601 19680630   147.9
19680701 19680731    29.7
19680801 19680831    12.0
19680901 19680930     8.9
19681001 19681031     0.0
19681101 19681130    14.0
19681201 19681231     0.0
19690101 19690131    20.8
19690201 19690228    87.4
19690301 19690331     0.0
19690401 19690430     0.0
19690501 19690531     0.0
19690601 19690630    31.8
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     6.4
19691101 19691130     0.0
19691201 19691231     0.0
19700101 19700131     6.4
19700201 19700228    64.8
19700301 19700331     0.0
19700401 19700430     0.0
19700501 19700531   167.7
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     5.1
19701001 19701031     0.0
19701101 19701130     0.0
19701201 19701231     6.4
19710101 19710131    98.6
19710201 19710228   195.1
19710301 19710331    74.9
19710401 19710430     0.0
19710501 19710531     0.0
19710601 19710630   170.2
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031     0.0
19711101 19711130     0.0
19711201 19711231    55.9
19720101 19720131     5.1
19720201 19720229    14.5
19720301 19720331     0.0
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630    47.3
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130     0.0
19721201 19721231    25.4
19730101 19730131   273.3
19730201 19730228     0.0
19730301 19730331   241.3
19730401 19730430     0.0
19730501 19730531    30.2
19730601 19730630    64.8
19730701 19730731     8.9
19730801 19730831    45.7
19730901 19730930     0.0
19731001 19731031     0.2
19731101 19731130     9.4
19731201 19731231    91.1
19740101 19740131   148.6
19740201 19740228    42.2
19740301 19740331    49.2
19740401 19740430     0.0
19740501 19740531    11.0
19740601 19740630     0.0
19740701 19740731    22.6
