PRCP       007080 19070901 20180131 missing_value=99999.9 THREE RIVERS                              
19831001 19831031     0.0
19831101 19831130    26.4
19831201 19831231    54.9
19840101 19840131    30.6
19840201 19840229    18.6
19840301 19840331    25.7
19840401 19840430    21.4
19840501 19840531    88.2
19840601 19840630     1.0
19840701 19840731    16.1
19840801 19840831     4.6
19840901 19840930     7.9
19841001 19841031     0.2
19841101 19841130     0.8
19841201 19841231    17.6
19850101 19850131     7.1
19850201 19850228    81.4
19850301 19850331     1.8
19850401 19850430    41.8
19850501 19850531    13.0
19850601 19850630     0.2
19850701 19850731    22.4
19850801 19850831     1.0
19850901 19850930     0.0
19851001 19851031     0.0
19851101 19851130     9.2
19851201 19851231     0.0
19860101 19860131    10.2
19860201 19860228 99999.9
19860301 19860331     2.2
19860401 19860430     0.0
19860501 19860531     2.6
19860601 19860630    62.2
19860701 19860731    18.4
19860801 19860831     0.0
19860901 19860930    35.0
19861001 19861031     0.0
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131   120.4
19870201 19870228    56.2
19870301 19870331     0.0
19870401 19870430    17.4
19870501 19870531    26.6
19870601 19870630    47.4
19870701 19870731     8.2
19870801 19870831     4.0
19870901 19870930     3.4
19871001 19871031     0.0
19871101 19871130     7.6
19871201 19871231    11.0
19880101 19880131    14.2
19880201 19880229    15.0
19880301 19880331    12.4
19880401 19880430    41.0
19880501 19880531    42.5
19880601 19880630     2.0
19880701 19880731     4.4
19880801 19880831     2.4
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130    12.8
19881201 19881231    37.4
19890101 19890131     8.2
19890201 19890228    15.4
19890301 19890331     0.8
19890401 19890430    52.5
19890501 19890531    11.8
19890601 19890630    62.8
19890701 19890731    17.2
19890801 19890831     0.2
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130     7.4
19891201 19891231     1.6
19900101 19900131   154.2
19900201 19900228    17.6
19900301 19900331    64.4
19900401 19900430     9.0
19900501 19900531     0.0
19900601 19900630     7.0
19900701 19900731     9.5
19900801 19900831    27.6
19900901 19900930     0.0
19901001 19901031     8.0
19901101 19901130     1.0
19901201 19901231    22.8
19910101 19910131     6.2
19910201 19910228     0.0
19910301 19910331     8.0
19910401 19910430     0.0
19910501 19910531    17.6
19910601 19910630    50.6
19910701 19910731    39.2
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130     0.0
19911201 19911231     0.0
19920101 19920131    10.0
19920201 19920229     0.0
19920301 19920331    33.4
19920401 19920430   157.2
19920501 19920531    73.6
19920601 19920630    53.8
19920701 19920731     0.0
19920801 19920831     5.2
19920901 19920930     7.0
19921001 19921031     3.0
19921101 19921130     6.8
19921201 19921231    14.2
19930101 19930131    28.4
19930201 19930228    32.6
19930301 19930331     0.0
19930401 19930430     0.5
19930501 19930531    29.2
19930601 19930630    39.1
19930701 19930731     5.2
19930801 19930831     0.0
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130     0.4
19931201 19931231     9.6
19940101 19940131     0.6
19940201 19940228    56.4
19940301 19940331     0.2
19940401 19940430     0.0
19940501 19940531     0.0
19940601 19940630    13.6
19940701 19940731     0.0
19940801 19940831     0.6
19940901 19940930     0.0
19941001 19941031     0.6
19941101 19941130     0.0
19941201 19941231    32.2
19950101 19950131    16.6
19950201 19950228   116.0
19950301 19950331    18.8
19950401 19950430    90.6
19950501 19950531     1.2
19950601 19950630    21.2
19950701 19950731    23.0
19950801 19950831     0.0
19950901 19950930     0.7
19951001 19951031     0.0
19951101 19951130     2.6
19951201 19951231    95.4
19960101 19960131     8.6
19960201 19960229     0.0
19960301 19960331    17.8
19960401 19960430    98.6
19960501 19960531     0.2
19960601 19960630    80.0
19960701 19960731    38.6
19960801 19960831     3.2
19960901 19960930     0.4
19961001 19961031    27.8
19961101 19961130     1.6
19961201 19961231    23.9
19970101 19970131    65.4
19970201 19970228   161.2
19970301 19970331     8.2
19970401 19970430    83.4
19970501 19970531    45.0
19970601 19970630    14.0
19970701 19970731    42.2
19970801 19970831    46.2
19970901 19970930     4.2
19971001 19971031     3.2
19971101 19971130     0.0
19971201 19971231    13.6
19980101 19980131    12.6
19980201 19980228    29.2
19980301 19980331    30.4
19980401 19980430    22.0
19980501 19980531    21.0
19980601 19980630    66.6
19980701 19980731    64.4
19980801 19980831    23.2
19980901 19980930     0.0
19981001 19981031    17.0
19981101 19981130    11.6
19981201 19981231    66.8
19990101 19990131    25.4
19990201 19990228   186.3
19990301 19990331   121.4
19990401 19990430     3.8
19990501 19990531    56.0
19990601 19990630     0.4
19990701 19990731     2.2
19990801 19990831     1.0
19990901 19990930     0.0
19991001 19991031     4.2
19991101 19991130     5.8
19991201 19991231    57.0
20000101 20000131    89.6
20000201 20000229    60.6
20000301 20000331   143.6
20000401 20000430    30.2
20000501 20000531     0.0
20000601 20000630     0.0
20000701 20000731     7.8
20000801 20000831     0.0
20000901 20000930     2.2
20001001 20001031     0.0
20001101 20001130    15.6
20001201 20001231    13.6
20010101 20010131    26.4
20010201 20010228    97.8
20010301 20010331     0.0
20010401 20010430     7.2
20010501 20010531    17.0
20010601 20010630     0.0
20010701 20010731     1.2
20010801 20010831     0.4
20010901 20010930     2.4
20011001 20011031    12.0
20011101 20011130     7.8
20011201 20011231    42.2
20020101 20020131    56.6
20020201 20020228    44.0
20020301 20020331    38.4
20020401 20020430    19.8
20020501 20020531    31.6
20020601 20020630    14.2
20020701 20020731     0.4
20020801 20020831     0.0
20020901 20020930     1.2
20021001 20021031     0.0
20021101 20021130     2.2
20021201 20021231    30.5
20030101 20030131   139.8
20030201 20030228    16.0
20030301 20030331    20.3
20030401 20030430    54.2
