PRCP       078043 18970801 20171231 missing_value=99999.9 YANAC NORTH                               
19780601 19780630    41.6
19780701 19780731    62.8
19780801 19780831    49.2
19780901 19780930    81.2
19781001 19781031    31.8
19781101 19781130    46.2
19781201 19781231    10.2
19790101 19790131    83.2
19790201 19790228    17.8
19790301 19790331     2.4
19790401 19790430    19.4
19790501 19790531    41.2
19790601 19790630    20.8
19790701 19790731    31.0
19790801 19790831    63.0
19790901 19790930   117.6
19791001 19791031    42.6
19791101 19791130    55.0
19791201 19791231    10.2
19800101 19800131     1.6
19800201 19800229     0.4
19800301 19800331    12.6
19800401 19800430    61.6
19800501 19800531    37.2
19800601 19800630    45.2
19800701 19800731    54.4
19800801 19800831    48.8
19800901 19800930    24.4
19801001 19801031    76.4
19801101 19801130    17.2
19801201 19801231    14.8
19810101 19810131     6.0
19810201 19810228    16.8
19810301 19810331     6.8
19810401 19810430     1.2
19810501 19810531    56.2
19810601 19810630    55.2
19810701 19810731    93.8
19810801 19810831   107.6
19810901 19810930    31.2
19811001 19811031    48.2
19811101 19811130    36.8
19811201 19811231     3.6
19820101 19820131    30.6
19820201 19820228     5.2
19820301 19820331    19.0
19820401 19820430    29.6
19820501 19820531    17.8
19820601 19820630    23.0
19820701 19820731    13.4
19820801 19820831    13.6
19820901 19820930     8.0
19821001 19821031     7.2
19821101 19821130     7.6
19821201 19821231    11.6
19830101 19830131    10.0
19830201 19830228     0.0
19830301 19830331    87.0
19830401 19830430    33.8
19830501 19830531    35.2
19830601 19830630    20.0
19830701 19830731    43.6
19830801 19830831    51.8
19830901 19830930    70.0
19831001 19831031    36.0
19831101 19831130    38.2
19831201 19831231    37.8
19840101 19840131    44.4
19840201 19840229     0.6
19840301 19840331    55.8
19840401 19840430     9.6
19840501 19840531    14.4
19840601 19840630     8.0
19840701 19840731    45.2
19840801 19840831    93.2
19840901 19840930    38.0
19841001 19841031     5.6
19841101 19841130    42.6
19841201 19841231     4.2
19850101 19850131    10.8
19850201 19850228     1.4
19850301 19850331    15.0
19850401 19850430    21.2
19850501 19850531    32.0
19850601 19850630    27.6
19850701 19850731    13.6
19850801 19850831    79.8
19850901 19850930    35.0
19851001 19851031    71.0
19851101 19851130    14.2
19851201 19851231    37.2
19860101 19860131     1.8
19860201 19860228     0.6
19860301 19860331     1.6
19860401 19860430    35.2
19860501 19860531    53.6
19860601 19860630    21.0
19860701 19860731    85.2
19860801 19860831    55.4
19860901 19860930    37.8
19861001 19861031    77.4
19861101 19861130    17.6
19861201 19861231    35.4
19870101 19870131    13.4
19870201 19870228    41.8
19870301 19870331     6.8
19870401 19870430    10.6
19870501 19870531    89.6
19870601 19870630    42.6
19870701 19870731    29.0
19870801 19870831    24.0
19870901 19870930     8.4
19871001 19871031    38.4
19871101 19871130     8.6
19871201 19871231    58.8
19880101 19880131    50.6
19880201 19880229    14.3
19880301 19880331    33.4
19880401 19880430    11.8
19880501 19880531    99.6
19880601 19880630    98.0
19880701 19880731    46.6
19880801 19880831    32.0
19880901 19880930    50.4
19881001 19881031    19.2
19881101 19881130    35.2
19881201 19881231    23.2
19890101 19890131     3.4
19890201 19890228    26.4
19890301 19890331    13.8
19890401 19890430    16.2
19890501 19890531    64.6
19890601 19890630    40.2
19890701 19890731    49.8
19890801 19890831    53.6
19890901 19890930    50.6
19891001 19891031    46.6
19891101 19891130    12.2
19891201 19891231    16.0
19900101 19900131     1.2
19900201 19900228     9.8
19900301 19900331    15.4
19900401 19900430     9.2
19900501 19900531     3.2
19900601 19900630    50.0
19900701 19900731    61.0
19900801 19900831    73.2
19900901 19900930    30.8
19901001 19901031    18.2
19901101 19901130    16.0
19901201 19901231    11.6
19910101 19910131    21.2
19910201 19910228     0.0
19910301 19910331     6.4
19910401 19910430    28.0
19910501 19910531    10.2
19910601 19910630   128.0
19910701 19910731    51.4
19910801 19910831    82.8
19910901 19910930    64.6
19911001 19911031     1.4
19911101 19911130    27.6
19911201 19911231     9.0
19920101 19920131    15.8
19920201 19920229    16.4
19920301 19920331    23.2
19920401 19920430    47.8
19920501 19920531    66.6
19920601 19920630    28.8
19920701 19920731    41.2
19920801 19920831    86.2
19920901 19920930    89.2
19921001 19921031    76.4
19921101 19921130    43.4
19921201 19921231    46.6
19930101 19930131    60.4
19930201 19930228     6.4
19930301 19930331    15.0
