PRCP       053018 18790601 20180131 missing_value=99999.9 CROPPA CREEK (KRUI PLAINS)                
19661101 19661130    40.9
19661201 19661231    54.8
19670101 19670131    29.7
19670201 19670228     9.7
19670301 19670331   107.9
19670401 19670430     5.3
19670501 19670531    27.2
19670601 19670630    68.6
19670701 19670731    24.2
19670801 19670831    13.9
19670901 19670930     2.1
19671001 19671031    31.4
19671101 19671130     4.6
19671201 19671231    25.0
19680101 19680131   136.5
19680201 19680229    49.3
19680301 19680331    74.5
19680401 19680430    23.1
19680501 19680531    64.1
19680601 19680630    12.9
19680701 19680731    50.9
19680801 19680831    63.3
19680901 19680930    10.4
19681001 19681031    10.6
19681101 19681130     5.8
19681201 19681231    54.4
19690101 19690131    29.8
19690201 19690228     5.1
19690301 19690331    29.6
19690401 19690430    33.1
19690501 19690531   107.0
19690601 19690630    21.5
19690701 19690731    27.0
19690801 19690831    35.2
19690901 19690930    48.2
19691001 19691031   106.1
19691101 19691130    98.3
19691201 19691231    11.2
19700101 19700131   132.3
19700201 19700228    76.0
19700301 19700331     2.3
19700401 19700430    41.9
19700501 19700531    28.0
19700601 19700630     6.7
19700701 19700731     0.0
19700801 19700831    26.2
19700901 19700930   117.0
19701001 19701031    59.2
19701101 19701130    35.5
19701201 19701231   305.3
19710101 19710131   180.4
19710201 19710228    76.2
19710301 19710331    20.3
19710401 19710430    18.3
19710501 19710531     3.8
19710601 19710630     2.3
19710701 19710731   120.0
19710801 19710831   104.9
19710901 19710930    28.0
19711001 19711031    13.7
19711101 19711130    48.4
19711201 19711231    60.2
19720101 19720131    50.8
19720201 19720229    22.1
19720301 19720331    66.3
19720401 19720430    82.3
19720501 19720531    25.9
19720601 19720630    15.0
19720701 19720731     3.3
19720801 19720831    43.8
19720901 19720930    47.9
19721001 19721031    88.1
19721101 19721130    83.6
19721201 19721231    14.2
19730101 19730131   101.3
19730201 19730228   104.4
19730301 19730331    30.3
19730401 19730430     5.3
19730501 19730531     7.1
19730601 19730630     8.4
19730701 19730731    66.3
19730801 19730831    27.6
19730901 19730930    54.9
19731001 19731031    47.7
19731101 19731130   108.9
19731201 19731231   135.6
19740101 19740131   179.2
19740201 19740228    15.8
19740301 19740331    26.6
19740401 19740430    56.6
19740501 19740531    41.2
19740601 19740630    26.8
19740701 19740731     4.8
