PRCP       036007 18861201 20180131 missing_value=99999.9 BARCALDINE POST OFFICE                    
19610601 19610630     2.3
19610701 19610731    19.1
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031    11.7
19611101 19611130    63.9
19611201 19611231    53.3
19620101 19620131   158.2
19620201 19620228    27.7
19620301 19620331    54.0
19620401 19620430    56.7
19620501 19620531    26.6
19620601 19620630    19.8
19620701 19620731    23.7
19620801 19620831     0.0
19620901 19620930    15.8
19621001 19621031    29.5
19621101 19621130    12.7
19621201 19621231   152.2
19630101 19630131    75.2
19630201 19630228    16.5
19630301 19630331   357.1
19630401 19630430    35.4
19630501 19630531     0.5
19630601 19630630     3.3
19630701 19630731     0.0
19630801 19630831    44.1
19630901 19630930     0.8
19631001 19631031    54.1
19631101 19631130    27.1
19631201 19631231    13.8
19640101 19640131    72.1
19640201 19640229    60.0
19640301 19640331    20.3
19640401 19640430    44.7
19640501 19640531    35.6
19640601 19640630     1.0
19640701 19640731     9.1
19640801 19640831    11.2
19640901 19640930    28.5
19641001 19641031    51.6
19641101 19641130    16.5
19641201 19641231    32.7
19650101 19650131    33.5
19650201 19650228    11.7
19650301 19650331    45.7
19650401 19650430    69.9
19650501 19650531     2.6
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     4.8
19650901 19650930     0.0
19651001 19651031     3.8
19651101 19651130     0.0
19651201 19651231   108.7
19660101 19660131   129.1
19660201 19660228    17.2
19660301 19660331    10.4
19660401 19660430     0.0
19660501 19660531     4.9
19660601 19660630    19.6
19660701 19660731     0.0
19660801 19660831   121.4
19660901 19660930    31.0
19661001 19661031     6.4
19661101 19661130    24.1
19661201 19661231     9.4
19670101 19670131    19.1
19670201 19670228    75.9
19670301 19670331    27.8
19670401 19670430     0.5
19670501 19670531     1.5
19670601 19670630    82.5
19670701 19670731     0.8
19670801 19670831     8.9
19670901 19670930     0.0
19671001 19671031     8.9
19671101 19671130    36.9
19671201 19671231    42.4
19680101 19680131    41.9
19680201 19680229   118.3
19680301 19680331     8.7
19680401 19680430    83.8
19680501 19680531    46.5
19680601 19680630     0.0
19680701 19680731    20.9
19680801 19680831     1.8
19680901 19680930     3.4
19681001 19681031    11.7
19681101 19681130     0.8
19681201 19681231    28.1
19690101 19690131    38.0
19690201 19690228    38.1
19690301 19690331    28.8
19690401 19690430     0.0
19690501 19690531    35.4
19690601 19690630    11.7
19690701 19690731     4.8
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    57.5
