PRCP       080004 18870501 20180131 missing_value=99999.9 CANARY ISLAND                             
19661101 19661130    15.5
19661201 19661231    73.8
19670101 19670131     4.3
19670201 19670228     2.3
19670301 19670331     1.5
19670401 19670430     6.6
19670501 19670531    28.2
19670601 19670630    29.1
19670701 19670731    12.7
19670801 19670831    43.4
19670901 19670930    14.5
19671001 19671031     5.1
19671101 19671130     0.8
19671201 19671231     7.4
19680101 19680131    16.5
19680201 19680229     0.0
19680301 19680331    38.1
19680401 19680430    47.1
19680501 19680531    74.9
19680601 19680630    55.3
19680701 19680731    39.0
19680801 19680831    75.8
19680901 19680930    15.4
19681001 19681031    33.7
19681101 19681130    12.6
19681201 19681231    21.9
19690101 19690131    26.0
19690201 19690228    57.6
19690301 19690331   113.9
19690401 19690430    14.9
19690501 19690531    42.4
19690601 19690630     7.2
19690701 19690731    42.9
19690801 19690831    43.2
19690901 19690930    22.4
19691001 19691031    23.7
19691101 19691130    20.5
19691201 19691231    28.4
19700101 19700131    56.2
19700201 19700228    16.8
19700301 19700331    39.8
19700401 19700430    55.8
19700501 19700531    23.1
19700601 19700630    27.9
19700701 19700731     9.6
19700801 19700831    48.9
19700901 19700930    58.8
19701001 19701031     3.8
19701101 19701130    45.8
19701201 19701231    19.0
19710101 19710131    79.3
19710201 19710228    58.2
19710301 19710331    67.4
19710401 19710430    55.6
19710501 19710531    26.7
19710601 19710630    19.6
19710701 19710731    18.2
19710801 19710831    28.3
19710901 19710930    28.5
19711001 19711031    18.6
19711101 19711130    99.5
19711201 19711231    35.1
19720101 19720131    54.9
19720201 19720229    55.7
19720301 19720331     3.0
19720401 19720430    19.0
19720501 19720531    10.7
19720601 19720630     7.6
19720701 19720731    14.6
19720801 19720831    40.9
19720901 19720930    15.2
19721001 19721031     9.7
19721101 19721130    34.7
19721201 19721231     2.0
19730101 19730131    46.7
19730201 19730228   156.4
19730301 19730331    41.6
19730401 19730430    41.5
19730501 19730531    48.3
19730601 19730630    58.2
19730701 19730731    58.7
19730801 19730831    95.5
19730901 19730930    56.1
19731001 19731031   147.5
19731101 19731130    39.7
19731201 19731231    21.5
19740101 19740131   111.4
19740201 19740228    27.3
19740301 19740331    51.4
19740401 19740430    59.4
19740501 19740531    93.5
19740601 19740630     9.4
19740701 19740731    39.8
19740801 19740831    49.6
19740901 19740930    65.4
19741001 19741031    78.2
19741101 19741130    12.2
19741201 19741231     0.0
19750101 19750131     5.0
19750201 19750228     2.8
19750301 19750331    33.8
19750401 19750430     0.8
19750501 19750531    42.0
19750601 19750630     2.0
19750701 19750731    34.3
19750801 19750831    41.8
19750901 19750930    88.4
19751001 19751031   128.6
19751101 19751130     4.2
19751201 19751231    57.0
19760101 19760131    26.6
19760201 19760229     9.2
19760301 19760331     4.2
19760401 19760430     0.4
19760501 19760531     5.3
19760601 19760630     9.8
19760701 19760731    19.0
19760801 19760831    28.8
19760901 19760930    30.2
19761001 19761031    62.7
19761101 19761130    57.2
19761201 19761231    15.4
19770101 19770131     0.0
19770201 19770228    29.8
19770301 19770331    10.2
19770401 19770430    29.6
19770501 19770531    35.8
19770601 19770630    23.4
19770701 19770731    15.8
19770801 19770831    10.4
19770901 19770930    32.6
19771001 19771031    12.6
19771101 19771130    25.6
19771201 19771231     5.4
19780101 19780131    29.6
19780201 19780228     4.6
19780301 19780331    37.6
19780401 19780430    21.2
19780501 19780531    47.4
19780601 19780630    38.6
19780701 19780731    78.2
19780801 19780831    37.0
19780901 19780930    77.2
19781001 19781031    15.8
19781101 19781130    60.8
19781201 19781231    23.0
19790101 19790131    49.4
19790201 19790228    12.5
19790301 19790331    12.4
19790401 19790430    27.2
19790501 19790531    41.0
19790601 19790630    15.8
19790701 19790731     4.0
19790801 19790831    70.0
19790901 19790930    86.6
19791001 19791031    32.6
19791101 19791130    16.6
19791201 19791231     1.0
19800101 19800131     1.4
19800201 19800229     0.0
19800301 19800331    16.4
19800401 19800430    48.0
19800501 19800531    29.6
19800601 19800630    34.8
