PRCP       046042 19010101 20111231 missing_value=99999.9 WHITE CLIFFS POST OFFICE                  
19920301 19920331     0.0
19920401 19920430     4.4
19920501 19920531    10.8
19920601 19920630     3.4
19920701 19920731    11.8
19920801 19920831    31.8
19920901 19920930    11.4
19921001 19921031    31.2
19921101 19921130    67.4
19921201 19921231   140.2
19930101 19930131   214.8
19930201 19930228     0.6
19930301 19930331     3.6
19930401 19930430     0.6
19930501 19930531    49.2
19930601 19930630     0.2
19930701 19930731    63.8
19930801 19930831     0.0
19930901 19930930    30.2
19931001 19931031    31.4
19931101 19931130     9.2
19931201 19931231    30.0
19940101 19940131     0.0
19940201 19940228    57.8
19940301 19940331     1.6
19940401 19940430     1.8
19940501 19940531     5.0
19940601 19940630    17.0
19940701 19940731     2.4
19940801 19940831     1.0
19940901 19940930     6.2
19941001 19941031     8.8
19941101 19941130    14.4
19941201 19941231     2.4
19950101 19950131    83.0
19950201 19950228     5.0
19950301 19950331     1.6
19950401 19950430     0.8
19950501 19950531    25.4
19950601 19950630    12.8
19950701 19950731     6.0
19950801 19950831     0.8
19950901 19950930    21.8
19951001 19951031    11.2
19951101 19951130    30.8
19951201 19951231     2.4
19960101 19960131    28.0
19960201 19960229    11.8
19960301 19960331    32.2
