PRCP       099005 18990301 20180131 missing_value=99999.9 FLINDERS ISLAND AIRPORT                   
19790501 19790531   113.2
19790601 19790630    38.8
19790701 19790731    41.0
19790801 19790831    68.2
19790901 19790930   101.6
19791001 19791031    44.6
19791101 19791130    35.2
19791201 19791231    30.6
19800101 19800131    49.0
19800201 19800229    15.6
19800301 19800331    32.4
19800401 19800430    59.6
19800501 19800531    80.6
19800601 19800630    67.2
19800701 19800731    79.2
19800801 19800831    76.6
19800901 19800930    73.8
19801001 19801031    67.6
19801101 19801130    47.4
19801201 19801231    35.8
19810101 19810131   110.4
19810201 19810228    16.6
19810301 19810331   150.6
19810401 19810430    36.2
19810501 19810531    52.2
19810601 19810630   107.8
19810701 19810731   111.6
19810801 19810831   140.0
19810901 19810930    49.4
19811001 19811031    29.0
19811101 19811130    40.4
19811201 19811231    59.6
19820101 19820131    32.8
19820201 19820228     2.6
19820301 19820331    80.4
19820401 19820430    59.0
19820501 19820531    71.6
19820601 19820630    58.6
19820701 19820731   125.2
19820801 19820831     6.4
19820901 19820930    45.0
19821001 19821031    30.6
19821101 19821130    15.0
19821201 19821231    63.8
19830101 19830131    32.8
19830201 19830228     1.6
19830301 19830331   103.2
19830401 19830430    94.6
19830501 19830531   103.8
19830601 19830630    91.8
19830701 19830731    30.4
19830801 19830831    91.2
19830901 19830930   118.0
19831001 19831031    29.6
19831101 19831130    40.6
19831201 19831231    33.2
19840101 19840131    79.2
19840201 19840229    17.0
19840301 19840331    82.2
19840401 19840430    53.4
19840501 19840531    20.6
19840601 19840630    35.4
19840701 19840731    89.8
19840801 19840831   109.8
19840901 19840930    80.0
19841001 19841031    21.0
19841101 19841130    44.2
19841201 19841231    50.4
19850101 19850131    23.4
19850201 19850228    17.2
19850301 19850331    50.0
19850401 19850430    84.2
19850501 19850531   100.2
19850601 19850630    79.0
19850701 19850731    69.2
19850801 19850831   141.0
19850901 19850930    22.4
19851001 19851031    45.4
19851101 19851130    88.0
19851201 19851231   204.8
19860101 19860131    64.8
19860201 19860228    28.8
19860301 19860331    12.0
19860401 19860430    84.4
19860501 19860531   121.4
19860601 19860630    60.4
19860701 19860731   107.4
19860801 19860831    75.6
19860901 19860930   134.4
19861001 19861031   113.6
19861101 19861130    31.6
19861201 19861231    62.4
19870101 19870131    89.8
19870201 19870228    40.0
19870301 19870331    38.2
19870401 19870430    19.8
19870501 19870531    97.6
19870601 19870630    69.8
19870701 19870731   127.6
19870801 19870831    30.8
19870901 19870930    25.4
19871001 19871031    34.8
19871101 19871130    49.6
19871201 19871231    71.4
19880101 19880131    32.4
19880201 19880229    11.2
19880301 19880331    16.2
19880401 19880430    31.4
19880501 19880531   145.2
19880601 19880630    58.8
19880701 19880731    94.4
19880801 19880831    43.6
19880901 19880930    69.8
19881001 19881031    72.8
19881101 19881130    57.6
19881201 19881231    75.8
19890101 19890131    29.0
19890201 19890228     6.6
19890301 19890331   101.6
19890401 19890430   106.0
19890501 19890531    70.8
19890601 19890630    92.8
19890701 19890731   117.6
19890801 19890831    70.2
19890901 19890930    57.8
19891001 19891031   103.0
19891101 19891130    26.0
19891201 19891231    41.8
19900101 19900131     5.4
19900201 19900228    70.4
19900301 19900331    45.0
19900401 19900430   104.2
19900501 19900531    32.2
19900601 19900630    76.4
19900701 19900731    89.6
19900801 19900831    72.0
19900901 19900930    62.8
19901001 19901031    43.6
19901101 19901130    36.0
19901201 19901231    40.4
19910101 19910131    89.2
19910201 19910228    12.0
19910301 19910331    56.0
19910401 19910430    47.0
19910501 19910531    35.6
19910601 19910630   113.6
19910701 19910731   128.2
19910801 19910831   163.2
19910901 19910930    87.4
19911001 19911031    23.6
19911101 19911130    61.2
19911201 19911231    52.0
19920101 19920131    94.0
19920201 19920229    27.2
19920301 19920331     7.4
19920401 19920430   123.2
19920501 19920531    47.8
19920601 19920630    94.2
19920701 19920731    82.6
19920801 19920831    99.8
19920901 19920930    79.8
19921001 19921031 99999.9
19921101 19921130 99999.9
19921201 19921231 99999.9
19930101 19930131 99999.9
19930201 19930228 99999.9
19930301 19930331 99999.9
19930401 19930430 99999.9
19930501 19930531 99999.9
19930601 19930630 99999.9
19930701 19930731    61.8
19930801 19930831    40.6
19930901 19930930    89.6
19931001 19931031    57.6
19931101 19931130    30.6
19931201 19931231   153.6
19940101 19940131    49.4
19940201 19940228    27.2
19940301 19940331    21.2
19940401 19940430    27.0
