PRCP       012011 19111001 20180131 missing_value=99999.9 BULLFINCH                                 
19760401 19760430    25.6
19760501 19760531    16.6
19760601 19760630    13.6
19760701 19760731     8.2
19760801 19760831    32.2
19760901 19760930    17.8
19761001 19761031    29.8
19761101 19761130     9.8
19761201 19761231     0.0
19770101 19770131     0.0
19770201 19770228    18.4
19770301 19770331     7.4
19770401 19770430    20.4
19770501 19770531    16.6
19770601 19770630    18.6
19770701 19770731     4.0
19770801 19770831    30.0
19770901 19770930    10.4
19771001 19771031    50.0
19771101 19771130    12.2
19771201 19771231    41.2
19780101 19780131    30.4
19780201 19780228   113.1
19780301 19780331     0.0
19780401 19780430    23.4
19780501 19780531    13.2
19780601 19780630    39.5
19780701 19780731    63.1
19780801 19780831    16.5
19780901 19780930    23.6
19781001 19781031     7.0
19781101 19781130     9.4
19781201 19781231    13.6
19790101 19790131     0.0
19790201 19790228    39.8
19790301 19790331     2.4
19790401 19790430    14.6
19790501 19790531    24.0
19790601 19790630    49.0
19790701 19790731    16.7
19790801 19790831    37.8
19790901 19790930    12.4
19791001 19791031     0.0
19791101 19791130    37.4
19791201 19791231    12.1
19800101 19800131    27.4
19800201 19800229    13.2
19800301 19800331     0.0
19800401 19800430    16.5
19800501 19800531    45.4
19800601 19800630    85.8
19800701 19800731    41.0
19800801 19800831    14.2
19800901 19800930     2.0
19801001 19801031     9.8
19801101 19801130    18.6
19801201 19801231     1.4
19810101 19810131    22.2
19810201 19810228    24.4
19810301 19810331     0.0
19810401 19810430    12.0
19810501 19810531    65.4
19810601 19810630    57.0
19810701 19810731    43.8
19810801 19810831    38.6
19810901 19810930     3.6
19811001 19811031    17.2
19811101 19811130    51.8
19811201 19811231    10.6
19820101 19820131    21.0
19820201 19820228     0.0
19820301 19820331    15.5
19820401 19820430     1.6
19820501 19820531    53.2
19820601 19820630    40.8
19820701 19820731    19.2
19820801 19820831    23.9
19820901 19820930    13.2
19821001 19821031    81.4
19821101 19821130    21.0
19821201 19821231    11.5
19830101 19830131    10.4
19830201 19830228     2.4
19830301 19830331     0.0
19830401 19830430     2.0
19830501 19830531     2.0
19830601 19830630    39.5
19830701 19830731    35.3
19830801 19830831    37.8
19830901 19830930    34.6
19831001 19831031     6.2
19831101 19831130    58.0
19831201 19831231    94.6
19840101 19840131     4.5
19840201 19840229     6.0
19840301 19840331    26.6
19840401 19840430    55.1
19840501 19840531   109.5
19840601 19840630    28.2
19840701 19840731    42.2
19840801 19840831    14.4
19840901 19840930    27.2
19841001 19841031    12.6
19841101 19841130    11.8
19841201 19841231     0.0
19850101 19850131     0.0
19850201 19850228    41.0
19850301 19850331    46.8
19850401 19850430     3.0
19850501 19850531    22.0
19850601 19850630    13.4
19850701 19850731    60.0
19850801 19850831    38.2
19850901 19850930    23.0
19851001 19851031    10.0
19851101 19851130    40.0
19851201 19851231     4.4
19860101 19860131     0.0
19860201 19860228     6.4
19860301 19860331     6.8
19860401 19860430     9.0
19860501 19860531    37.2
19860601 19860630    56.6
19860701 19860731    27.4
19860801 19860831    34.2
19860901 19860930    13.7
19861001 19861031     4.6
19861101 19861130    11.0
19861201 19861231    18.0
19870101 19870131    11.8
19870201 19870228     0.0
19870301 19870331     4.0
19870401 19870430     9.5
19870501 19870531    36.2
19870601 19870630    53.3
19870701 19870731    37.1
19870801 19870831    26.4
19870901 19870930     5.8
19871001 19871031    21.4
19871101 19871130    18.2
19871201 19871231    33.3
19880101 19880131     3.6
19880201 19880229     0.0
19880301 19880331     4.6
19880401 19880430    43.3
19880501 19880531    99.0
19880601 19880630    43.8
19880701 19880731    49.4
19880801 19880831    37.2
19880901 19880930     9.6
19881001 19881031    11.7
19881101 19881130    13.1
19881201 19881231    32.6
19890101 19890131     6.0
19890201 19890228    31.4
19890301 19890331     0.0
19890401 19890430    35.2
19890501 19890531   116.4
19890601 19890630    47.0
19890701 19890731    31.4
19890801 19890831    10.8
19890901 19890930     5.8
19891001 19891031     8.4
19891101 19891130     1.8
19891201 19891231     6.4
19900101 19900131    29.3
