PRCP       010123 19100101 20171231 missing_value=99999.9 THE GRANITES                              
19930901 19930930    33.6
19931001 19931031     9.2
19931101 19931130    28.0
19931201 19931231     2.4
19940101 19940131     0.0
19940201 19940228     4.0
19940301 19940331     0.0
19940401 19940430     1.0
19940501 19940531    43.2
19940601 19940630    37.2
19940701 19940731    22.8
19940801 19940831    26.0
19940901 19940930    20.8
19941001 19941031     6.4
19941101 19941130     1.0
19941201 19941231    11.4
19950101 19950131     9.8
19950201 19950228     9.2
19950301 19950331    15.0
19950401 19950430    14.2
19950501 19950531    53.8
19950601 19950630    46.8
19950701 19950731    94.2
19950801 19950831    19.4
19950901 19950930    25.4
19951001 19951031    49.4
19951101 19951130     0.6
19951201 19951231    20.0
19960101 19960131     6.0
19960201 19960229     3.0
19960301 19960331     2.6
19960401 19960430    16.8
19960501 19960531    45.0
19960601 19960630    52.8
19960701 19960731    70.8
19960801 19960831    31.6
19960901 19960930    35.4
19961001 19961031    18.2
19961101 19961130    44.6
19961201 19961231     1.6
19970101 19970131     0.0
19970201 19970228    64.8
19970301 19970331     9.2
19970401 19970430    23.8
19970501 19970531    26.4
19970601 19970630    24.6
19970701 19970731    36.8
19970801 19970831    41.6
19970901 19970930    32.2
19971001 19971031    10.8
19971101 19971130     8.0
19971201 19971231     0.0
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     3.2
19980401 19980430    37.4
19980501 19980531    12.4
19980601 19980630    78.4
19980701 19980731    54.8
19980801 19980831    47.4
19980901 19980930    17.0
19981001 19981031     4.6
19981101 19981130     4.8
19981201 19981231     5.6
19990101 19990131    25.6
19990201 19990228     1.4
19990301 19990331    64.6
19990401 19990430    22.6
19990501 19990531    93.8
19990601 19990630    46.2
19990701 19990731    54.6
19990801 19990831    39.2
19990901 19990930    30.4
19991001 19991031    29.2
19991101 19991130     6.0
19991201 19991231    40.4
20000101 20000131   182.1
20000201 20000229     0.6
20000301 20000331    20.0
20000401 20000430    11.0
20000501 20000531    11.4
