PRCP       002019 19131201 20170831 missing_value=99999.9 MARGARET RIVER                            
19950201 19950228   166.6
19950301 19950331   123.8
19950401 19950430     8.4
19950501 19950531     0.0
19950601 19950630     0.0
19950701 19950731     5.6
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031     0.0
19951101 19951130   142.0
19951201 19951231   104.6
19960101 19960131    23.6
19960201 19960229    78.0
19960301 19960331   295.4
19960401 19960430    95.8
19960501 19960531    20.6
19960601 19960630     0.0
19960701 19960731     0.0
19960801 19960831     0.0
19960901 19960930     0.0
19961001 19961031    14.0
19961101 19961130     9.4
19961201 19961231    58.8
19970101 19970131   316.4
19970201 19970228    93.8
19970301 19970331     7.0
19970401 19970430     0.0
19970501 19970531    54.8
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     0.0
19971001 19971031    17.0
19971101 19971130     6.4
19971201 19971231    78.4
19980101 19980131   104.0
19980201 19980228   106.0
19980301 19980331    31.4
19980401 19980430    36.0
19980501 19980531     0.0
19980601 19980630     4.4
19980701 19980731     4.8
19980801 19980831     0.0
19980901 19980930     7.0
19981001 19981031    16.0
19981101 19981130    69.4
19981201 19981231   136.4
19990101 19990131   143.2
19990201 19990228   100.5
19990301 19990331    73.6
19990401 19990430     1.0
19990501 19990531     0.0
19990601 19990630    17.6
19990701 19990731     0.0
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031    46.6
19991101 19991130    76.2
19991201 19991231   138.6
20000101 20000131   144.0
20000201 20000229   148.6
20000301 20000331   386.6
20000401 20000430   150.2
20000501 20000531     0.0
20000601 20000630     0.0
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.0
20001001 20001031    32.6
20001101 20001130     3.8
20001201 20001231   145.3
20010101 20010131    75.4
20010201 20010228   334.8
20010301 20010331   214.2
20010401 20010430     3.6
20010501 20010531     0.0
20010601 20010630     0.0
20010701 20010731    17.4
20010801 20010831     0.0
20010901 20010930     0.0
20011001 20011031     2.0
20011101 20011130    34.2
20011201 20011231    34.6
20020101 20020131    98.6
20020201 20020228   305.2
20020301 20020331     8.4
20020401 20020430     0.0
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.0
20021001 20021031     0.0
20021101 20021130    82.6
20021201 20021231   101.4
20030101 20030131   240.2
20030201 20030228   171.4
20030301 20030331     6.4
20030401 20030430    17.8
20030501 20030531     0.0
20030601 20030630     0.0
20030701 20030731     0.0
20030801 20030831     0.0
20030901 20030930     0.0
20031001 20031031     0.0
20031101 20031130    44.4
20031201 20031231    51.0
20040101 20040131   167.7
20040201 20040229   256.8
20040301 20040331    58.2
20040401 20040430     1.6
20040501 20040531    88.4
20040601 20040630     5.6
20040701 20040731     0.0
