PRCP       097091 19070101 20180131 missing_value=99999.9 SOUTH QUEENSTOWN                          
19931101 19931130   216.0
19931201 19931231   181.6
19940101 19940131   261.4
19940201 19940228    63.6
19940301 19940331    55.6
19940401 19940430   230.2
19940501 19940531   459.4
19940601 19940630   226.6
19940701 19940731   325.6
19940801 19940831   347.8
19940901 19940930   350.0
19941001 19941031   202.4
19941101 19941130   292.0
19941201 19941231    52.8
19950101 19950131    92.4
19950201 19950228    90.6
19950301 19950331   256.5
19950401 19950430   262.7
19950501 19950531   167.4
19950601 19950630   256.0
19950701 19950731   264.2
19950801 19950831   380.8
19950901 19950930   270.1
19951001 19951031   216.3
19951101 19951130   162.4
19951201 19951231   132.5
19960101 19960131   155.4
19960201 19960229   197.8
19960301 19960331   280.8
19960401 19960430   334.6
19960501 19960531   220.4
19960601 19960630   265.6
19960701 19960731   202.0
19960801 19960831   438.6
19960901 19960930   415.0
19961001 19961031   334.1
19961101 19961130   280.2
19961201 19961231   165.6
19970101 19970131   132.8
19970201 19970228    59.4
19970301 19970331   211.2
19970401 19970430   342.2
19970501 19970531   200.6
19970601 19970630   167.0
19970701 19970731   253.8
19970801 19970831   321.0
19970901 19970930    84.6
19971001 19971031   241.6
19971101 19971130   252.8
19971201 19971231   246.6
19980101 19980131    58.4
19980201 19980228   196.8
19980301 19980331   186.8
19980401 19980430   232.0
19980501 19980531   246.4
19980601 19980630   172.6
19980701 19980731   261.6
19980801 19980831   147.6
19980901 19980930   287.0
19981001 19981031   336.4
19981101 19981130   113.6
19981201 19981231   186.6
19990101 19990131    45.6
19990201 19990228   329.8
19990301 19990331   203.8
19990401 19990430   150.8
19990501 19990531   252.0
19990601 19990630   144.0
19990701 19990731   266.8
19990801 19990831   182.8
19990901 19990930   144.8
19991001 19991031   218.8
19991101 19991130   158.0
19991201 19991231   192.4
20000101 20000131   103.8
20000201 20000229   156.6
20000301 20000331   160.0
20000401 20000430   161.2
20000501 20000531   476.2
20000601 20000630   209.6
20000701 20000731   240.4
20000801 20000831   114.6
20000901 20000930   317.4
20001001 20001031   291.3
20001101 20001130    29.2
20001201 20001231   220.4
20010101 20010131    55.8
20010201 20010228    51.8
20010301 20010331   190.2
20010401 20010430   150.2
20010501 20010531    72.0
20010601 20010630   367.0
20010701 20010731   122.8
20010801 20010831   377.0
20010901 20010930   204.0
20011001 20011031   269.8
20011101 20011130   186.0
20011201 20011231   222.2
20020101 20020131   229.4
20020201 20020228   112.6
