PRCP       040043 18690801 20180131 missing_value=99999.9 CAPE MORETON LIGHTHOUSE                   
19610201 19610228   238.0
19610301 19610331    88.1
19610401 19610430    96.4
19610501 19610531    69.1
19610601 19610630    95.6
19610701 19610731    59.8
19610801 19610831   155.9
19610901 19610930    69.9
19611001 19611031   118.6
19611101 19611130   132.3
19611201 19611231   128.0
19620101 19620131   329.5
19620201 19620228    96.7
19620301 19620331   154.9
19620401 19620430   190.3
19620501 19620531    71.1
19620601 19620630    45.2
19620701 19620731   289.4
19620801 19620831   127.9
19620901 19620930    92.7
19621001 19621031    33.5
19621101 19621130   142.4
19621201 19621231   128.8
19630101 19630131   309.1
19630201 19630228    69.4
19630301 19630331   357.0
19630401 19630430   115.4
19630501 19630531   368.6
19630601 19630630   148.9
19630701 19630731    29.5
19630801 19630831   164.4
19630901 19630930     7.4
19631001 19631031   134.6
19631101 19631130    88.3
19631201 19631231   265.5
19640101 19640131    95.2
19640201 19640229   320.3
19640301 19640331   357.2
19640401 19640430   181.9
19640501 19640531   201.5
19640601 19640630    76.0
19640701 19640731    68.6
19640801 19640831    37.9
19640901 19640930    70.9
19641001 19641031    53.1
